key,text,tag,file,type
VPE_PipesNotConnected,Pipes not connected to generator or tanks,VPE_PipesNotConnected,Misc_Gameplay.xml,keyed
VPE_PipeConnectedRateStored,Pipe grid excess/stored: {0} ml / {1} ml-d,VPE_PipeConnectedRateStored,Misc_Gameplay.xml,keyed
VPE_LiquidTankStored,Gas stored,VPE_LiquidTankStored,Misc_Gameplay.xml,keyed
VPE_LiquidTankEfficiency,Tank efficiency,VPE_LiquidTankEfficiency,Misc_Gameplay.xml,keyed
VPE_TankLeakage,Minimum sealant leakage,VPE_TankLeakage,Misc_Gameplay.xml,keyed
VPE_NutrientNeeded,Gas needed,VPE_NutrientNeeded,Misc_Gameplay.xml,keyed
VPE_LiquidOutput,Gas output,VPE_LiquidOutput,Misc_Gameplay.xml,keyed
VPE_MustPlaceOnGasGeyser,This building must be placed on top of a helixien gas geyser,VPE_MustPlaceOnGasGeyser,Misc_Gameplay.xml,keyed
VPE_PlugHole,Fill hole,VPE_PlugHole,Misc_Gameplay.xml,keyed
VPE_PlugHoleDesc,Fill hole with dirt. WARNING: this will destroy the geyser or pond. Only do this if it is no longer useable or if you need the space.,VPE_PlugHoleDesc,Misc_Gameplay.xml,keyed
VPE_CancelPlugHole,Cancel fill hole,VPE_CancelPlugHole,Misc_Gameplay.xml,keyed
VPE_CancelPlugHoleDesc,Cancels the hole filling job.,VPE_CancelPlugHoleDesc,Misc_Gameplay.xml,keyed
VPE_MustPlaceAdjacentToPipe,"Gas powered buildings must be placed adjacent to gas pipes, not on top",VPE_MustPlaceAdjacentToPipe,Misc_Gameplay.xml,keyed
VPE_DeconstructGasPipes,Deconstruct Gas Network,VPE_DeconstructGasPipes,Misc_Gameplay.xml,keyed
VPE_DeconstructGasPipesDesc,Deconstruct only gas pipes and subterranean gas pipes,VPE_DeconstructGasPipesDesc,Misc_Gameplay.xml,keyed
VPE_DisableGasPathCalculations,Disable Helixien gas path calculations (use to reduce lag),VPE_DisableGasPathCalculations,Misc_Gameplay.xml,keyed
Fluffy.GasNetwork.GasNetworkInspectString,Gas excess (stored) in network: {0} ({1}),Fluffy.GasNetwork.GasNetworkInspectString,Misc_Gameplay.xml,keyed
