key,text,tag,file,type
NocturnalAnimals.BodyClock,Body clock,NocturnalAnimals.BodyClock,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Description,"Determines when the animal sleeps and when it is awake.\n\nDiurnal animals sleep during the night and are awake during the day, while nocturnal animals sleep during the day and are awake during the night. Crepuscular animals are mainly active during dusk.",NocturnalAnimals.BodyClock_Description,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Diurnal,Diurnal,NocturnalAnimals.BodyClock_Diurnal,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Nocturnal,Nocturnal,NocturnalAnimals.BodyClock_Nocturnal,Misc_Gameplay.xml,keyed
NocturnalAnimals.BodyClock_Crepuscular,Crepuscular,NocturnalAnimals.BodyClock_Crepuscular,Misc_Gameplay.xml,keyed
AEXP_AntleredQuadruped.label,antlered quadruped,label,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.3.customLabel,left lung,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.4.customLabel,right lung,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.5.customLabel,left kidney,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.6.customLabel,right kidney,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.8.parts.0.parts.2.customLabel,left eye,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.8.parts.0.parts.3.customLabel,right eye,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.8.parts.0.parts.4.customLabel,left ear,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.8.parts.0.parts.5.customLabel,right ear,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.9.customLabel,front left leg,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.9.parts.0.customLabel,front left hoof,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.10.customLabel,front right leg,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.10.parts.0.customLabel,front right hoof,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.11.customLabel,rear left leg,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.11.parts.0.customLabel,rear left hoof,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.12.customLabel,rear right leg,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_AntleredQuadruped.corePart.parts.12.parts.0.customLabel,rear right hoof,customLabel,BodyDef/Bodies_Animal_AntleredQuadruped.xml,def
AEXP_LargeLizardlike.label,large lizardlike,label,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.10.customLabel,front left leg,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.10.parts.0.customLabel,front left leg first claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.10.parts.1.customLabel,front left leg second claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.10.parts.2.customLabel,front left leg third claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.11.customLabel,front right leg,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.11.parts.0.customLabel,front right leg first claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.11.parts.1.customLabel,front right leg second claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.11.parts.2.customLabel,front right leg third claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.12.customLabel,rear left leg,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.12.parts.0.customLabel,rear left leg first claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.12.parts.1.customLabel,rear left leg second claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.12.parts.2.customLabel,rear left leg third claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.13.customLabel,rear right leg,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.13.parts.0.customLabel,rear right leg first claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.13.parts.1.customLabel,rear right leg second claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_LargeLizardlike.corePart.parts.13.parts.2.customLabel,rear right leg third claw,customLabel,BodyDef/Bodies_Animal_LargeLizardlike.xml,def
AEXP_SimplePinniped.label,simple pinniped,label,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.9.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.9.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.10.customLabel,left fore-flipper,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_SimplePinniped.corePart.parts.11.customLabel,right fore-flipper,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.label,tusked pinniped,label,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.4.customLabel,left lung,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.5.customLabel,right lung,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.6.customLabel,left kidney,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.7.customLabel,right kidney,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.9.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.9.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.9.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.9.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.9.parts.0.parts.6.parts.0.customLabel,left tusk,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.9.parts.0.parts.6.parts.1.customLabel,right tusk,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.10.customLabel,left fore-flipper,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_TuskedPinniped.corePart.parts.11.customLabel,right fore-flipper,customLabel,BodyDef/Bodies_Animal_Pinniped.xml,def
AEXP_PlatypusBody.label,platypus,label,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.3.customLabel,left lung,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.4.customLabel,right lung,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.5.customLabel,left kidney,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.6.customLabel,right kidney,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.8.parts.0.parts.1.customLabel,left eye,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.8.parts.0.parts.2.customLabel,right eye,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.8.parts.0.parts.3.customLabel,left ear,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.8.parts.0.parts.4.customLabel,right ear,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.9.customLabel,front left leg,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.9.parts.0.customLabel,front left paw,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.10.customLabel,front right leg,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.10.parts.0.customLabel,front right paw,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.11.customLabel,rear left leg,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.11.parts.0.customLabel,rear left spur,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.12.customLabel,rear right leg,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_PlatypusBody.corePart.parts.12.parts.0.customLabel,rear right spur,customLabel,BodyDef/Bodies_Animal_Platypus.xml,def
AEXP_GreatApe.label,great ape,label,BodyDef/Bodies_Animal_Primates.xml,def
