key,text,tag,file,type
VWE_WeaponDeterioratedMessage,"{0}, equipped by {1}, has fully deteriorated.",VWE_WeaponDeterioratedMessage,Keys.xml,keyed
VWE_WeaponDeteriorationInfo,This weapon will deteriorate after a certain number of shots.,VWE_WeaponDeteriorationInfo,Keys.xml,keyed
VWE_ShotRemaining,Shots remaining: {0},VWE_ShotRemaining,Keys.xml,keyed
VWE_TrenchWarfare.label,trench warfare,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_TrenchWarfare.description,Adapt a trench warfare doctrine with a selection of weapons for close-quarters combat.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.0,subject->entrenched defense,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.1,"subject_story->adopted age-old strategies to modern combat, ensuring survival",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.2,subject_story->innovated in close-quarters battle tactics within the trenches,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.3,subject_story->engineered fortifications that blend with the landscape for surprise attacks,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.4,subject_story->developed communication lines within trenches to coordinate assaults,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_TrenchWarfare.generalRules.rulesStrings.5,subject_gerund->fortifying positions with strategic ingenuity in warfare,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.label,heavy weapons,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.description,"Construct heavy weapons that offer superior firepower, at the cost of being very physically demanding.",description,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.generalRules.rulesStrings.0,subject->the weight of power,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.generalRules.rulesStrings.1,subject_story->developed weapons that bring unparalleled firepower to the battlefield,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.generalRules.rulesStrings.2,"subject_story->balanced the scales of warfare with heavy, decisive armaments",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.generalRules.rulesStrings.3,subject_story->created training programs for specialized units to operate these weapons,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.generalRules.rulesStrings.4,subject_story->engineered mobility solutions to transport and deploy heavy armaments,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_HeavyWeapons.generalRules.rulesStrings.5,subject_gerund->mastering the art of destruction with heavy weapons,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.label,laser targeting systems,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.description,Adapt laser targeting systems for accurate and swift delivery of charged payloads.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.generalRules.rulesStrings.0,subject->pinpoint accuracy,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.generalRules.rulesStrings.1,subject_story->revolutionized precision strikes with advanced laser guidance,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.generalRules.rulesStrings.2,subject_story->enabled real-time target acquisition and adjustment,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.generalRules.rulesStrings.3,subject_story->integrated systems with existing weaponry for enhanced combat effectiveness,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.generalRules.rulesStrings.4,"subject_story->developed compact, portable laser designators for field operations",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VWE_LaserTargetingSystems.generalRules.rulesStrings.5,subject_gerund->honing the edge of warfare with technology,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabs.xml,def
VWE_SmokeGrenade.label,smoke grenades,label,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_SmokeGrenade.description,"Grenades loaded with liquified blind smoke. Upon landing, they instantly release their smoke payload. The non-toxic smoke covers an area, greatly reducing ranged accuracy and completely blocking automated turret targeting. It provides tactical cover for about a minute before dissipating.",description,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_SmokeGrenade.verbs.0.label,throw smoke grenade,label,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_Projectile_SmokeGrenade.label,smoke grenade,label,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_FlashGrenade.label,stun grenades,label,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_FlashGrenade.description,"A non-lethal tactical grenade designed to temporarily incapacitate enemies. Upon detonation, it emits a powerful flash of light and a loud sound, disorienting and stunning enemies in a radius, buying time for tactical advances or retreats.",description,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_FlashGrenade.verbs.0.label,throw flash grenade,label,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_Projectile_FlashGrenade.label,flash grenade,label,ThingDef/IndustrialGrenadesEnhanced.xml,def
VWE_MeleeWeapon_Shovel.label,shovel,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Shovel.description,"One of the most versatile tools for a soldier, the entrenching tool is a simple but effective weapon. With a sturdy handle and a sharpened, heavy blade, it serves equally well for digging a trench or bludgeoning an enemy.",description,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Shovel.tools.0.label,handle,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Shovel.tools.1.label,edge,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Baton.label,baton,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Baton.description,"A sturdy, weighted club used for incapacitation and crowd control. Its dense construction delivers powerful blunt force trauma, favored by police and security forces for non-lethal (and sometimes lethal) engagements.",description,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Baton.tools.0.label,handle,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Baton.tools.1.label,head,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_CombatKnife.label,combat knife,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_CombatKnife.description,"OA refined and deadly tool, the military combat knife has taken many forms, but the concept has always remained the same: A handle for a sure grip and a sharp edge for cutting and thrusting, optimized for battlefield use.",description,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_CombatKnife.tools.0.label,handle,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_CombatKnife.tools.1.label,blade,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_CombatKnife.tools.2.label,point,label,ThingDef/MeleeIndustrial.xml,def
VWE_MeleeWeapon_Hammer.label,hammer,label,ThingDef/MeleeMedieval.xml,def
