key,text,tag,file,type
VFEArchitect.DesignatorRemoveFoundation,Remove foundation,VFEArchitect.DesignatorRemoveFoundation,Designators.xml,keyed
VFEArchitect.DesignatorRemoveFoundationDesc,Remove foundations to reveal the terrain underneath.,VFEArchitect.DesignatorRemoveFoundationDesc,Designators.xml,keyed
VFEArch_Foundation.label,foundations,label,TerrainAffordanceDef/TerrainAffordanceDef.xml,def
VFEArch_Soil.label,grass,label,TerrainAffordanceDef/TerrainAffordanceDef.xml,def
VFEArch_WoolCarpet.label,wooly carpet ({0}),label,TerrainTemplateDef/TerrainTemplateDef.xml,def
VFEArch_WoolCarpet.description,text.todo,description,TerrainTemplateDef/TerrainTemplateDef.xml,def
VFEArch_Asphalt.label,asphalt,label,TerrainDef/TerrainDef.xml,def
VFEArch_Asphalt.description,Industrial-style asphalt used to create roads and streets. Very easy to traverse for people and vehicles alike.,description,TerrainDef/TerrainDef.xml,def
VFEArch_WoodenParquet.label,wooden parquet,label,TerrainDef/TerrainDef.xml,def
VFEArch_WoodenParquetWalnut.label,walnut wooden parquet,label,TerrainDef/TerrainDef.xml,def
VFEArch_WoodenParquetBirch.label,birch wooden parquet,label,TerrainDef/TerrainDef.xml,def
VFEArch_WoodenParquetMahogany.label,mahogany wooden parquet,label,TerrainDef/TerrainDef.xml,def
VFEArch_WoodPlankFloorWalnut.label,walnut wood floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_WoodPlankFloorWalnut.description,"Wood plank flooring for that warm, homey feeling. While it is quick to lay, it is also very flammable.",description,TerrainDef/TerrainDef.xml,def
VFEArch_WoodPlankFloorBirch.label,birch wood floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_WoodPlankFloorBirch.description,"Wood plank flooring for that warm, homey feeling. While it is quick to lay, it is also very flammable.",description,TerrainDef/TerrainDef.xml,def
VFEArch_WoodPlankFloorMahogany.label,mahogany wood floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_WoodPlankFloorMahogany.description,"Wood plank flooring for that warm, homey feeling. While it is quick to lay, it is also very flammable.",description,TerrainDef/TerrainDef.xml,def
VFEArch_CobblestoneFloorSandstone.label,sandstone cobblestone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_CobblestoneFloorGranite.label,granite cobblestone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_CobblestoneFloorLimestone.label,limestone cobblestone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_CobblestoneFloorSlate.label,slate cobblestone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_CobblestoneFloorMarble.label,marble cobblestone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_PolishedStoneFloorSandstone.label,sandstone polished stone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_PolishedStoneFloorGranite.label,granite polished stone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_PolishedStoneFloorLimestone.label,limestone polished stone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_PolishedStoneFloorSlate.label,slate polished stone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_PolishedStoneFloorMarble.label,marble polished stone floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_SlabsSandstone.label,sandstone slabs,label,TerrainDef/TerrainDef.xml,def
VFEArch_SlabsGranite.label,granite slabs,label,TerrainDef/TerrainDef.xml,def
VFEArch_SlabsLimestone.label,limestone slabs,label,TerrainDef/TerrainDef.xml,def
VFEArch_SlabsSlate.label,slate slabs,label,TerrainDef/TerrainDef.xml,def
VFEArch_SlabsMarble.label,marble slabs,label,TerrainDef/TerrainDef.xml,def
VFEArch_FineWoodenFloor.label,fine wooden floor,label,TerrainDef/TerrainDef.xml,def
VFEArch_FineWoodenFloor.description,"Beautiful wooden parquet, made with no compromises, for expressing economic status. Slow to construct.",description,TerrainDef/TerrainDef.xml,def
