key,text,tag,file,type,protected_text
VCE_AteRawPufferfish.description,You didn't die. This time.,description,HediffDef/HediffDef.xml,def,You didn't die. This time.
VCE_AteRawPufferfish.label,recently ate raw pufferfish,label,HediffDef/HediffDef.xml,def,recently ate raw pufferfish
VCEF_CaughtSpecialHediff.description,This person has fished something special.,description,HediffDef/HediffDef.xml,def,This person has fished something special.
VCEF_CaughtSpecialHediff.label,recently fished something special,label,HediffDef/HediffDef.xml,def,recently fished something special
VCEF_FishJob.reportString,fishing at TargetA.,reportString,JobDef/JobDef.xml,def,fishing at TargetA.
VCEF_FishingSpeedFactor.label,fishing speed,label,StatDef/StatDef.xml,def,fishing speed
VCEF_FishingSpeedFactor.description,The speed at which a person can fish is multiplied by this factor.,description,StatDef/StatDef.xml,def,The speed at which a person can fish is multiplied by this factor.
VCEF_FishingYieldFactor.label,fishing yield,label,StatDef/StatDef.xml,def,fishing yield
VCEF_FishingYieldFactor.description,The fishing yield of a person is multiplied by this factor.,description,StatDef/StatDef.xml,def,The fishing yield of a person is multiplied by this factor.
VCEF_FishingLuckOffset.label,fishing luck,label,StatDef/StatDef.xml,def,fishing luck
VCEF_FishingLuckOffset.description,The chance for every fishing attempt to fish a special item instead of a regular fish is increased by this offset.,description,StatDef/StatDef.xml,def,The chance for every fishing attempt to fish a special item instead of a regular fish is increased by this offset.
VCEF_RawFishCategory.label,raw fish,label,ThingCategoryDef/ThingCategoryDef.xml,def,raw fish
VCEF_RawAnchovy.label,anchovy,label,ThingDef/ThingDef.xml,def,anchovy
VCEF_RawAnchovy.description,"Raw anchovy. A small, common forage fish of the family Engraulidae. Most species are found in marine waters, but several will enter brackish water and some are restricted to fresh water.",description,ThingDef/ThingDef.xml,def,"Raw anchovy. A small, common forage fish of the family Engraulidae. Most species are found in marine waters, but several will enter brackish water and some are restricted to fresh water."
VCEF_RawAngelfish.label,angelfish,label,ThingDef/ThingDef.xml,def,angelfish
VCEF_RawAngelfish.description,"Raw angelfish. Angelfish refers to several species of fish, both marine and freshwater, usually sporting bright colours and deep, laterally compressed bodies.",description,ThingDef/ThingDef.xml,def,"Raw angelfish. Angelfish refers to several species of fish, both marine and freshwater, usually sporting bright colours and deep, laterally compressed bodies."
VCEF_RawAnglerfish.label,anglerfish,label,ThingDef/ThingDef.xml,def,anglerfish
VCEF_RawAnglerfish.description,"Raw anglerfish. Anglerfish are bony fish named for their characteristic mode of predation, in which, a fleshy growth from the fish's head (the esca or illicium) acts as a lure towards other fish.",description,ThingDef/ThingDef.xml,def,"Raw anglerfish. Anglerfish are bony fish named for their characteristic mode of predation, in which, a fleshy growth from the fish's head (the esca or illicium) acts as a lure towards other fish."
VCEF_RawBass.label,bass,label,ThingDef/ThingDef.xml,def,bass
VCEF_RawBass.description,"Raw bass. Bass is a name shared by many species of fish. The term encompasses both freshwater and marine species, all belonging to the large order Perciformes.",description,ThingDef/ThingDef.xml,def,"Raw bass. Bass is a name shared by many species of fish. The term encompasses both freshwater and marine species, all belonging to the large order Perciformes."
VCEF_RawCatfish.label,catfish,label,ThingDef/ThingDef.xml,def,catfish
VCEF_RawCatfish.description,"Raw catfish. Catfish are a diverse group of ray-finned fish. Named for their prominent barbels, which resemble a cat's whiskers.",description,ThingDef/ThingDef.xml,def,"Raw catfish. Catfish are a diverse group of ray-finned fish. Named for their prominent barbels, which resemble a cat's whiskers."
VCEF_RawClownfish.label,clownfish,label,ThingDef/ThingDef.xml,def,clownfish
VCEF_RawClownfish.description,"Raw clownfish. In the wild, clownfish form symbiotic mutualisms with sea anemones. Depending on species, clownfish are overall yellow, orange, or a reddish or blackish color, and many show white bars or patches.",description,ThingDef/ThingDef.xml,def,"Raw clownfish. In the wild, clownfish form symbiotic mutualisms with sea anemones. Depending on species, clownfish are overall yellow, orange, or a reddish or blackish color, and many show white bars or patches."
VCEF_RawCod.label,cod,label,ThingDef/ThingDef.xml,def,cod
VCEF_RawCod.description,"Raw cod. Cod refers to several large species of fish with a voracious appetite, feeding largely on other fishes and various invertebrates. Cod has long been considered a perfect fish for human consumption, with its flaky white flesh, a high protein content and low fat content.",description,ThingDef/ThingDef.xml,def,"Raw cod. Cod refers to several large species of fish with a voracious appetite, feeding largely on other fishes and various invertebrates. Cod has long been considered a perfect fish for human consumption, with its flaky white flesh, a high protein content and low fat content."
VCEF_RawEel.label,eel,label,ThingDef/ThingDef.xml,def,eel
VCEF_RawEel.description,"Raw eel. An eel is any ray-finned fish belonging to the order Anguilliformes. Eels are elongated fish, possessing no pelvic fins, and many species also lacking pectoral fins. Eels swim by generating body waves which travel the length of their bodies.",description,ThingDef/ThingDef.xml,def,"Raw eel. An eel is any ray-finned fish belonging to the order Anguilliformes. Eels are elongated fish, possessing no pelvic fins, and many species also lacking pectoral fins. Eels swim by generating body waves which travel the length of their bodies."
VCEF_RawGoldfish.label,goldfish,label,ThingDef/ThingDef.xml,def,goldfish
VCEF_RawGoldfish.description,Raw goldfish. The goldfish (Carassius auratus) is a freshwater fish in the family Cyprinidae of order Cypriniformes. It is one of the most commonly kept aquarium fish.,description,ThingDef/ThingDef.xml,def,Raw goldfish. The goldfish (Carassius auratus) is a freshwater fish in the family Cyprinidae of order Cypriniformes. It is one of the most commonly kept aquarium fish.
VCEF_RawGuppy.label,guppy,label,ThingDef/ThingDef.xml,def,guppy
VCEF_RawGuppy.description,"Raw guppy. The guppy (Poecilia reticulata), also known as millionfish and rainbow fish, is one of the world's most widely distributed tropical fish, and one of the most popular freshwater aquarium fish species.",description,ThingDef/ThingDef.xml,def,"Raw guppy. The guppy (Poecilia reticulata), also known as millionfish and rainbow fish, is one of the world's most widely distributed tropical fish, and one of the most popular freshwater aquarium fish species."
VCEF_RawHaddock.label,haddock,label,ThingDef/ThingDef.xml,def,haddock
VCEF_RawHaddock.description,"Raw haddock. The haddock (Melanogrammus aeglefinus) is a saltwater fish from the family Gadidae, the true cods. It is an important food fish and has traditionaly been consumed either fresh or smoked.",description,ThingDef/ThingDef.xml,def,"Raw haddock. The haddock (Melanogrammus aeglefinus) is a saltwater fish from the family Gadidae, the true cods. It is an important food fish and has traditionaly been consumed either fresh or smoked."
VCEF_RawHalibut.label,halibut,label,ThingDef/ThingDef.xml,def,halibut
VCEF_RawHalibut.description,"Raw halibut. Halibut is a common name principally applied to the two flatfish from the family of right-eye flounders. Less commonly, and in some regions only, other species of flatfish are also referred to as being halibuts.",description,ThingDef/ThingDef.xml,def,"Raw halibut. Halibut is a common name principally applied to the two flatfish from the family of right-eye flounders. Less commonly, and in some regions only, other species of flatfish are also referred to as being halibuts."
VCEF_RawHerring.label,herring,label,ThingDef/ThingDef.xml,def,herring
VCEF_RawHerring.description,"Raw herring. Herring are forage fish, mostly belonging to the family Clupeidae. Herring often move in large schools around fishing banks and near the coast.",description,ThingDef/ThingDef.xml,def,"Raw herring. Herring are forage fish, mostly belonging to the family Clupeidae. Herring often move in large schools around fishing banks and near the coast."
VCEF_RawKoi.label,koi,label,ThingDef/ThingDef.xml,def,koi
VCEF_RawKoi.description,Raw koi. Koi are colored varieties of the Amur carp (Cyprinus rubrofuscus) that are kept for decorative purposes in outdoor koi ponds or water gardens.,description,ThingDef/ThingDef.xml,def,Raw koi. Koi are colored varieties of the Amur carp (Cyprinus rubrofuscus) that are kept for decorative purposes in outdoor koi ponds or water gardens.
VCEF_RawLobster.label,lobster,label,ThingDef/ThingDef.xml,def,lobster
VCEF_RawLobster.description,"Raw lobster. Lobsters are large marine crustaceans. Lobsters have long bodies with muscular tails. Three of their five pairs of legs have claws, including the first pair, which are usually much larger than the others.",description,ThingDef/ThingDef.xml,def,"Raw lobster. Lobsters are large marine crustaceans. Lobsters have long bodies with muscular tails. Three of their five pairs of legs have claws, including the first pair, which are usually much larger than the others."
VCEF_RawMackerel.label,mackerel,label,ThingDef/ThingDef.xml,def,mackerel
VCEF_RawMackerel.description,"Raw mackerel. Mackerel is a common name applied to a number of different species of pelagic fish, mostly from the family Scombridae. They are found in both temperate and tropical seas, mostly living along the coast or offshore in the oceanic environment.",description,ThingDef/ThingDef.xml,def,"Raw mackerel. Mackerel is a common name applied to a number of different species of pelagic fish, mostly from the family Scombridae. They are found in both temperate and tropical seas, mostly living along the coast or offshore in the oceanic environment."
VCEF_RawMinnow.label,minnow,label,ThingDef/ThingDef.xml,def,minnow
VCEF_RawMinnow.description,"Raw minnow. Minnow is the common name for a number of species of small freshwater fish, belonging to several genera of the family Cyprinidae.",description,ThingDef/ThingDef.xml,def,"Raw minnow. Minnow is the common name for a number of species of small freshwater fish, belonging to several genera of the family Cyprinidae."
VCEF_RawPerch.label,perch,label,ThingDef/ThingDef.xml,def,perch
VCEF_RawPerch.description,"Raw perch. Perch is a common name for fish of the genus Perca, freshwater gamefish belonging to the family Percidae. The perch lend their name to a large order of vertebrates: the Perciformes. Many species of freshwater gamefish more or less resemble perch, but belong to different genera.",description,ThingDef/ThingDef.xml,def,"Raw perch. Perch is a common name for fish of the genus Perca, freshwater gamefish belonging to the family Percidae. The perch lend their name to a large order of vertebrates: the Perciformes. Many species of freshwater gamefish more or less resemble perch, but belong to different genera."
VCEF_RawPiranha.label,piranha,label,ThingDef/ThingDef.xml,def,piranha
VCEF_RawPiranha.description,"Raw piranha. A piranha is a freshwater fish that inhabits rivers, floodplains, lakes and reservoirs. Although often described as extremely predatory and mainly feeding on fish, their dietary habits vary extensively, and they will also take plant material, leading to their classification as omnivorous.",description,ThingDef/ThingDef.xml,def,"Raw piranha. A piranha is a freshwater fish that inhabits rivers, floodplains, lakes and reservoirs. Although often described as extremely predatory and mainly feeding on fish, their dietary habits vary extensively, and they will also take plant material, leading to their classification as omnivorous."
VCEF_RawPufferfish.label,pufferfish,label,ThingDef/ThingDef.xml,def,pufferfish
VCEF_RawPufferfish.description,"Raw pufferfish. Pufferfish are a family of primarily marine and estuarine fish. The majority of pufferfish species are toxic and some are among the most poisonous vertebrates in the world. In certain species, the internal organs, such as the liver, and sometimes their skin, contain tetrodotoxin and are highly toxic to most animals when eaten; nevertheless, the meat of some species is considered a delicacy when prepared by specially trained chefs.",description,ThingDef/ThingDef.xml,def,"Raw pufferfish. Pufferfish are a family of primarily marine and estuarine fish. The majority of pufferfish species are toxic and some are among the most poisonous vertebrates in the world. In certain species, the internal organs, such as the liver, and sometimes their skin, contain tetrodotoxin and are highly toxic to most animals when eaten; nevertheless, the meat of some species is considered a delicacy when prepared by specially trained chefs."
VCEF_RawSalmon.label,salmon,label,ThingDef/ThingDef.xml,def,salmon
VCEF_RawSalmon.description,"Raw salmon. Salmon is the common name for several species of ray-finned fish in the family Salmonidae. Typically, salmon are anadromous: they hatch in fresh water, migrate to the ocean, then return to fresh water to reproduce. However, populations of several species are restricted to fresh water through their lives.",description,ThingDef/ThingDef.xml,def,"Raw salmon. Salmon is the common name for several species of ray-finned fish in the family Salmonidae. Typically, salmon are anadromous: they hatch in fresh water, migrate to the ocean, then return to fresh water to reproduce. However, populations of several species are restricted to fresh water through their lives."
VCEF_RawSprat.label,sprat,label,ThingDef/ThingDef.xml,def,sprat
VCEF_RawSprat.description,"Raw sprat. Sprat is the common name applied to a group of forage fish belonging to the genus Sprattus in the family Clupeidae. Like most forage fishes, sprats are highly active, small, oily fish. They travel in large schools with other fish and swim continuously throughout the day.",description,ThingDef/ThingDef.xml,def,"Raw sprat. Sprat is the common name applied to a group of forage fish belonging to the genus Sprattus in the family Clupeidae. Like most forage fishes, sprats are highly active, small, oily fish. They travel in large schools with other fish and swim continuously throughout the day."
VCEF_RawSwordfish.label,swordfish,label,ThingDef/ThingDef.xml,def,swordfish
VCEF_RawSwordfish.description,"Raw swordfish. Swordfish, also known as broadbills, are large, highly migratory, predatory fish characterized by a long, flat, pointed bill.",description,ThingDef/ThingDef.xml,def,"Raw swordfish. Swordfish, also known as broadbills, are large, highly migratory, predatory fish characterized by a long, flat, pointed bill."
VCEF_RawTrout.label,trout,label,ThingDef/ThingDef.xml,def,trout
VCEF_RawTrout.description,"Raw trout. Trout is the common name for a number of species of freshwater fish. Most species of trout live in freshwater lakes and rivers exclusively, while there are others, such as the steelhead, which can spend two or three years at sea before returning to fresh water to spawn (a habit more typical of salmon).",description,ThingDef/ThingDef.xml,def,"Raw trout. Trout is the common name for a number of species of freshwater fish. Most species of trout live in freshwater lakes and rivers exclusively, while there are others, such as the steelhead, which can spend two or three years at sea before returning to fresh water to spawn (a habit more typical of salmon)."
VCEF_RawTuna.label,tuna,label,ThingDef/ThingDef.xml,def,tuna
VCEF_RawTuna.description,"Raw tuna. Tuna are large saltwater fish. An active and agile predator, the tuna has a sleek, streamlined body, and is among the fastest-swimming pelagic fish. Tuna has been highly prized as a food fish. Besides their commercial value as food, the great size, speed, and power they display as apex predators has attracted the admiration of fishermen, writers, and scientists.",description,ThingDef/ThingDef.xml,def,"Raw tuna. Tuna are large saltwater fish. An active and agile predator, the tuna has a sleek, streamlined body, and is among the fastest-swimming pelagic fish. Tuna has been highly prized as a food fish. Besides their commercial value as food, the great size, speed, and power they display as apex predators has attracted the admiration of fishermen, writers, and scientists."
VCEF_FishingThought.stages.0.label,relaxing fishing session,label,ThoughtDef/ThoughtDef.xml,def,relaxing fishing session
VCEF_FishingThought.stages.0.description,Nothing better to relax than fishing,description,ThoughtDef/ThoughtDef.xml,def,Nothing better to relax than fishing
VCEF_Fisherman.degreeDatas.0.label,fisherman,label,TraitDef/TraitDef.xml,def,fisherman
VCEF_Fisherman.degreeDatas.0.description,{PAWN_nameDef} enjoys the solitude and tranquility inherent to long fishing sessions. {PAWN_pronoun} will prefer fishing above other activities.,description,TraitDef/TraitDef.xml,def,(PH_2) enjoys the solitude and tranquility inherent to long fishing sessions. (PH_1) will prefer fishing above other activities.
VCEF_Fish.label,catch fish,label,WorkGiverDef/WorkGiverDef.xml,def,catch fish
VCEF_Fish.verb,catch fish,verb,WorkGiverDef/WorkGiverDef.xml,def,catch fish
VCEF_Fish.gerund,fishing,gerund,WorkGiverDef/WorkGiverDef.xml,def,fishing
VCEF_Fishing.labelShort,Fish,labelShort,WorkTypeDef/WorkTypeDef.xml,def,Fish
VCEF_Fishing.pawnLabel,Fisher,pawnLabel,WorkTypeDef/WorkTypeDef.xml,def,Fisher
VCEF_Fishing.gerundLabel,fishing,gerundLabel,WorkTypeDef/WorkTypeDef.xml,def,fishing
VCEF_Fishing.description,Catch fish in designated work zones.,description,WorkTypeDef/WorkTypeDef.xml,def,Catch fish in designated work zones.
VCEF_Fishing.verb,Fish,verb,WorkTypeDef/WorkTypeDef.xml,def,Fish
