key,text,tag,file,type,protected_text
AA_ExplodingWeb.label,exploding web,label,AbilityDef/AbilityDef.xml,def,exploding web
AA_ExplodingWeb.description,Throw a web of sticky silk that can stun its target and explode violently.,description,AbilityDef/AbilityDef.xml,def,Throw a web of sticky silk that can stun its target and explode violently.
AA_Bullet_TinyVenomBarb.label,tiny venomous barbs,label,AbilityDef/AbilityDef.xml,def,tiny venomous barbs
AA_Bullet_TinyVenomBarb.description,"Fire a shower of small but deadly venomous barbs that pierce skin and deliver a potent toxin, weakening targets over time.",description,AbilityDef/AbilityDef.xml,def,"Fire a shower of small but deadly venomous barbs that pierce skin and deliver a potent toxin, weakening targets over time."
AA_HugeQuill.label,huge quill,label,AbilityDef/AbilityDef.xml,def,huge quill
AA_HugeQuill.description,"Launch a massive quill tipped with barbs that embeds deeply, causing severe pain and making removal agonizingly difficult.",description,AbilityDef/AbilityDef.xml,def,"Launch a massive quill tipped with barbs that embeds deeply, causing severe pain and making removal agonizingly difficult."
GR_CraftAlphaGenomeExcavator.label,Craft Alpha Genome excavator,label,RecipeDef/RecipeDef.xml,def,Craft Alpha Genome excavator
GR_CraftAlphaGenomeExcavator.description,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Alpha Animals genomes.,description,RecipeDef/RecipeDef.xml,def,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Alpha Animals genomes.
GR_BearBugEggUnfertilized.label,bear bug egg (unfert.),label,ThingDef/ThingDef.xml,def,bear bug egg (unfert.)
GR_BearBugEggUnfertilized.description,"Unfertilized bear bug egg. It can be eaten raw, but it's much, much better cooked. Actually, it's a beetle egg, it is disgusting either way...",description,ThingDef/ThingDef.xml,def,"Unfertilized bear bug egg. It can be eaten raw, but it's much, much better cooked. Actually, it's a beetle egg, it is disgusting either way..."
GR_BearBugEggFertilized.label,bear bug egg (fert.),label,ThingDef/ThingDef.xml,def,bear bug egg (fert.)
GR_BearBugEggFertilized.description,"Fertilized bear bug egg. It can be eaten raw, but it's much, much better cooked. Actually, it's a beetle egg, it is disgusting either way... If all goes well, it should hatch into a bear bug.",description,ThingDef/ThingDef.xml,def,"Fertilized bear bug egg. It can be eaten raw, but it's much, much better cooked. Actually, it's a beetle egg, it is disgusting either way... If all goes well, it should hatch into a bear bug."
GR_NeedlechickenEggUnfertilized.label,needlechicken egg (unfert.),label,ThingDef/ThingDef.xml,def,needlechicken egg (unfert.)
GR_NeedlechickenEggUnfertilized.description,"An unfertilized needlechicken egg. It can be eaten raw, but it's much, much better cooked.",description,ThingDef/ThingDef.xml,def,"An unfertilized needlechicken egg. It can be eaten raw, but it's much, much better cooked."
GR_NeedlechickenEggFertilized.label,needlechicken egg (fert.),label,ThingDef/ThingDef.xml,def,needlechicken egg (fert.)
GR_NeedlechickenEggFertilized.description,"A fertilized needlechicken egg. If all goes well, it should hatch into a needlechick. It can be eaten raw, but it's much better cooked.",description,ThingDef/ThingDef.xml,def,"A fertilized needlechicken egg. If all goes well, it should hatch into a needlechick. It can be eaten raw, but it's much better cooked."
GR_EggNighthrumboFertilized.label,nighthrumbo egg (fert.),label,ThingDef/ThingDef.xml,def,nighthrumbo egg (fert.)
GR_EggNighthrumboFertilized.description,"Fertilized nighthrumbo egg. If all goes well, it should hatch into a baby nighthrumbo. It can be eaten raw, but it's much better cooked.",description,ThingDef/ThingDef.xml,def,"Fertilized nighthrumbo egg. If all goes well, it should hatch into a baby nighthrumbo. It can be eaten raw, but it's much better cooked."
GR_EggMeadowLizardFertilized.label,meadow lizard egg (fert.),label,ThingDef/ThingDef.xml,def,meadow lizard egg (fert.)
GR_EggMeadowLizardFertilized.description,"Fertilized meadow lizard egg. If all goes well, it should hatch into a baby meadow lizard. It can be eaten raw, but it's much better cooked.",description,ThingDef/ThingDef.xml,def,"Fertilized meadow lizard egg. If all goes well, it should hatch into a baby meadow lizard. It can be eaten raw, but it's much better cooked."
GR_AlphaGenomeExcavator.label,alpha genome excavator,label,ThingDef/ThingDef.xml,def,alpha genome excavator
