key,text,tag,file,type
VCE_MilkFromRice.label,extract milk from rice,label,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromRice.description,"Extract vegetable milk from rice. This milk can be used in any recipe that asks for milk.\n\nRice is very inefficient when converted into milk, and a lot of nutrition is lost in the process.",description,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromRice.jobString,Extracting milk from rice.,jobString,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromAlmonds.label,extract milk from almonds,label,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromAlmonds.description,"Extract vegetable milk from almonds. This milk can be used in any recipe that asks for milk.\n\nVegetable milks are generally inefficient, as a lot of nutrition is lost in the process.",description,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromAlmonds.jobString,Extracting milk from almonds.,jobString,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromCoconuts.label,extract milk from coconuts,label,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromCoconuts.description,"Extract vegetable milk from coconuts. This milk can be used in any recipe that asks for milk.\n\nVegetable milks are generally inefficient, as a lot of nutrition is lost in the process.",description,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromCoconuts.jobString,Extracting milk from coconuts.,jobString,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromOats.label,extract milk from oats,label,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromOats.description,"Extract vegetable milk from oats. This milk can be used in any recipe that asks for milk.\n\nVegetable milks are generally inefficient, as a lot of nutrition is lost in the process.",description,RecipeDef/Recipes_VegMilk.xml,def
VCE_MilkFromOats.jobString,Extracting milk from oats.,jobString,RecipeDef/Recipes_VegMilk.xml,def
VCE_VegMilkExtraction.label,vegetable milk,label,ResearchProjectDef/Research_Cooking.xml,def
VCE_VegMilkExtraction.description,"Vegetable milk extraction allows the colonists to extract milk from rice, oats, almonds, coconuts and soybeans.",description,ResearchProjectDef/Research_Cooking.xml,def
VCE_VegMilkExtractor.label,vegetable milk extractor,label,ThingDef/Buildings_Cooking.xml,def
VCE_VegMilkExtractor.description,"A small work station containing a presser and an industrial decanter centrifuge to separate vegetable extract from mash. The high G-forces generated by the decanter centrifuge allow you to extract vegetable milk from rice, almonds, coconuts, oats and soybeans.",description,ThingDef/Buildings_Cooking.xml,def
VCE_RawOats.label,oats,label,ThingDef/Items_Resource_RawPlant_Cooking.xml,def
VCE_RawOats.description,"The grain of the oat plant. Oats have numerous uses in foods; most commonly, they are rolled or crushed into oatmeal. Oatmeal is chiefly eaten as porridge, but may also be used in a variety of baked goods. Oats are also used for production of milk substitutes.",description,ThingDef/Items_Resource_RawPlant_Cooking.xml,def
VCE_Barley.label,barley plant,label,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_Barley.description,"A cereal grain that people can use in bread, beverages, stews, and other dishes. As a whole grain, barley provides fiber, vitamins, and minerals. It has been genetically engineered to gently break into flour with a mere touch.\n\n<color=#E5E54C>Gameplay effect:</color> Barley is a ""dual crop"", in the sense that it produces both flour and hay.",description,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_Sorghum.label,sorghum plant,label,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_Sorghum.description,"A drought resistant cereal used for food, animal fodder, the production of alcoholic beverages, and biofuels. Sorghum grain is gluten free, high in resistant starch, and more abundant and diverse phenolic compounds compared to other major cereal crops.\n\n<color=#E5E54C>Gameplay effect:</color> Sorghum stalks can grow to up to 2.5 meters in height, and grow very close together. A sorghum field can be used as quite effective cover.",description,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_Rye.label,rye plant,label,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_Rye.description,"A plant that grows well in much poorer soils than those necessary for most cereal grains. Thus, it is an especially valuable crop in regions where the soil has sand or peat. It has been genetically engineered to gently break into flour with a mere touch.\n\n<color=#E5E54C>Gameplay effect:</color> Rye is only growable in sandy growing zones, which ignore fertility. These plants will however take a long time to sow and harvest, basically exchanging colonist work for growing plants in a normally unused space. Rye needs to be grown away from large bodies of water (water within 10 tiles of it will stop its growth).",description,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_Oats.label,oat plant,label,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_Oats.description,"The oat, sometimes called the common oat, is a species of cereal grain grown for its seed, which is known by the same name. Oats have numerous uses in gastronomy, and they can also be turned into vegetable milk.\n\n<color=#E5E54C>Gameplay effect:</color> Oat has low yield, but it is very versatile, being a ""dual crop"", in the sense that it produces both flour and oats which can be either used as a vegetable or turned into milk.",description,ThingDef/Plants_Cultivated_Farm_Cereals.xml,def
VCE_DoBillsVegMilkExtractor.label,extract vegetable milks,label,WorkGiverDef/WorkGivers_Cooking.xml,def
VCE_DoBillsVegMilkExtractor.verb,extract vegetable milk,verb,WorkGiverDef/WorkGivers_Cooking.xml,def
VCE_DoBillsVegMilkExtractor.gerund,extracting vegetable milk at,gerund,WorkGiverDef/WorkGivers_Cooking.xml,def
