key,text,tag,file,type
VSIE.WorkFrenzyBeginLetterContinue,\n\n{PAWN_pronoun} would like to do some work.,VSIE.WorkFrenzyBeginLetterContinue,Keys.xml,keyed
VSIE.GoFrenzyBeginLetterContinue,\n\n{PAWN_pronoun} would like to join a caravan and venture into the world.,VSIE.GoFrenzyBeginLetterContinue,Keys.xml,keyed
VSIE.ShootingFrenzyBeginLetterContinue,\n\n{PAWN_pronoun} would like to go on a hunt.,VSIE.ShootingFrenzyBeginLetterContinue,Keys.xml,keyed
VSIE.InspiredTradeBeginLetterContinue,\n\n{PAWN_pronoun} would like to close a trade.,VSIE.InspiredTradeBeginLetterContinue,Keys.xml,keyed
VSIE.InspiredRecruitmentBeginLetterContinue,\n\n{PAWN_pronoun} would like to recruit a prisoner.,VSIE.InspiredRecruitmentBeginLetterContinue,Keys.xml,keyed
VSIE.InspiredTamingBeginLetterContinue,\n\n{PAWN_pronoun} would like to try and tame an animal.,VSIE.InspiredTamingBeginLetterContinue,Keys.xml,keyed
VSIE.InspiredSurgeryBeginLetterContinue,\n\n{PAWN_pronoun} would like to perform a surgery.,VSIE.InspiredSurgeryBeginLetterContinue,Keys.xml,keyed
VSIE.InspiredCreativityBeginLetterContinue,\n\n{PAWN_pronoun} would like to create a masterwork or legendary item.,VSIE.InspiredCreativityBeginLetterContinue,Keys.xml,keyed
VSIE.TraitChangeTitle,{PAWN_nameDef} obtained {0} trait,VSIE.TraitChangeTitle,Keys.xml,keyed
VSIE.TraitChangePrisonerRecruited,"When you recruited {PAWN_nameDef}, it turned out that {PAWN_pronoun} has the {0} trait.\n\n{1}",VSIE.TraitChangePrisonerRecruited,Keys.xml,keyed
VSIE.TraitChangePawnResurrected,"When {PAWN_nameDef} died and got brought back to life,  noticed that they now have the {0} trait.\n\n{1}",VSIE.TraitChangePawnResurrected,Keys.xml,keyed
VSIE.TraitChangePawnHasCatatonicBreakdown,"When {PAWN_nameDef} succumbed to the catatonic mental breakdown, {PAWN_pronoun} has developed the {0} trait.\n\n{1}",VSIE.TraitChangePawnHasCatatonicBreakdown,Keys.xml,keyed
VSIE.TraitChangeFamilyMemberDied,"When {PAWN_nameDef}’s family member died, {PAWN_pronoun} has developed the {0} trait.\n\n{1}",VSIE.TraitChangeFamilyMemberDied,Keys.xml,keyed
VSIE.CatarhisAfterMentalBreak,"{PAWN_nameDef}’s extreme mental break caused a permanent character change, as {PAWN_pronoun} has developed the {0} trait.\n\n{1}",VSIE.CatarhisAfterMentalBreak,Keys.xml,keyed
VSIE.RecoveredAfterDeadlyDisease,"The time {PAWN_nameDef} spent fighting the deadly illness was enough time for a self-reflection, as {PAWN_pronoun} has developed the {0} trait.\n\n{1}",VSIE.RecoveredAfterDeadlyDisease,Keys.xml,keyed
VSIE.BirthdayEvent,"{PAWN_nameDef} took a moment to reflect upon themself on their birthday, which resulted in developing the {0} trait.\n\n{1}",VSIE.BirthdayEvent,Keys.xml,keyed
VSIE.BestowingCeremony,"Possibly the greatest moment in {PAWN_nameDef}’s life, a bestowing ceremony, allowed them to develop the {0} trait.\n\n{1}",VSIE.BestowingCeremony,Keys.xml,keyed
VSIE.ToughtRaidEvent,"After recent events and the difficult raid the colony faced, {PAWN_nameDef} reflected upon themself and developed the {0} trait.\n\n{1}",VSIE.ToughtRaidEvent,Keys.xml,keyed
VSIE.Discord,A group social fight has broke out.,VSIE.Discord,Keys.xml,keyed
VSIE.OneNightStandTitle,One night stand,VSIE.OneNightStandTitle,Keys.xml,keyed
VSIE.OneNightStandText,"{INITIATOR_nameDef} engages in a one night stand with {PARTNER_nameDef}. Whilst both pawns receive all the benefits of regular lovin’, they are not a couple.",VSIE.OneNightStandText,Keys.xml,keyed
VSIE.EnableMemories,Enable memories,VSIE.EnableMemories,Keys.xml,keyed
VSIE.EnableInspirations,Enable inspirations,VSIE.EnableInspirations,Keys.xml,keyed
VSIE.EnableAspirations,Enable aspirations,VSIE.EnableAspirations,Keys.xml,keyed
VSIE.EnableObtainingNewTraits,Enable obtaining new traits,VSIE.EnableObtainingNewTraits,Keys.xml,keyed
VSIE.EnableVenting,Enable venting,VSIE.EnableVenting,Keys.xml,keyed
VSIE.EnableBestFriend,Enable best friend,VSIE.EnableBestFriend,Keys.xml,keyed
VSIE.EnableTeaching,Enable teaching,VSIE.EnableTeaching,Keys.xml,keyed
VSIE.EnableManyHandsMakeLightWork,Enable many hands make light work,VSIE.EnableManyHandsMakeLightWork,Keys.xml,keyed
VSIE.EnableDiscord,Enable discord,VSIE.EnableDiscord,Keys.xml,keyed
VSIE.EnableGroupActivities,Enable group activities,VSIE.EnableGroupActivities,Keys.xml,keyed
VSIE.EnableDating,Enable dating,VSIE.EnableDating,Keys.xml,keyed
VSIE.EnableUnitedWeStand,Enable united we stand,VSIE.EnableUnitedWeStand,Keys.xml,keyed
VSIE.EnableSocialEnvironmentThoughts,Enable social environment thoughts,VSIE.EnableSocialEnvironmentThoughts,Keys.xml,keyed
VSIE.EnableOneNightStand,Enable one night stand,VSIE.EnableOneNightStand,Keys.xml,keyed
VSIE_MealTogether.label,meal together,label,DutyDef/Duties_Gatherings.xml,def
VSIE_MovieNight.label,movie night,label,DutyDef/Duties_Gatherings.xml,def
VSIE_BuildingSnowmen.label,building snowmen,label,DutyDef/Duties_Gatherings.xml,def
VSIE_ViewingArtTogether.label,viewing art together,label,DutyDef/Duties_Gatherings.xml,def
VSIE_Skygazing.label,skygazing,label,DutyDef/Duties_Gatherings.xml,def
VSIE_GoingForAWalk.label,going for a walk,label,DutyDef/Duties_Gatherings.xml,def
VSIE_GrabbingBeer.label,grabbing beer,label,DutyDef/Duties_Gatherings.xml,def
VSIE_Funeral.label,funeral,label,DutyDef/Duties_Gatherings.xml,def
VSIE_OutdoorParty.label,outdoor party,label,DutyDef/Duties_Gatherings.xml,def
VSIE_BingeParty.label,binge party,label,DutyDef/Duties_Gatherings.xml,def
VSIE_MealTogether.label,meal together,label,GatheringDef/Gatherings.xml,def
VSIE_MealTogether.letterText,{ORGANIZER_labelShort} having a romantic meal with {COMPANION_labelShort}.,letterText,GatheringDef/Gatherings.xml,def
VSIE_MovieNight.label,movie night,label,GatheringDef/Gatherings.xml,def
VSIE_MovieNight.letterText,{ORGANIZER_labelShort} is having a movie night with {COMPANION_labelShort}.,letterText,GatheringDef/Gatherings.xml,def
VSIE_BuildingSnowmen.label,building snowmen,label,GatheringDef/Gatherings.xml,def
VSIE_BuildingSnowmen.letterText,{ORGANIZER_labelShort} is building snowmen with {COMPANION_labelShort}.,letterText,GatheringDef/Gatherings.xml,def
VSIE_ViewingArtTogether.label,viewing art together,label,GatheringDef/Gatherings.xml,def
VSIE_ViewingArtTogether.letterText,{ORGANIZER_labelShort} is viewing art with {COMPANION_labelShort}.,letterText,GatheringDef/Gatherings.xml,def
VSIE_Skygazing.label,skygazing,label,GatheringDef/Gatherings.xml,def
VSIE_Skygazing.letterText,{ORGANIZER_labelShort} is skygazing with {COMPANION_labelShort}.,letterText,GatheringDef/Gatherings.xml,def
VSIE_GoingForAWalk.label,going for a walk,label,GatheringDef/Gatherings.xml,def
VSIE_GoingForAWalk.letterText,{ORGANIZER_labelShort} is going for a walk with {COMPANION_labelShort}.,letterText,GatheringDef/Gatherings.xml,def
VSIE_GrabbingBeer.label,grabbing beer,label,GatheringDef/Gatherings.xml,def
VSIE_GrabbingBeer.letterText,{ORGANIZER_labelShort} is grabbing a beer with {COMPANION_labelShort}.,letterText,GatheringDef/Gatherings.xml,def
VSIE_BingeParty.label,binge party,label,GatheringDef/Gatherings.xml,def
VSIE_BingeParty.letterText,{ORGANIZER_labelShort} suggests doing a little binge party. Be warned - Binge parties can last up to a few hours. Colonists will binge on food and drugs until it is over. Simply draft your colonists to stop them taking part in the binge party.,letterText,GatheringDef/Gatherings.xml,def
VSIE_OutdoorParty.label,outdoor party,label,GatheringDef/Gatherings.xml,def
VSIE_OutdoorParty.letterText,"{ORGANIZER_labelShort} suggests having an outdoors party. Colonists will go outdoors and have a campfire, and then sit around it and talk.",letterText,GatheringDef/Gatherings.xml,def
VSIE_Funeral.label,funeral,label,GatheringDef/Gatherings.xml,def
VSIE_Funeral.letterText,Colonists gather over the {DEADPAWN_labelShort}'s grave to honor {DEADPAWN_possessive} memory.,letterText,GatheringDef/Gatherings.xml,def
VSIE_BirthdayParty.label,birthday,label,GatheringDef/Gatherings.xml,def
VSIE_BirthdayParty.letterText,"{ORGANIZER_labelShort} is throwing a birthday party! Everyone who goes will gain recreation and social energy, and a lasting positive mood boost.",letterText,GatheringDef/Gatherings.xml,def
VSIE_OneNightStand.label,One night stand,label,IncidentDef/Incidents_Map_Misc.xml,def
Frenzy_Work.label,work frenzy,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
Frenzy_Go.label,go frenzy,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
Frenzy_Shoot.label,shoot frenzy,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
Inspired_Trade.label,inspired trade,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
Inspired_Recruitment.label,inspired recruitment,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
Inspired_Taming.label,inspired taming,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
Inspired_Surgery.label,inspired surgery,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
Inspired_Creativity.label,inspired creativity,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Inspired_Planting.label,inspired planting,label,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Planting.beginLetter,[PAWN_pronoun] will be able to sow any plants regardless of their Plants skill level for the next 8 days.\n\n[PAWN_pronoun] would like to sow at least 50 plants.,beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Planting.endMessage,{0} is no longer inspired (inspired planting).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Planting.baseInspectLine,Inspired: Inspired planting,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Planting.label,inspired planting,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Party_Frenzy.label,party frenzy,label,InspirationDef/Inspirations.xml,def
VSIE_Party_Frenzy.beginLetter,[PAWN_pronoun] will gain recreation twice as fast for the next 8 days.\n\n[PAWN_pronoun] would like to attend a party.,beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Party_Frenzy.endMessage,{0} is no longer inspired (work frenzy).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Party_Frenzy.baseInspectLine,Inspired: Party frenzy,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Party_Frenzy.label,party frenzy,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Inspired_Research.label,inspired research,label,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Research.beginLetter,[PAWN_pronoun] will conduct research 5x as fast for the next 8 days or when the research project is completed.\n\n[PAWN_pronoun] would like to complete a research project.,beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Research.endMessage,{0} is no longer inspired (inspired research).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Research.baseInspectLine,Inspired: Inspired research,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Research.label,inspired research,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Inspired_Mining.label,inspired mining,label,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Mining.beginLetter,[PAWN_pronoun] will gain twice the yield of any rocks or ore mined for the next 8 days.\n\n[PAWN_pronoun] would like to mine at least 50 rocks.,beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Mining.endMessage,{0} is no longer inspired (inspired mining).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Mining.baseInspectLine,Inspired: Inspired mining,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Mining.label,inspired mining,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Learning_Frenzy.label,learning frenzy,label,InspirationDef/Inspirations.xml,def
VSIE_Learning_Frenzy.beginLetter,[PAWN_pronoun] will gain experience in skill at twice the normal rate for the next 8 days.\n\n[PAWN_pronoun] would like to level up any skill to level 10.,beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Learning_Frenzy.endMessage,{0} is no longer inspired (learning frenzy).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Learning_Frenzy.baseInspectLine,Inspired: Learning frenzy,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Learning_Frenzy.label,learning frenzy,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Inspired_Cooking.label,inspired cooking,label,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Cooking.beginLetter,[PAWN_pronoun] will cook twice as fast for the next 8 days.\n\n[PAWN_pronoun] would like to cook at least 50 meals.,beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Cooking.endMessage,{0} is no longer inspired (inspired cooking).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Cooking.baseInspectLine,Inspired: Inspired cooking,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Inspired_Cooking.label,inspired cooking,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Flirting_Frenzy.label,flirting frenzy,label,InspirationDef/Inspirations.xml,def
VSIE_Flirting_Frenzy.beginLetter,"[PAWN_pronoun] will be much nicer to others in social interactions, as well as much more sophisticated in romantic interactions, resulting in lower chances of being rebuffed for the next 8 days.\n\n[PAWN_pronoun] would like to engage in some lovin’.",beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Flirting_Frenzy.endMessage,{0} is no longer inspired (flirting frenzy).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Flirting_Frenzy.baseInspectLine,Inspired: Flirting frenzy,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Flirting_Frenzy.label,flirting frenzy,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Melee_Frenzy.label,melee frenzy,label,InspirationDef/Inspirations.xml,def
VSIE_Melee_Frenzy.beginLetter,[PAWN_pronoun] will land all their melee hits for the next 8 days.\n\n[PAWN_pronoun] would like to go defeat an enemy in melee combat.,beginLetter,InspirationDef/Inspirations.xml,def
VSIE_Melee_Frenzy.endMessage,{0} is no longer inspired (melee frenzy).,endMessage,InspirationDef/Inspirations.xml,def
VSIE_Melee_Frenzy.baseInspectLine,Inspired: Melee frenzy,baseInspectLine,InspirationDef/Inspirations.xml,def
VSIE_Melee_Frenzy.label,Melee frenzy,label,VanillaSocialInteractionsExpanded.AspirationDef/Inspirations.xml,def
VSIE_Discord.label,discord,label,InteractionDef/Interactions_Discord.xml,def
VSIE_Discord.logRulesInitiator.rulesStrings.0,r_logentry(p=3)->[INITIATOR_nameDef] [insulted] [target]'s [PersonalCharacteristic].,li,InteractionDef/Interactions_Discord.xml,def
VSIE_Discord.logRulesInitiator.rulesStrings.1,r_logentry->[INITIATOR_nameDef] compared [target] to a [insultcomparison].,li,InteractionDef/Interactions_Discord.xml,def
VSIE_Discord.logRulesInitiator.rulesStrings.2,r_logentry->[INITIATOR_nameDef] called [target] a [insultcomparison].,li,InteractionDef/Interactions_Discord.xml,def
VSIE_Discord.logRulesInitiator.rulesStrings.3,target(p=4)->[RECIPIENT_nameDef],li,InteractionDef/Interactions_Discord.xml,def
