key,text,tag,file,type
PH.EnableProxyHeat,Enable proxy heat,PH.EnableProxyHeat,Misc_Gameplay.xml,keyed
PH.EnableProxyHeatEffectIndoors,Enable proxy heat effect indoors,PH.EnableProxyHeatEffectIndoors,Misc_Gameplay.xml,keyed
PH.AllowPlantGrowthInsideProxyHeatEffectRadius,Allow plant growth inside proxy heat effect radius,PH.AllowPlantGrowthInsideProxyHeatEffectRadius,Misc_Gameplay.xml,keyed
PH.ProxyHeatBuildings,Proxy heat building settings:,PH.ProxyHeatBuildings,Misc_Gameplay.xml,keyed
PH.ProxyHeatRadius,Proxy heat radius,PH.ProxyHeatRadius,Misc_Gameplay.xml,keyed
PH.MinTemperature,Minimum temperature threshold,PH.MinTemperature,Misc_Gameplay.xml,keyed
PH.MaxTemperature,Maximum temperature threshold,PH.MaxTemperature,Misc_Gameplay.xml,keyed
PN.NotSet,(not set),PN.NotSet,Misc_Gameplay.xml,keyed
PH.TemperatureOutput,Temperature output,PH.TemperatureOutput,Misc_Gameplay.xml,keyed
PH.Search,Search:,PH.Search,Misc_Gameplay.xml,keyed
PH.BuildingHasTemperatureControl,Building has own temperature target control,PH.BuildingHasTemperatureControl,Misc_Gameplay.xml,keyed
VTE.MustPlaceHeaterWithFreeSpaces,The hot side of the heater must be exposed.,VTE.MustPlaceHeaterWithFreeSpaces,Misc_Gameplay.xml,keyed
VTE.MustPlaceUnderRoof,Must be placed under a roof.,VTE.MustPlaceUnderRoof,Misc_Gameplay.xml,keyed
VTE.CannotPlaceAdjacentCeilingFan,Cannot be placed next to ceiling fans.,VTE.CannotPlaceAdjacentCeilingFan,Misc_Gameplay.xml,keyed
VTE.Efficiency,Network efficiency,VTE.Efficiency,Misc_Gameplay.xml,keyed
VTE.NetworkTargetTemp,Network target temperature,VTE.NetworkTargetTemp,Misc_Gameplay.xml,keyed
VTE.Production,Production,VTE.Production,Misc_Gameplay.xml,keyed
VTE.Consumption,Consumption,VTE.Consumption,Misc_Gameplay.xml,keyed
VTE.TotalProduction,Total production,VTE.TotalProduction,Misc_Gameplay.xml,keyed
VTE.TotalConsumption,Total consumption,VTE.TotalConsumption,Misc_Gameplay.xml,keyed
VTE.Relink,Link temperature,VTE.Relink,Misc_Gameplay.xml,keyed
VTE.Unlink,Unlink temperature,VTE.Unlink,Misc_Gameplay.xml,keyed
VTE.AcRelinkDescription,"Link this AC unit with the system, inheriting the desired temperature.",VTE.AcRelinkDescription,Misc_Gameplay.xml,keyed
VTE.AcUnlinkDescription,Unlink this AC unit from inheriting desired temperature from the system.,VTE.AcUnlinkDescription,Misc_Gameplay.xml,keyed
VTE.MissingCompressors,Cannot work: Not enough compressors connected.,VTE.MissingCompressors,Misc_Gameplay.xml,keyed
