key,text,tag,file,type
VFEPD_AV_Cog.label,Cog,label,ThingDef/ThingDef.xml,def
VFEPD_AV_Cog.description,"A medieval sailing vessel characterized by a sturdy, broad-bottomed design with a single mast and a square-rigged sail. It was commonly used for trade, transportation, and exploration during the Middle Ages in Europe. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_Junk.label,Junk,label,ThingDef/ThingDef.xml,def
VFEPD_Junk.description,"A junk ship is a traditional sailing vessel known for its unique design, featuring a high stern and a flat bottom. It often employs multiple sails and was historically used for various maritime activities such as trade, fishing, and transportation. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_Longship.label,Longship,label,ThingDef/ThingDef.xml,def
VFEPD_Longship.description,"A type of narrow and relatively long boat with a sleek design, often equipped with sails for propulsion. It is commonly used for various purposes such as transportation, exploration, and warfare throughout history. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_Caravel.label,Caravel,label,ThingDef/ThingDef.xml,def
VFEPD_Caravel.description,"A caravel is a small, fast, and versatile sailing ship known for its narrow hull, multiple masts, and combination of square and lateen sails. It was widely used for exploration, trade, and naval activities during the Age of Discovery. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_PirateCaravel.label,Pirate caravel,label,ThingDef/ThingDef.xml,def
VFEPD_PirateCaravel.description,"A caravel is a small, fast, and versatile sailing ship known for its narrow hull, multiple masts, and combination of square and lateen sails. It was widely used for exploration, trade, and naval activities during the Age of Discovery. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_Sloop.label,Sloop,label,ThingDef/ThingDef.xml,def
VFEPD_Sloop.description,"A single-masted sailing vessel with a fore-and-aft rig, typically equipped with a mainsail and one or more headsails. Sleek and agile, sloops are versatile vessels used for various purposes such as racing, cruising, fishing, and coastal patrols. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_Brig.label,Brig,label,ThingDef/ThingDef.xml,def
VFEPD_Brig.description,"A two-masted sailing vessel with square rigging on both masts, typically carrying a fore-and-aft sail on the aftermast. Brigs were widely used for both naval and merchant purposes due to their combination of maneuverability and relatively large cargo capacity. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_Frigate.label,Frigate,label,ThingDef/ThingDef.xml,def
VFEPD_Frigate.description,"A warship with a sleek design, fast and maneuverable, originally developed for escort and protection duties in the Age of Sail. Frigates usually feature a single continuous gun deck, carrying a mix of cannons and other armaments. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
VFEPD_Galleon.label,Galleon,label,ThingDef/ThingDef.xml,def
VFEPD_Galleon.description,"A large, multi-decked sailing ship primarily designed for transporting goods over long distances across oceans. It features a sturdy hull with ample cargo hold space, multiple masts rigged with square sails for propulsion, and a high stern and forecastle for additional cargo storage and crew quarters. Non-functional: all its internal mechanisms have been removed. Intended to be placed over water. Or wherever you want, I'm not your mom!",description,ThingDef/ThingDef.xml,def
