key,text,tag,file,type,protected_text,translated
GR_CarefulGeneticists.label,careful geneticists,label,MemeDef/MemeDef.xml,def,careful geneticists,细心的遗传学家
GR_CarefulGeneticists.description,"Humanity has been practicing genetic engineering for centuries, and the correct way to use it as a tool is by carefully following a strict scientific method and proper experiment security.",description,MemeDef/MemeDef.xml,def,"Humanity has been practicing genetic engineering for centuries, and the correct way to use it as a tool is by carefully following a strict scientific method and proper experiment security.",人类实践基因工程已经有几个世纪了，使用它作为工具的正确方法是严格遵循严格的科学方法和适当的实验安全性。
GR_CarefulGeneticists.generalRules.rulesStrings.0,memeAdjective->careful,li,MemeDef/MemeDef.xml,def,(PH_1)careful,memeAdjective->小心
GR_CarefulGeneticists.generalRules.rulesStrings.1,memeAdjective->experimental,li,MemeDef/MemeDef.xml,def,(PH_1)experimental,memeAdjective->实验性
GR_CarefulGeneticists.generalRules.rulesStrings.2,memeAdjective->investigational,li,MemeDef/MemeDef.xml,def,(PH_1)investigational,memeAdjective->研究性
GR_CarefulGeneticists.generalRules.rulesStrings.3,memeAdjective->exploratory,li,MemeDef/MemeDef.xml,def,(PH_1)exploratory,memeAdjective->探索性
GR_CarefulGeneticists.generalRules.rulesStrings.4,memeAdjective->scientific,li,MemeDef/MemeDef.xml,def,(PH_1)scientific,memeAdjective->科学
GR_CarefulGeneticists.generalRules.rulesStrings.5,memeLeaderAdjective->scientific,li,MemeDef/MemeDef.xml,def,(PH_1)scientific,memeLeaderAdjective->科学
GR_CarefulGeneticists.generalRules.rulesStrings.6,memeConcept->genetic engineering,li,MemeDef/MemeDef.xml,def,(PH_1)genetic engineering,memeConcept->基因工程
GR_CarefulGeneticists.generalRules.rulesStrings.7,memeConcept->careful experimentation,li,MemeDef/MemeDef.xml,def,(PH_1)careful experimentation,memeConcept->仔细实验
GR_CarefulGeneticists.generalRules.rulesStrings.8,memeLeaderNoun->geneticist,li,MemeDef/MemeDef.xml,def,(PH_1)geneticist,memeLeaderNoun->遗传学家
GR_CarefulGeneticists.generalRules.rulesStrings.9,memeLeaderNoun->scientist,li,MemeDef/MemeDef.xml,def,(PH_1)scientist,memeLeaderNoun->科学家
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.0,"creation(tag=meme_CarefulGeneticist)        ->[deity0_name] spoke to [deity0_possessive] followers: ""Honour the scientific method, for humanity would be lost without this sacred tool.""",li,MemeDef/MemeDef.xml,def,"(PH_3)        ->(PH_2) spoke to (PH_1) followers: ""Honour the scientific method, for humanity would be lost without this sacred tool.""",creation(tag=meme_CarefulGeneticist) ->[deity0_name] 对 [deity0_possessive] 追随者说道：“尊重科学方法，因为如果没有这个神圣的工具，人类就会迷失。”
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_CarefulGeneticist)  ->Following [deity0_name]'s teachings, we adhered to strict guidelines on our experiments.",li,MemeDef/MemeDef.xml,def,"(PH_2)  ->Following (PH_1)'s teachings, we adhered to strict guidelines on our experiments.","episode(uses=1,tag=meme_CarefulGeneticist) ->遵循 [deity0_name] 的教导，我们在实验中遵循严格的指导原则。"
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.2,"intro(tag=meme_CarefulGeneticist)           ->On the [place_summary] [place_name], the [memberNamePlural] built a genetic engineering lab, and countless genetic wonders were created there, for the glory of [deity0_name].",li,MemeDef/MemeDef.xml,def,"(PH_5)           ->On the (PH_4) (PH_3), the (PH_2) built a genetic engineering lab, and countless genetic wonders were created there, for the glory of (PH_1).",intro(tag=meme_CarefulGeneticist) ->在[place_summary][place_name]上，[memberNamePlural]建造了一个基因工程实验室，并在那里创造了无数的基因奇迹，为了[deity0_name]的荣耀。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.3,"conflict(tag=meme_CarefulGeneticist)        ->A misguided [foeLeader], feeling some twisted compassion for these animals, tried to go against [deity0_name]'s will and free those that were being studied in the facilities.",li,MemeDef/MemeDef.xml,def,"(PH_3)        ->A misguided (PH_2), feeling some twisted compassion for these animals, tried to go against (PH_1)'s will and free those that were being studied in the facilities.",conflict(tag=meme_CarefulGeneticist) -> 一个被误导的 [foeLeader] 对这些动物怀有扭曲的同情心，试图违背 [deity0_name] 的意愿并释放那些在设施中接受研究的动物。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.4,"founderJoin(tag=meme_CarefulGeneticist)     ->[founderName], a great scientist, showed the hard, cold data to the [foeLeader], and convinced [foeLeader_objective] that humanity is doing [deity0_name]'s work by creating and studying all these wonderful creatures.",li,MemeDef/MemeDef.xml,def,"(PH_5)     ->(PH_4), a great scientist, showed the hard, cold data to the (PH_3), and convinced (PH_2) that humanity is doing (PH_1)'s work by creating and studying all these wonderful creatures.",founderJoin(tag=meme_CarefulGeneticist) ->[founderName]，一位伟大的科学家，向 [foeLeader] 展示了坚硬、冰冷的数据，并让 [foeLeader_objective] 相信人类正在通过创造和研究所有这些奇妙的生物来完成 [deity0_name] 的工作。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.5,victory(tag=meme_CarefulGeneticist)         ->The [foeLeader] came to firmly believe in [deity0_name]'s admonitions.,li,MemeDef/MemeDef.xml,def,(PH_3)         ->The (PH_2) came to firmly believe in (PH_1)'s admonitions.,victory(tag=meme_CarefulGeneticist) -> [foeLeader] 开始坚信 [deity0_name] 的警告。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.6,"setup(tag=meme_CarefulGeneticist)           ->[founderName] was a geneticist in one of the Glitterworlds. [founder_pronoun] mused that every orchid or rose or lizard or snake is the work of a dedicated and skilled breeder. With the incredibly powerful genetic engineering tools at our disposal, we could make the old breeders look like children playing with toys.",li,MemeDef/MemeDef.xml,def,"(PH_3)           ->(PH_2) was a geneticist in one of the Glitterworlds. (PH_1) mused that every orchid or rose or lizard or snake is the work of a dedicated and skilled breeder. With the incredibly powerful genetic engineering tools at our disposal, we could make the old breeders look like children playing with toys.",setup(tag=meme_CarefulGeneticist) ->[founderName] 是闪光世界之一的遗传学家。 [founder_pronoun] 沉思道，每一朵兰花、玫瑰、蜥蜴或蛇都是一位敬业且熟练的饲养员的作品。凭借我们所掌握的极其强大的基因工程工具，我们可以让老饲养员看起来像玩玩具的孩子。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.7,"story(uses=1,tag=meme_CarefulGeneticist)    ->[founderName] taught us that genetic engineering is the future, and that only by carefully adhering to a strict code of conduct and careful scientific experimentation can we hope to truly discover our potential.",li,MemeDef/MemeDef.xml,def,"(PH_2)    ->(PH_1) taught us that genetic engineering is the future, and that only by carefully adhering to a strict code of conduct and careful scientific experimentation can we hope to truly discover our potential.","story(uses=1,tag=meme_CarefulGeneticist) ->[founderName]告诉我们，基因工程是未来，只有认真遵守严格的行为准则和仔细的科学实验，我们才有希望真正发现我们的潜力。"
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.8,"lessonIntro(tag=meme_CarefulGeneticist)         ->The smartest geneticist in our community once taught me the history of genetic engineering, how humanity has been seeding the galaxy for centuries with genetically modified creatures based on old Earth animals. He was leading me to understand that",li,MemeDef/MemeDef.xml,def,"(PH_1)         ->The smartest geneticist in our community once taught me the history of genetic engineering, how humanity has been seeding the galaxy for centuries with genetically modified creatures based on old Earth animals. He was leading me to understand that",lessonIntro(tag=meme_CarefulGeneticist) -> 我们社区中最聪明的遗传学家曾经教过我基因工程的历史，告诉我几个世纪以来人类如何用基于古老地球动物的转基因生物在银河系中播种。他让我明白
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.9,"lesson(tag=meme_CarefulGeneticist)              ->genetic engineering is the key to our future, as long as we are careful and responsible in its use",li,MemeDef/MemeDef.xml,def,"(PH_1)              ->genetic engineering is the key to our future, as long as we are careful and responsible in its use",lesson(tag=meme_CarefulGeneticist) ->基因工程是我们未来的关键，只要我们谨慎负责地使用它
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.10,"lessonReinforcement(tag=meme_CarefulGeneticist) ->Renegade scientists, totalitarian loonies, eugenics zealots, they have the potential to do irreparable damage with irresponsible use of genetic engineering, and we will not fall in the same pitfalls as them.",li,MemeDef/MemeDef.xml,def,"(PH_1) ->Renegade scientists, totalitarian loonies, eugenics zealots, they have the potential to do irreparable damage with irresponsible use of genetic engineering, and we will not fall in the same pitfalls as them.",lessonReinforcement(tag=meme_CarefulGeneticist) ->叛逆的科学家、极权主义疯子、优生学狂热分子，他们有可能通过不负责任地使用基因工程造成不可挽回的损害，而我们不会陷入与他们相同的陷阱。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.11,"archistBasis(tag=meme_CarefulGeneticist)    ->The archotechs are supreme beings, and the act of careful and responsible creation is dear to them.",li,MemeDef/MemeDef.xml,def,"(PH_1)    ->The archotechs are supreme beings, and the act of careful and responsible creation is dear to them.",archistBasis(tag=meme_CarefulGeneticist) -> 古科技人是至高无上的存在，他们珍视谨慎而负责任的创造行为。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.12,"archistFact(tag=meme_CarefulGeneticist)     ->Humanity has been turning the lifeless galaxy into an eden, and this pleases the archotechs.",li,MemeDef/MemeDef.xml,def,"(PH_1)     ->Humanity has been turning the lifeless galaxy into an eden, and this pleases the archotechs.",archistFact(tag=meme_CarefulGeneticist) ->人类一直在把没有生命的星系变成伊甸园，这让考古学家很高兴。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.13,"archistProphecy(tag=meme_CarefulGeneticist) ->[inTheEnd], the archotechs will allow only those who carefully create new life, perfectly adapted to the strange ecosystems of the galaxy, to transcend.",li,MemeDef/MemeDef.xml,def,"(PH_2) ->(PH_1), the archotechs will allow only those who carefully create new life, perfectly adapted to the strange ecosystems of the galaxy, to transcend.",archistProphecy(tag=meme_CarefulGeneticist) ->[inTheEnd]，考古科技只会允许那些精心创造新生命、完全适应银河系奇怪生态系统的人超越。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.14,"animistBasis(tag=meme_CarefulGeneticist)    ->The amazing, genetically modified animals that have been seeded through the galaxy by humans are dear to the spirits.",li,MemeDef/MemeDef.xml,def,"(PH_1)    ->The amazing, genetically modified animals that have been seeded through the galaxy by humans are dear to the spirits.",animistBasis(tag=meme_CarefulGeneticist) ->人类在银河系中播种的令人惊叹的转基因动物对灵魂来说是珍贵的。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.15,"animistFact(tag=meme_CarefulGeneticist)     ->The spirits value our adherence to a strict code of conduct and careful scientific experimentation, for creation without limits becomes destruction.",li,MemeDef/MemeDef.xml,def,"(PH_1)     ->The spirits value our adherence to a strict code of conduct and careful scientific experimentation, for creation without limits becomes destruction.",animistFact(tag=meme_CarefulGeneticist) ->神灵重视我们遵守严格的行为准则和仔细的科学实验，因为无限制的创造就会变成毁灭。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.16,"animistProphecy(tag=meme_CarefulGeneticist) ->[itIsSaid] those who keep carefully turning the lifeless galaxy into an eden will one day commune fully with the spirits, becoming one with them.",li,MemeDef/MemeDef.xml,def,"(PH_2) ->(PH_1) those who keep carefully turning the lifeless galaxy into an eden will one day commune fully with the spirits, becoming one with them.",animistProphecy(tag=meme_CarefulGeneticist) ->[itIsSaid] 那些不断小心翼翼地将死气沉沉的星系变成伊甸园的人有一天会与灵魂充分交流，与他们合而为一。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.17,chthonianProphecy(tag=meme_CarefulGeneticist)->The eldritch entities are beings of chaos and lack of control. By adhering to a strict code of conduct and careful scientific experimentation we are undoing their nefarious influence over the future of humanity.,li,MemeDef/MemeDef.xml,def,(PH_1)->The eldritch entities are beings of chaos and lack of control. By adhering to a strict code of conduct and careful scientific experimentation we are undoing their nefarious influence over the future of humanity.,chthonianProphecy(tag=meme_CarefulGeneticist)->这些可怕的实体是混乱且缺乏控制的生物。通过遵守严格的行为准则和仔细的科学实验，我们正在消除他们对人类未来的邪恶影响。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.18,esotericismProphecy(tag=meme_CarefulGeneticist)->Such occult knowledge can only be acquired through a strict code of conduct and careful scientific experimentation.,li,MemeDef/MemeDef.xml,def,(PH_1)->Such occult knowledge can only be acquired through a strict code of conduct and careful scientific experimentation.,esotericismProphecy(tag=meme_CarefulGeneticist)->这种神秘知识只能通过严格的行为准则和仔细的科学实验来获得。
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.19,serketistProphecy(tag=meme_CarefulGeneticist)->[itIsSaid] we will adhere to a strict code of conduct and careful scientific experimentation.,li,MemeDef/MemeDef.xml,def,(PH_2)->(PH_1) we will adhere to a strict code of conduct and careful scientific experimentation.,serketistProphecy(tag=meme_CarefulGeneticist)->[itIsSaid]我们将遵守严格的行为准则和仔细的科学实验。
