key,text,tag,file,type,protected_text,translated
VCE_AteRawPufferfish.description,You didn't die. This time.,description,HediffDef/HediffDef.xml,def,You didn't die. This time.,你没有死。这次。
VCE_AteRawPufferfish.label,recently ate raw pufferfish,label,HediffDef/HediffDef.xml,def,recently ate raw pufferfish,最近吃了生河豚
VCEF_CaughtSpecialHediff.description,This person has fished something special.,description,HediffDef/HediffDef.xml,def,This person has fished something special.,这个人钓到了一些特别的东西。
VCEF_CaughtSpecialHediff.label,recently fished something special,label,HediffDef/HediffDef.xml,def,recently fished something special,最近钓到了一些特别的东西
VCEF_FishJob.reportString,fishing at TargetA.,reportString,JobDef/JobDef.xml,def,fishing at TargetA.,在 TargetA 钓鱼。
VCEF_FishingSpeedFactor.label,fishing speed,label,StatDef/StatDef.xml,def,fishing speed,钓鱼速度
VCEF_FishingSpeedFactor.description,The speed at which a person can fish is multiplied by this factor.,description,StatDef/StatDef.xml,def,The speed at which a person can fish is multiplied by this factor.,一个人鱼的速度乘以这个系数。
VCEF_FishingYieldFactor.label,fishing yield,label,StatDef/StatDef.xml,def,fishing yield,捕捞产量
VCEF_FishingYieldFactor.description,The fishing yield of a person is multiplied by this factor.,description,StatDef/StatDef.xml,def,The fishing yield of a person is multiplied by this factor.,一个人的捕捞产量乘以这个系数。
VCEF_FishingLuckOffset.label,fishing luck,label,StatDef/StatDef.xml,def,fishing luck,钓鱼运气
VCEF_FishingLuckOffset.description,The chance for every fishing attempt to fish a special item instead of a regular fish is increased by this offset.,description,StatDef/StatDef.xml,def,The chance for every fishing attempt to fish a special item instead of a regular fish is increased by this offset.,每次钓鱼尝试 任何非细长的水生无肢动物。 获得特殊物品而不是常规 任何非细长的水生无肢动物。 的机会都会因该偏移量而增加。
VCEF_RawFishCategory.label,raw fish,label,ThingCategoryDef/ThingCategoryDef.xml,def,raw fish,生鱼
VCEF_RawAnchovy.label,anchovy,label,ThingDef/ThingDef.xml,def,anchovy,凤尾鱼
VCEF_RawAnchovy.description,"Raw anchovy. A small, common forage fish of the family Engraulidae. Most species are found in marine waters, but several will enter brackish water and some are restricted to fresh water.",description,ThingDef/ThingDef.xml,def,"Raw anchovy. A small, common forage fish of the family Engraulidae. Most species are found in marine waters, but several will enter brackish water and some are restricted to fresh water.",生凤尾鱼。鳐鱼科的一种小型常见饲料鱼。大多数物种都在海水中发现，但有些物种会进入咸水，有些仅限于淡水。
VCEF_RawAngelfish.label,angelfish,label,ThingDef/ThingDef.xml,def,angelfish,神仙鱼
VCEF_RawAngelfish.description,"Raw angelfish. Angelfish refers to several species of fish, both marine and freshwater, usually sporting bright colours and deep, laterally compressed bodies.",description,ThingDef/ThingDef.xml,def,"Raw angelfish. Angelfish refers to several species of fish, both marine and freshwater, usually sporting bright colours and deep, laterally compressed bodies.",生神仙鱼。神仙鱼是指海洋和淡水中的几种鱼，通常颜色鲜艳，身体深邃、横向压缩。
VCEF_RawAnglerfish.label,anglerfish,label,ThingDef/ThingDef.xml,def,anglerfish,琵琶鱼
VCEF_RawAnglerfish.description,"Raw anglerfish. Anglerfish are bony fish named for their characteristic mode of predation, in which, a fleshy growth from the fish's head (the esca or illicium) acts as a lure towards other fish.",description,ThingDef/ThingDef.xml,def,"Raw anglerfish. Anglerfish are bony fish named for their characteristic mode of predation, in which, a fleshy growth from the fish's head (the esca or illicium) acts as a lure towards other fish.",生鮟鱇鱼。琵琶鱼是骨质的鱼，因其特有的捕食方式而得名，其中，鱼头部的肉质生长物（esca或illicium）充当其他鱼的诱饵。
VCEF_RawBass.label,bass,label,ThingDef/ThingDef.xml,def,bass,低音
VCEF_RawBass.description,"Raw bass. Bass is a name shared by many species of fish. The term encompasses both freshwater and marine species, all belonging to the large order Perciformes.",description,ThingDef/ThingDef.xml,def,"Raw bass. Bass is a name shared by many species of fish. The term encompasses both freshwater and marine species, all belonging to the large order Perciformes.",原始低音。鲈鱼是许多鱼物种的共同名称。该术语涵盖淡水和海洋物种，均属于鲈形目大目。
VCEF_RawCatfish.label,catfish,label,ThingDef/ThingDef.xml,def,catfish,鲶鱼
VCEF_RawCatfish.description,"Raw catfish. Catfish are a diverse group of ray-finned fish. Named for their prominent barbels, which resemble a cat's whiskers.",description,ThingDef/ThingDef.xml,def,"Raw catfish. Catfish are a diverse group of ray-finned fish. Named for their prominent barbels, which resemble a cat's whiskers.",生鲶鱼。鲶鱼是一个多样化的射线鳍类群鱼。因其突出的触须而得名，触须类似于猫的胡须。
VCEF_RawClownfish.label,clownfish,label,ThingDef/ThingDef.xml,def,clownfish,小丑鱼
VCEF_RawClownfish.description,"Raw clownfish. In the wild, clownfish form symbiotic mutualisms with sea anemones. Depending on species, clownfish are overall yellow, orange, or a reddish or blackish color, and many show white bars or patches.",description,ThingDef/ThingDef.xml,def,"Raw clownfish. In the wild, clownfish form symbiotic mutualisms with sea anemones. Depending on species, clownfish are overall yellow, orange, or a reddish or blackish color, and many show white bars or patches.",生小丑鱼。在野外，小丑鱼与海葵形成共生互利关系。根据物种的不同，小丑鱼整体呈黄色、橙色、微红色或微黑色，许多呈白色条状或斑块。
VCEF_RawCod.label,cod,label,ThingDef/ThingDef.xml,def,cod,鳕鱼
VCEF_RawCod.description,"Raw cod. Cod refers to several large species of fish with a voracious appetite, feeding largely on other fishes and various invertebrates. Cod has long been considered a perfect fish for human consumption, with its flaky white flesh, a high protein content and low fat content.",description,ThingDef/ThingDef.xml,def,"Raw cod. Cod refers to several large species of fish with a voracious appetite, feeding largely on other fishes and various invertebrates. Cod has long been considered a perfect fish for human consumption, with its flaky white flesh, a high protein content and low fat content.",生鳕鱼。鳕鱼是指食欲旺盛的几种大型鱼，主要以其他鱼类和各种无脊椎动物为食。鳕鱼长期以来被认为是人类食用的完美鱼，其肉质呈片状白色，蛋白质含量高，脂肪含量低。
VCEF_RawEel.label,eel,label,ThingDef/ThingDef.xml,def,eel,鳗鱼
VCEF_RawEel.description,"Raw eel. An eel is any ray-finned fish belonging to the order Anguilliformes. Eels are elongated fish, possessing no pelvic fins, and many species also lacking pectoral fins. Eels swim by generating body waves which travel the length of their bodies.",description,ThingDef/ThingDef.xml,def,"Raw eel. An eel is any ray-finned fish belonging to the order Anguilliformes. Eels are elongated fish, possessing no pelvic fins, and many species also lacking pectoral fins. Eels swim by generating body waves which travel the length of their bodies.",生鳗鱼。鳗鱼是属于鳗形目的任何有射线鳍的鱼。鳗鱼体形细长鱼，没有腹鳍，许多种类也没有胸鳍。鳗鱼通过产生沿着身体长度传播的体波来游泳。
VCEF_RawGoldfish.label,goldfish,label,ThingDef/ThingDef.xml,def,goldfish,金鱼
VCEF_RawGoldfish.description,Raw goldfish. The goldfish (Carassius auratus) is a freshwater fish in the family Cyprinidae of order Cypriniformes. It is one of the most commonly kept aquarium fish.,description,ThingDef/ThingDef.xml,def,Raw goldfish. The goldfish (Carassius auratus) is a freshwater fish in the family Cyprinidae of order Cypriniformes. It is one of the most commonly kept aquarium fish.,生金鱼。金鱼（Carassius auratus）是鲤形目鲤科的淡水鱼。它是最常见的水族馆之一鱼。
VCEF_RawGuppy.label,guppy,label,ThingDef/ThingDef.xml,def,guppy,孔雀鱼
VCEF_RawGuppy.description,"Raw guppy. The guppy (Poecilia reticulata), also known as millionfish and rainbow fish, is one of the world's most widely distributed tropical fish, and one of the most popular freshwater aquarium fish species.",description,ThingDef/ThingDef.xml,def,"Raw guppy. The guppy (Poecilia reticulata), also known as millionfish and rainbow fish, is one of the world's most widely distributed tropical fish, and one of the most popular freshwater aquarium fish species.",生孔雀鱼。孔雀鱼 (Poecilia reticulata)，也被称为百万鱼和彩虹鱼，是世界上分布最广泛的热带鱼之一，也是最受欢迎的淡水水族馆鱼物种之一。
VCEF_RawHaddock.label,haddock,label,ThingDef/ThingDef.xml,def,haddock,黑线鳕
