key,text,tag,file,type
GR_CarefulGeneticists.label,careful geneticists,label,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.description,"Humanity has been practicing genetic engineering for centuries, and the correct way to use it as a tool is by carefully following a strict scientific method and proper experiment security.",description,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.0,memeAdjective->careful,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.1,memeAdjective->experimental,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.2,memeAdjective->investigational,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.3,memeAdjective->exploratory,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.4,memeAdjective->scientific,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.5,memeLeaderAdjective->scientific,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.6,memeConcept->genetic engineering,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.7,memeConcept->careful experimentation,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.8,memeLeaderNoun->geneticist,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.generalRules.rulesStrings.9,memeLeaderNoun->scientist,li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.0,"creation(tag=meme_CarefulGeneticist)        ->[deity0_name] spoke to [deity0_possessive] followers: ""Honour the scientific method, for humanity would be lost without this sacred tool.""",li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_CarefulGeneticist)  ->Following [deity0_name]'s teachings, we adhered to strict guidelines on our experiments.",li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.2,"intro(tag=meme_CarefulGeneticist)           ->On the [place_summary] [place_name], the [memberNamePlural] built a genetic engineering lab, and countless genetic wonders were created there, for the glory of [deity0_name].",li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.3,"conflict(tag=meme_CarefulGeneticist)        ->A misguided [foeLeader], feeling some twisted compassion for these animals, tried to go against [deity0_name]'s will and free those that were being studied in the facilities.",li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.4,"founderJoin(tag=meme_CarefulGeneticist)     ->[founderName], a great scientist, showed the hard, cold data to the [foeLeader], and convinced [foeLeader_objective] that humanity is doing [deity0_name]'s work by creating and studying all these wonderful creatures.",li,MemeDef/MemeDef.xml,def
GR_CarefulGeneticists.descriptionMaker.rules.rulesStrings.5,victory(tag=meme_CarefulGeneticist)         ->The [foeLeader] came to firmly believe in [deity0_name]'s admonitions.,li,MemeDef/MemeDef.xml,def
