key,text,tag,file,type
VCE_PlumsDrying,Plums drying,VCE_PlumsDrying,Misc_Gameplay.xml,keyed
VCE_PlumsCurrentlyFrozen,These plums are frozen and will not dry into prunes,VCE_PlumsCurrentlyFrozen,Misc_Gameplay.xml,keyed
VCE_PlumsCurrentlyRefrigerated,These plums are refrigerated and will not dry into prunes as fast as they could (dries in {0}),VCE_PlumsCurrentlyRefrigerated,Misc_Gameplay.xml,keyed
VCE_PlumsDryingCorrectly,These plums are drying into prunes correctly (dries in {0}),VCE_PlumsDryingCorrectly,Misc_Gameplay.xml,keyed
VCE_TilledSoil.label,tilled soil,label,TerrainDef/Terrain_Floors.xml,def
VCE_TilledSoil.description,"Tillage is the agricultural preparation of soil by mechanical agitation of various types, increasing terrain fertility. Tilling soil can only be done on normal soil (not rich soil). When a plant is harvested on a plowed soil, the floor becomes a normal soil again and needs to be plowed again manually.",description,TerrainDef/Terrain_Floors.xml,def
VCE_TilledSoil.tools.0.label,dirt,label,TerrainDef/Terrain_Floors.xml,def
VCE_TilledSoil.modExtensions.0.constructionSkillRequirement.reportStringOverride,tilling soil.,reportStringOverride,TerrainDef/Terrain_Floors.xml,def
VCE_Fruit.label,raw fruits,label,ThingCategoryDef/ThingCategories.xml,def
VCE_RawApple.label,apples,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawApple.description,"Glossy, red apples. Apples have been used as snacking food, a dessert ingredient, and brewed into cider since early mankind.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPeach.label,peaches,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPeach.description,An edible juicy fruit called peach or nectarine. A ripe peach will have a fragrant aroma and be delicious eaten fresh out of hand.,description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawCherry.label,cherries,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawCherry.description,"Tiny purple-red sweet cherries. Cherries are notable for requiring a brief freezing season, as such they quickly became a favorite among northern occidental cultures.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPlum.label,plums,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPlum.description,"A smooth-skinned purple fruit. Many cultures dry-age plums into prunes for long-term preservation. Instead of rotting, once the 15 days have passed the plums will dry into prunes, which are considered preserved food.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPrunes.label,prunes,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPrunes.description,Dried plums. Prunes take a very long time to deteriorate.,description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPear.label,pears,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPear.description,"Crispy green pears. While at first similar to apples, pears are slightly more fibrous and less sweet.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPricklyPear.label,prickly pears,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawPricklyPear.description,"Pink, melon-like edible fruits, used historically for both snacking as well as medicine by desert natives.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_Bearberry.label,bearberries,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_Bearberry.description,"These are small, pink berries known as bearberries. While raw bearberries possess an acidic and bland taste, after cooking a natural sweetness comes through and the results can be much more palatable.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawBanana.label,bananas,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawBanana.description,"Yellow, elongated berries, easily peeled to reveal a deeply sweet, nearly mushy flesh inside. They have been a favorite of both humans and other primates across the tropics for millenia.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawOrange.label,oranges,label,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawOrange.description,"Spherical and perforated, oranges are notoriously annoying to peel and quite pulpy, but known as one of the absolute juiciest fruits with a bright tang and sour aftertaste.",description,ThingDef/Items_Resource_RawFruit.xml,def
VCE_RawOnion.label,onions,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawOnion.description,"An edible bulb of pungent, savory taste and smell with almost as many varieties as cooking applications.",description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawPumpkin.label,pumpkins,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawPumpkin.description,"Technically a giant berry, pumpkins are renowned for being trivial to both sow and harvest.",description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawPepper.label,peppers,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawPepper.description,"Tiny, spicy, crimson pods often used in sauces, relishes, or powders. While the flavor itself is mild the capsaicin contained inside means humans find them oddly addicting, if painful when consumed in mass. Animals are known to avoid eating the plant entirely.",description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawPeas.label,peas,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawPeas.description,Spherical green seeds tucked safely away in a fleshy pod. Peas are notable for having potentially long shelf-lives when dried properly.,description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawEggplant.label,eggplants,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawEggplant.description,"A bulbous purple fruit of the nightshade family. Eggplant is rarely served as a side, generally filling the role of the main component of the dish.",description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawCabbage.label,cabbages,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawCabbage.description,"A somewhat hardy, leafy green vegetable, often chopped and then fermented or stewed.",description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawBeets.label,beets,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawBeets.description,"An herb-like vegetable widely cultivated for humans and livestock alike, notably nutritious and historically used in dye making.",description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawTomatoes.label,tomatoes,label,ThingDef/Items_Resource_RawPlant.xml,def
VCE_RawTomatoes.description,"A series of juicy, glossy red fruits attached by vine, used commonly as a vegetable. Strong stewing releases natural sugars and mellows out acids contained within.",description,ThingDef/Items_Resource_RawPlant.xml,def
VCE_Grass.label,Grass,label,ThingDef/Plants_Cultivated_Farm.xml,def
VCE_Grass.description,"Cultivated grass. Grows anywhere there is a little light and minimally fertile ground.\n\n<color=#E5E54C>Gameplay effect:</color> Grass can be used to feed cattle, similar to haygrass. It isn't affected by blight, but can't be harvested and stored as hay can.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VCE_TallGrass.label,tall grass,label,ThingDef/Plants_Cultivated_Farm.xml,def
VCE_TallGrass.description,"Cultivated tall grass. Grows anywhere there is a little light and minimally fertile ground. Slows down anyone moving over it.\n\n<color=#E5E54C>Gameplay effect:</color> Grass can be used to feed cattle, similar to haygrass. It isn't affected by blight, but can't be harvested and stored as hay can.",description,ThingDef/Plants_Cultivated_Farm.xml,def
VCE_Agave.label,agave,label,ThingDef/Plants_Cultivated_Farm.xml,def
VCE_Agave.description,A large-leafed desert plant with edible flowers and stalks.,description,ThingDef/Plants_Cultivated_Farm.xml,def
