key,text,tag,file,type
VCE_AquaticGrowingZone,Aquatic Growing Zone,VCE_AquaticGrowingZone,Misc_Gameplay.xml,keyed
VCE_AquaticGrowingZoneDesc,Create a zone where your colonists will try to grow aquatic plants. Aquatic plants ignore terrain fertility but take a very long time to sow and harvest.\n\nThese zones can't be placed on oceanic (salty) water.,VCE_AquaticGrowingZoneDesc,Misc_Gameplay.xml,keyed
VCE_SandyGrowingZone,Sand Growing Zone,VCE_SandyGrowingZone,Misc_Gameplay.xml,keyed
VCE_SandyGrowingZoneDesc,Create a zone where your colonists will try to grow sandy terrain plants. Sand plants ignore terrain fertility but take a very long time to sow and harvest.,VCE_SandyGrowingZoneDesc,Misc_Gameplay.xml,keyed
VCE_FlowerGardenGrowingZone,Flower Garden Zone,VCE_FlowerGardenGrowingZone,Misc_Gameplay.xml,keyed
VCE_FlowerGardenGrowingZoneDesc,Create a zone where your colonists will try to grow decorative flowers.,VCE_FlowerGardenGrowingZoneDesc,Misc_Gameplay.xml,keyed
VCE_CarrotsNearby,Carrots planted nearby: {0}/100,VCE_CarrotsNearby,Misc_Gameplay.xml,keyed
VCE_BeansNearby,Green beans planted nearby: {0}/100,VCE_BeansNearby,Misc_Gameplay.xml,keyed
VCE_Make_ChemfuelFromCanola.label,make chemfuel from canola,label,RecipeDef/RecipeDef.xml,def
VCE_Make_ChemfuelFromCanola.description,Make a batch of chemfuel by extracting biofuel from canola flowers.,description,RecipeDef/RecipeDef.xml,def
VCE_Make_ChemfuelFromCanola.jobString,Refining chemfuel from canola.,jobString,RecipeDef/RecipeDef.xml,def
VCE_Flowers.label,flowers,label,ThingCategoryDef/ThingCategoryDef.xml,def
VCE_RawCanola.label,canola flowers,label,ThingDef/ThingDef.xml,def
VCE_RawCanola.description,"A bright-yellow flowering variety of the rapeseed, cultivated mainly for its oil-rich seed.",description,ThingDef/ThingDef.xml,def
VCE_RawAvocado.label,avocados,label,ThingDef/ThingDef.xml,def
VCE_RawAvocado.description,"A green or nearly black coloured fruit with a large seed or pit in the center. Avocados have a very mild, creamy texture. Hipsters love them.",description,ThingDef/ThingDef.xml,def
VCE_RawMelon.label,melons,label,ThingDef/ThingDef.xml,def
