key,text,tag,file,type,mod,protected_text,translated
VFE.FilthStored,Amount of filth stored: {0}\nContainer filled: {1},VFE.FilthStored,Keys.xml,keyed,Vanilla Furniture Expanded,Amount of filth stored: (PH_3)(PH_2)Container filled: (PH_1),"储存的污物量：{0}
容器已装满：{1}"
VFE.FilthStoredBeauty,Container filled ({1}): {0},VFE.FilthStoredBeauty,Keys.xml,keyed,Vanilla Furniture Expanded,Container filled ((PH_2)): (PH_1),容器已满 ({1}): {0}
VFE.SetTargetCleanup,Container cleanup threshold: {0},VFE.SetTargetCleanup,Keys.xml,keyed,Vanilla Furniture Expanded,Container cleanup threshold: (PH_1),容器清理阈值：{0}
VFE.CannotPlaceOnWall,Cannot be place inside a wall.,VFE.CannotPlaceOnWall,Keys.xml,keyed,Vanilla Furniture Expanded,Cannot be place inside a wall.,不能放置在墙内。
VFE.ComputerNeedChairs,Computer needs a chair,VFE.ComputerNeedChairs,Keys.xml,keyed,Vanilla Furniture Expanded,Computer needs a chair,电脑需要一把椅子
VFE.ComputerNeedChairsDesc,One of your computers does not have any adjacent chair.\n\nBuild adjacent chair or stool to allow your colonists to use the computer.,VFE.ComputerNeedChairsDesc,Keys.xml,keyed,Vanilla Furniture Expanded,One of your computers does not have any adjacent chair.(PH_2)(PH_1)Build adjacent chair or stool to allow your colonists to use the computer.,"您的一台计算机没有任何相邻的椅子。

建造相邻的椅子或凳子以允许您的殖民者使用计算机。"
VFE.RouletteTableOnWall,Roulette needs space,VFE.RouletteTableOnWall,Keys.xml,keyed,Vanilla Furniture Expanded,Roulette needs space,轮盘赌需要空间
VFE.RouletteTableOnWallDesc,One of your roulette tables is adjacent to an obstruction that will prevent colonists from using it.\n\nA roulette table needs clear space around it on all sides to be usable.,VFE.RouletteTableOnWallDesc,Keys.xml,keyed,Vanilla Furniture Expanded,One of your roulette tables is adjacent to an obstruction that will prevent colonists from using it.(PH_2)(PH_1)A roulette table needs clear space around it on all sides to be usable.,"您的其中一个轮盘赌桌邻近有障碍物，该障碍物会阻止殖民者使用它。

轮盘赌桌周围需要有足够的空间才能使用。"
VFE.SunbathingPossibleForPawn,Sunbathing possible for {PAWNLIST},VFE.SunbathingPossibleForPawn,Keys.xml,keyed,Vanilla Furniture Expanded,Sunbathing possible for (PH_1),{PAWNLIST} 可以享受日光浴
VFE.SunbathingPossibleGeneric,"Sunbathing possible, assuming temperature is comfortable and colonists enjoy outdoor activities",VFE.SunbathingPossibleGeneric,Keys.xml,keyed,Vanilla Furniture Expanded,"Sunbathing possible, assuming temperature is comfortable and colonists enjoy outdoor activities",可以享受日光浴，前提是温度舒适并且殖民者喜欢户外活动
VFE.SunbathingNotPossible,Sunbathing not possible:,VFE.SunbathingNotPossible,Keys.xml,keyed,Vanilla Furniture Expanded,Sunbathing not possible:,不能晒日光浴：
VFE.SunbathingNotPossible.UnderRoof,under a roof,VFE.SunbathingNotPossible.UnderRoof,Keys.xml,keyed,Vanilla Furniture Expanded,under a roof,在一个屋顶下
