key,text,tag,file,type
LetterLabelAnimalPodCrash,Animal transport pod crash,LetterLabelAnimalPodCrash,VEE_Incidents.xml,keyed
AnimalPodCrash,"A crate with a {PAWN_kind} called {PAWN_nameDef} is crashing in a transport pod nearby. If it survives the crash it will be badly wounded.

If rescued, it can freely join the colony, or go back to living in the wild.",AnimalPodCrash,VEE_Incidents.xml,keyed
AJLabel,Rescued animal join,AJLabel,VEE_Incidents.xml,keyed
AJLetter,The animal you rescued is joining the colony,AJLetter,VEE_Incidents.xml,keyed
ADJLabel,Rescued animal don't join,ADJLabel,VEE_Incidents.xml,keyed
ADJLetter,The animal you rescued isn't joining the colony,ADJLetter,VEE_Incidents.xml,keyed
TraitorLabel,Traitor!,TraitorLabel,VEE_Incidents.xml,keyed
Traitor,"A colonist named {PAWN_nameDef}, which you have accepted into your ranks, turns out to be an enemy agent from {PAWN_factionName}.

You can capture {PAWN_objective} for recruitment or slavery purposes.",Traitor,VEE_Incidents.xml,keyed
SpaceBattleLabel,Space battle,SpaceBattleLabel,VEE_Incidents.xml,keyed
SpaceBattle,Several massive spaceships have engaged in combat in the planet's orbit. Missed shots and debris can impact the ground in the area. This can lead to massive fires.,SpaceBattle,VEE_Incidents.xml,keyed
ShuttleCrashLabel,Shuttle Crash,ShuttleCrashLabel,VEE_Incidents.xml,keyed
ShuttleCrash,"A planet-bound shuttle is crashing nearby. If the crew survives the impact, they will be badly wounded. The crashed ship can be deconstructed for useful resources.

The crew is not affiliated with any faction, which means they can be rescued and may join you freely, or captured for recruitment or slavery purposes.",ShuttleCrash,VEE_Incidents.xml,keyed
EarthquakeLabel,Earthquake,EarthquakeLabel,VEE_Incidents.xml,keyed
Earthquake,Changes in the planet's crust caused a small scale localised earthquake. Some structures can become damaged and roofs can collapse.,Earthquake,VEE_Incidents.xml,keyed
CPWLabel,Cargo pods (weapons),CPWLabel,VEE_Incidents.xml,keyed
CPW,"You have detected a cluster of cargo pods crashing nearby.

Perhaps you'll find something useful in the wreckage.",CPW,VEE_Incidents.xml,keyed
CPALabel,Cargo pods (apparel),CPALabel,VEE_Incidents.xml,keyed
CPA,"You have detected a cluster of cargo pods crashing nearby.

Perhaps you'll find something useful in the wreckage.",CPA,VEE_Incidents.xml,keyed
CAWILabel,Caravan animals wander in,CAWILabel,VEE_Incidents.xml,keyed
CAWI,"A group of {PAWN_kind}, abandoned or lost, wanders in.

They seem to have belonged to some caravan, as they still carry packs with valuable items. You can collect these items if you tame them or kill them. Otherwise, they will leave the area in a couple of days.",CAWI,VEE_Incidents.xml,keyed
CSLabel,Crop sprout,CSLabel,VEE_Incidents.xml,keyed
CS1,A large field of,CS1,VEE_Incidents.xml,keyed
CS2,"has sprouted nearby. If you wait for it to grow, you will be able to harvest plenty of food! If left unharvested, it will slowly rot and disappear.",CS2,VEE_Incidents.xml,keyed
