key,text,tag,file,type
VBE_BrewMintCoffee.label,brew mint coffee,label,RecipeDef/Recipes_Coffee_Cooking.xml,def
VBE_BrewMintCoffee.description,"Brew a bitter espresso mixed with cream or milk, then further mixed with mint oil and garnished. Cool and velvety coffee gives way to an even cooler, soothing aftertaste, not to mention great smelling breath.",description,RecipeDef/Recipes_Coffee_Cooking.xml,def
VBE_BrewMintCoffee.jobString,Brewing mint coffee.,jobString,RecipeDef/Recipes_Coffee_Cooking.xml,def
VBE_BrewDalgonaCoffee.label,brew dalgona coffee,label,RecipeDef/Recipes_Coffee_Cooking.xml,def
VBE_BrewDalgonaCoffee.description,"Brew a trendy, newer drink in the world of coffee rumored to originate from far off steamworlds. Coffee granules are rapidly mixed with sugar to form a thick, luxuriously sweet foam. Afterwards the foam is dispersed over deeply chilled milk before drinking.",description,RecipeDef/Recipes_Coffee_Cooking.xml,def
VBE_BrewDalgonaCoffee.jobString,Brewing dalgona coffee.,jobString,RecipeDef/Recipes_Coffee_Cooking.xml,def
VBE_MakeGreenTea.label,make green tea,label,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeGreenTea.description,"Make a light, citrusy green tea spiked with sugar to create a buttery, almost nutty flavor.",description,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeGreenTea.jobString,Making green tea.,jobString,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeMintTea.label,make mint tea,label,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeMintTea.description,"Make black tea leaves mixed with mint leaves and deeply steeped, then garnished with additional mint leaves. Leaves your breath surprisingly fresh.",description,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeMintTea.jobString,Making mint tea.,jobString,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeMasalaChai.label,make masala chai,label,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeMasalaChai.description,"Make a musty, warm, almost woody tea crafted by simple leaves and complex spices. Alleged to be good against high cholesterol.",description,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeMasalaChai.jobString,Making masala chai.,jobString,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeNoonChai.label,make noon chai,label,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeNoonChai.description,"Make an ancient Kashmiri tea mixing tea leaves, a pinch of salt and baking soda, which results in an striking pink beverage that is famous for being not only delicious but also healthy for the body. Very efficient for treating those with a high blood pressure.",description,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_MakeNoonChai.jobString,Making noon chai.,jobString,RecipeDef/Recipes_Tea_Cooking.xml,def
VBE_DalgonaCoffee.label,dalgona coffee,label,ThingDef/Drinks_DalgonaCoffee.xml,def
