key,text,tag,file,type
VQE_Technophobia.label,technophobia,label,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.description,Humanity should reject technology as it exposes us to discord and cataclysm.,description,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.0,memeAdjective->primitive,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.1,memeAdjective->natural,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.2,memeAdjective->organic,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.3,memeAdjective->traditional,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.4,memeAdjective->rustic,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.5,memeCreed->path,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.6,memeCreed->movement,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.7,memeCreed->circle,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.8,memeCreed->doctrine,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.9,memeCreed->faith,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.10,memeHyphenPrefix->anti,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.11,memeHyphenPrefix->earth,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.12,memeHyphenPrefix->post,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.13,memeHyphenPrefix->neo,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.14,memeHyphenPrefix->rust,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.15,memeConcept->humanity,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.16,memeConcept->nature,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.17,memeConcept->purity,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.18,memeConcept->balance,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.19,memeConcept->simplicity,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.20,memeLeaderNoun->arbiter,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.21,memeLeaderNoun->seer,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.22,memeLeaderNoun->keeper,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.23,memeLeaderNoun->sage,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.24,memeLeaderNoun->prophet,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.25,memeLeaderAdjective->natural,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.26,memeLeaderAdjective->primal,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.27,memeLeaderAdjective->earthly,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.28,memeLeaderAdjective->ascetic,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.29,memeLeaderAdjective->pure,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.30,memeMoralist->warden,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.31,memeMoralist->protector,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.32,memeMoralist->guardian,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.33,memeMoralist->preserver,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.generalRules.rulesStrings.34,memeMoralist->guide,li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.descriptionMaker.rules.rulesStrings.0,"creation(tag=meme_Technophobic)        ->[deity0_name] taught humanity to survive through the strength of their hands and the purity of nature, warning that machines would only bring ruin.",li,MemeDef/Memes_Misc.xml,def
VQE_Technophobia.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_Technophobic)  ->When humanity turned to machines, [deity0_name] wept and unleashed storms to sweep away the taint of their arrogance.",li,MemeDef/Memes_Misc.xml,def
