key,text,tag,file,type,protected_text
VCE_ConsumedSoySauce.label,consumed soy sauce (from meal),label,HediffDef/HediffDef.xml,def,consumed soy sauce (from meal)
VCE_ConsumedSoySauce.description,"A fermented paste of soybeans, roasted grain, brine, and Aspergillus bacteria. Soy sauce can be added directly to food, and is used as a dip or salt flavor in cooking, as well as providing a rich umami taste. Soy sauce contains 10 times the antioxidants of red wine, and can help prevent cardiovascular diseases (increases blood pumping and filtration).",description,HediffDef/HediffDef.xml,def,"A fermented paste of soybeans, roasted grain, brine, and Aspergillus bacteria. Soy sauce can be added directly to food, and is used as a dip or salt flavor in cooking, as well as providing a rich umami taste. Soy sauce contains 10 times the antioxidants of red wine, and can help prevent cardiovascular diseases (increases blood pumping and filtration)."
VCE_ConsumedWasabi.label,consumed wasabi (from meal),label,HediffDef/HediffDef.xml,def,consumed wasabi (from meal)
VCE_ConsumedWasabi.description,A paste made from ground wasabi rhizomes and used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. Wasabi clears your breathing and makes you feel warmer for a while.,description,HediffDef/HediffDef.xml,def,A paste made from ground wasabi rhizomes and used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. Wasabi clears your breathing and makes you feel warmer for a while.
VCE_AteSimpleSushi.label,consumed simple sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed simple sushi (from meal)
VCE_AteSimpleSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/HediffDef.xml,def,I have eaten a delicious and filling sushi meal.
VCE_AteFineSushi.label,consumed fine sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed fine sushi (from meal)
VCE_AteFineSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/HediffDef.xml,def,I have eaten a delicious and filling sushi meal.
VCE_AteLavishSushi.label,consumed lavish sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed lavish sushi (from meal)
VCE_AteLavishSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/HediffDef.xml,def,I have eaten a delicious and filling sushi meal.
VCE_AteGourmetSushi.label,consumed gourmet sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed gourmet sushi (from meal)
