key,text,tag,file,type,protected_text,translated
VCE_ConsumedSoySauce.label,consumed soy sauce (from meal),label,HediffDef/HediffDef.xml,def,consumed soy sauce (from meal),消耗的酱油（来自膳食）
VCE_ConsumedSoySauce.description,"A fermented paste of soybeans, roasted grain, brine, and Aspergillus bacteria. Soy sauce can be added directly to food, and is used as a dip or salt flavor in cooking, as well as providing a rich umami taste. Soy sauce contains 10 times the antioxidants of red wine, and can help prevent cardiovascular diseases (increases blood pumping and filtration).",description,HediffDef/HediffDef.xml,def,"A fermented paste of soybeans, roasted grain, brine, and Aspergillus bacteria. Soy sauce can be added directly to food, and is used as a dip or salt flavor in cooking, as well as providing a rich umami taste. Soy sauce contains 10 times the antioxidants of red wine, and can help prevent cardiovascular diseases (increases blood pumping and filtration).",大豆、烤谷物、盐水和曲霉菌的发酵糊。酱油可以直接添加到食物中，在烹饪中用作蘸酱或盐味，并提供丰富的鲜味。酱油含有的抗氧化剂是红酒的10倍，可以帮助预防心血管疾病（增加血液泵送和过滤）。
VCE_ConsumedWasabi.label,consumed wasabi (from meal),label,HediffDef/HediffDef.xml,def,consumed wasabi (from meal),食用芥末（从膳食中）
VCE_ConsumedWasabi.description,A paste made from ground wasabi rhizomes and used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. Wasabi clears your breathing and makes you feel warmer for a while.,description,HediffDef/HediffDef.xml,def,A paste made from ground wasabi rhizomes and used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. Wasabi clears your breathing and makes you feel warmer for a while.,由磨碎的芥末根茎制成的糊状物，用作寿司和其他食物的辛辣调味品。它的味道与热芥末相似，而不是辣椒，因为它对鼻子的刺激大于舌头。芥末可以净化你的呼吸，让你暂时感觉温暖。
VCE_AteSimpleSushi.label,consumed simple sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed simple sushi (from meal),吃简单的寿司（从餐中）
VCE_AteSimpleSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/HediffDef.xml,def,I have eaten a delicious and filling sushi meal.,我吃了一顿美味又丰盛的寿司大餐。
VCE_AteFineSushi.label,consumed fine sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed fine sushi (from meal),食用精美寿司（从餐中）
VCE_AteFineSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/HediffDef.xml,def,I have eaten a delicious and filling sushi meal.,我吃了一顿美味又丰盛的寿司大餐。
VCE_AteLavishSushi.label,consumed lavish sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed lavish sushi (from meal),吃了丰盛的寿司（从餐中）
VCE_AteLavishSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/HediffDef.xml,def,I have eaten a delicious and filling sushi meal.,我吃了一顿美味又丰盛的寿司大餐。
VCE_AteGourmetSushi.label,consumed gourmet sushi (from meal),label,HediffDef/HediffDef.xml,def,consumed gourmet sushi (from meal),消耗的美味寿司（来自膳食）
VCE_AteGourmetSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/HediffDef.xml,def,I have eaten a delicious and filling sushi meal.,我吃了一顿美味又丰盛的寿司大餐。
VCE_SoybeansToSauce.label,Ferment soybeans into soy sauce,label,PipeSystem.ProcessDef/PipeSystem.ProcessDef.xml,def,Ferment soybeans into soy sauce,将黄豆发酵成酱油
VCE_SoybeansToSauce.description,Turn 30 soybeans into 15 soy sauce.,description,PipeSystem.ProcessDef/PipeSystem.ProcessDef.xml,def,Turn 30 soybeans into 15 soy sauce.,将30粒黄豆变成15粒酱油。
VCE_WasabiPaste.label,make wasabi paste,label,RecipeDef/RecipeDef.xml,def,make wasabi paste,制作芥末酱
VCE_WasabiPaste.description,Create wasabi paste from raw wasabi. It is used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. It loses its flavour and deteriorates extremely fast.,description,RecipeDef/RecipeDef.xml,def,Create wasabi paste from raw wasabi. It is used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. It loses its flavour and deteriorates extremely fast.,用生芥末制作芥末酱。它被用作寿司和其他食物的辛辣调味品。它的味道与热芥末相似，而不是辣椒，因为它对鼻子的刺激大于舌头。它会失去味道并且变质速度极快。
VCE_WasabiPaste.jobString,Making wasabi paste.,jobString,RecipeDef/RecipeDef.xml,def,Making wasabi paste.,制作芥末酱。
VCE_DeepFrySushi.label,deep fry sushi x20,label,RecipeDef/RecipeDef.xml,def,deep fry sushi x20,油炸寿司 x20
VCE_DeepFrySushi.description,"Deep fry sushi. Deep fried food is very tasty, but not very good for your health.",description,RecipeDef/RecipeDef.xml,def,"Deep fry sushi. Deep fried food is very tasty, but not very good for your health.",油炸寿司。油炸食品非常美味，但对健康不利。
