key,text,tag,file,type,protected_text,translated
VBE_BrewLemonCoffee.label,brew espresso romano,label,RecipeDef/RecipeDef.xml,def,brew espresso romano,酿造罗马浓缩咖啡
VBE_BrewLemonCoffee.description,"Brew an already acidic coffee garnished with a wedge of more acidic lemon, meant to be juiced into the coffee before quickly consumed while hot. An acquired taste to be sure but lauded by those who do prefer it.",description,RecipeDef/RecipeDef.xml,def,"Brew an already acidic coffee garnished with a wedge of more acidic lemon, meant to be juiced into the coffee before quickly consumed while hot. An acquired taste to be sure but lauded by those who do prefer it.",冲泡一杯已经呈酸性的咖啡，饰以一片酸性更强的柠檬，在热期间快速饮用之前，将其榨汁到咖啡中。当然，这是一种后天习得的品味，但也受到那些喜欢它的人的称赞。
VBE_BrewLemonCoffee.jobString,Brewing espresso romano.,jobString,RecipeDef/RecipeDef.xml,def,Brewing espresso romano.,酿造罗马浓缩咖啡。
VBE_MixLemonade.label,mix lemonade,label,RecipeDef/RecipeDef.xml,def,mix lemonade,混合柠檬水
VBE_MixLemonade.description,"Squeeze a few lemons, mix the juice with water and add some sugar.",description,RecipeDef/RecipeDef.xml,def,"Squeeze a few lemons, mix the juice with water and add some sugar.",挤一些柠檬，将汁与水混合，然后加入一些糖。
VBE_MixLemonade.jobString,Mixing lemonade.,jobString,RecipeDef/RecipeDef.xml,def,Mixing lemonade.,混合柠檬水。
VBE_MakeLemonTea.label,make lemon tea,label,RecipeDef/RecipeDef.xml,def,make lemon tea,泡柠檬茶
VBE_MakeLemonTea.description,"Make a dark tea cut with water, chilled and garnished with a wedge of bright lemon.",description,RecipeDef/RecipeDef.xml,def,"Make a dark tea cut with water, chilled and garnished with a wedge of bright lemon.",用水冲泡一杯黑茶，冷却并用一片鲜柠檬装饰。
VBE_MakeLemonTea.jobString,Making lemon tea.,jobString,RecipeDef/RecipeDef.xml,def,Making lemon tea.,制作柠檬茶。
VBE_MakeEarlGreyTea.label,make earl grey tea,label,RecipeDef/RecipeDef.xml,def,make earl grey tea,制作伯爵茶
VBE_MakeEarlGreyTea.description,Make a very strong and semi-sweet fruity tea. Floral notes dance around one's pallet at even the most dull scent. People who finish the drink feel strangely urged to colonize.,description,RecipeDef/RecipeDef.xml,def,Make a very strong and semi-sweet fruity tea. Floral notes dance around one's pallet at even the most dull scent. People who finish the drink feel strangely urged to colonize.,制作非常浓的半甜果味茶。即使是最沉闷的香味，花香也会在人的托盘中翩翩起舞。喝完酒的人会奇怪地感到想要殖民。
VBE_MakeEarlGreyTea.jobString,Making earl grey tea.,jobString,RecipeDef/RecipeDef.xml,def,Making earl grey tea.,制作伯爵茶。
VBE_EarlGreyTea.label,earl grey tea,label,ThingDef/ThingDef.xml,def,earl grey tea,伯爵茶
VBE_EarlGreyTea.description,A very strong and semi-sweet fruity tea. Floral notes dance around one's pallet at even the most dull scent. People who finish the drink feel strangely urged to colonize.,description,ThingDef/ThingDef.xml,def,A very strong and semi-sweet fruity tea. Floral notes dance around one's pallet at even the most dull scent. People who finish the drink feel strangely urged to colonize.,一种非常浓的半甜果味茶。即使是最沉闷的香味，花香也会在人的托盘中翩翩起舞。喝完酒的人会奇怪地感到想要殖民。
VBE_EarlGreyTea.ingestible.ingestCommandString,Drink {0},ingestCommandString,ThingDef/ThingDef.xml,def,Drink (PH_1),喝{0}
VBE_EarlGreyTea.ingestible.ingestReportString,Drinking {0}.,ingestReportString,ThingDef/ThingDef.xml,def,Drinking (PH_1).,饮酒 {0}。
VBE_DrankEarlGreyTea.stages.0.label,Tea. Earl Grey. Hot,label,ThoughtDef/ThoughtDef.xml,def,Tea. Earl Grey. Hot,茶。格雷伯爵.热的
VBE_DrankEarlGreyTea.stages.0.description,Make it so.,description,ThoughtDef/ThoughtDef.xml,def,Make it so.,就这样吧。
VBE_DrankEarlGreyTea.label,drank earl grey tea,label,HediffDef/HediffDef.xml,def,drank earl grey tea,喝了伯爵茶
VBE_DrankEarlGreyTea.description,"Tannins naturally found in tea once metabolised increases the stimuli in ones nervous system, suppressing ones urge to sleep, as well as boosting ones immune system. Increases immunity gain speed by 15% and provides 10% reduction in rest fall rate for 5 hours. Earl grey tea provides a 10% research speed bonus.",description,HediffDef/HediffDef.xml,def,"Tannins naturally found in tea once metabolised increases the stimuli in ones nervous system, suppressing ones urge to sleep, as well as boosting ones immune system. Increases immunity gain speed by 15% and provides 10% reduction in rest fall rate for 5 hours. Earl grey tea provides a 10% research speed bonus.",茶中天然存在的单宁一旦代谢后会增加对神经系统的刺激，抑制人的睡眠欲望，并增强人的免疫系统。免疫获得速度提高 15%，静止跌倒率降低 10%，持续 5 小时。伯爵茶提供 10% 的研究速度奖励。
VBE_LemonCoffee.label,espresso romano,label,ThingDef/ThingDef.xml,def,espresso romano,罗马快车
VBE_LemonCoffee.description,"A particularly strange combination. Already acidic coffee garnished with a wedge of more acidic lemon, meant to be juiced into the coffee before quickly consumed while hot. An acquired taste to be sure but lauded by those who do prefer it. Specially indicated to combat intestinal parasites.",description,ThingDef/ThingDef.xml,def,"A particularly strange combination. Already acidic coffee garnished with a wedge of more acidic lemon, meant to be juiced into the coffee before quickly consumed while hot. An acquired taste to be sure but lauded by those who do prefer it. Specially indicated to combat intestinal parasites.",一个特别奇怪的组合。已经是酸性的咖啡，上面装饰着一块更酸的柠檬，意味着要在热时快速饮用之前将其榨汁到咖啡中。当然，这是一种后天习得的品味，但也受到那些喜欢它的人的称赞。特别适用于对抗肠道寄生虫。
VBE_LemonCoffee.ingestible.ingestCommandString,Drink {0},ingestCommandString,ThingDef/ThingDef.xml,def,Drink (PH_1),喝{0}
VBE_LemonCoffee.ingestible.ingestReportString,Drinking {0}.,ingestReportString,ThingDef/ThingDef.xml,def,Drinking (PH_1).,饮酒 {0}。
VBE_LemonCoffeeHigh.label,lemon coffee high,label,HediffDef/HediffDef.xml,def,lemon coffee high,柠檬咖啡高
VBE_LemonCoffeeHigh.labelNoun,a lemon coffee high,labelNoun,HediffDef/HediffDef.xml,def,a lemon coffee high,柠檬咖啡高
