key,text,tag,file,type
VRESaurids_FactionGreetingHostile,{0} screeches something only saurids could understand into the microphone and disconnects.,VRESaurids_FactionGreetingHostile,Dialogs_Various.xml,keyed
VRESaurids_FactionGreetingHostileAppreciative,"Hissing and screeching angrily, {0} demands that you make a gesture of unity, like bringing gifts to one of {0_possessive} settlements or releasing {0_possessive} faction's prisoners unharmed. Until then, {0_pronoun} is unwilling to talk.\n\nHissing an insult, {0_pronoun} disconnects.",VRESaurids_FactionGreetingHostileAppreciative,Dialogs_Various.xml,keyed
VRESaurids_FactionGreetingWary,{0} hisses a greeting and asks what business you need done.,VRESaurids_FactionGreetingWary,Dialogs_Various.xml,keyed
VRESaurids_FactionGreetingWarm,"Barks out enthusiastically, {0} greets {NEGOTIATOR_labelShort} and asks what {LEADER_pronoun} can do to help you.",VRESaurids_FactionGreetingWarm,Dialogs_Various.xml,keyed
VRESaurids_MilitaryAidSent,{0} agrees to send saurid fighters to help you.,VRESaurids_MilitaryAidSent,Dialogs_Various.xml,keyed
VRESaurids.EggLaidLabel,{0} laid an egg!,VRESaurids.EggLaidLabel,Dialogs_Various.xml,keyed
VRESaurids.EggLaidDesc,"{0} has laid an egg due to being oviparous. Make sure to keep the egg in a safe environment, under the roof and between 0°C - 50°C. After some time the egg will hatch into a child. {0} will be unable to lay another egg until their body recovers from this process.",VRESaurids.EggLaidDesc,Dialogs_Various.xml,keyed
VRESaurids.EggHatchedLabel,{0}'s egg hatched!,VRESaurids.EggHatchedLabel,Dialogs_Various.xml,keyed
VRESaurids.EggHatchedDesc,"{0}'s egg has hatched successfully, adding a new baby to the colony! Remember to take care of them and ensure they grow up healthy.",VRESaurids.EggHatchedDesc,Dialogs_Various.xml,keyed
VRESaurids.CannotOviparous,oviparous,VRESaurids.CannotOviparous,Dialogs_Various.xml,keyed
VRESaurids.ColdBloodedDanger,Cold-blooded Danger!,VRESaurids.ColdBloodedDanger,Dialogs_Various.xml,keyed
VRESaurids.ColdBloodedDangerExplanation,"Cold-blooded pawns will fall to extreme temperatures much easier and faster than others, these pawns are currently at risk",VRESaurids.ColdBloodedDangerExplanation,Dialogs_Various.xml,keyed
VRESaurids_OutlanderRoughSaurid.label,rough saurid union,label,FactionDef/FactionDef_Saurids.xml,def
