key,text,tag,file,type
VFE.FilthStored,Amount of filth stored: {0}\nContainer filled: {1},VFE.FilthStored,Keys.xml,keyed
VFE.FilthStoredBeauty,Container filled ({1}): {0},VFE.FilthStoredBeauty,Keys.xml,keyed
VFE.SetTargetCleanup,Container cleanup threshold: {0},VFE.SetTargetCleanup,Keys.xml,keyed
VFE.CannotPlaceOnWall,Cannot be place inside a wall.,VFE.CannotPlaceOnWall,Keys.xml,keyed
VFE.ComputerNeedChairs,Computer needs a chair,VFE.ComputerNeedChairs,Keys.xml,keyed
VFE.ComputerNeedChairsDesc,One of your computers does not have any adjacent chair.\n\nBuild adjacent chair or stool to allow your colonists to use the computer.,VFE.ComputerNeedChairsDesc,Keys.xml,keyed
VFE.RouletteTableOnWall,Roulette needs space,VFE.RouletteTableOnWall,Keys.xml,keyed
VFE.RouletteTableOnWallDesc,One of your roulette tables is adjacent to an obstruction that will prevent colonists from using it.\n\nA roulette table needs clear space around it on all sides to be usable.,VFE.RouletteTableOnWallDesc,Keys.xml,keyed
VFE.SunbathingPossibleForPawn,Sunbathing possible for {PAWNLIST},VFE.SunbathingPossibleForPawn,Keys.xml,keyed
VFE.SunbathingPossibleGeneric,"Sunbathing possible, assuming temperature is comfortable and colonists enjoy outdoor activities",VFE.SunbathingPossibleGeneric,Keys.xml,keyed
VFE.SunbathingNotPossible,Sunbathing not possible:,VFE.SunbathingNotPossible,Keys.xml,keyed
VFE.SunbathingNotPossible.UnderRoof,under a roof,VFE.SunbathingNotPossible.UnderRoof,Keys.xml,keyed
VFE.SunbathingNotPossible.BadWeather,bad weather,VFE.SunbathingNotPossible.BadWeather,Keys.xml,keyed
VFE.SunbathingNotPossible.NotSunny,not sunny enough,VFE.SunbathingNotPossible.NotSunny,Keys.xml,keyed
VFE.SunbathingNotPossible.PawnOutdoors,{PAWN_labelShort} doesn't enjoy outdoors,VFE.SunbathingNotPossible.PawnOutdoors,Keys.xml,keyed
VFE.SunbathingNotPossible.PawnComfortableTemperature,not comfortable temperature for {PAWN_labelShort},VFE.SunbathingNotPossible.PawnComfortableTemperature,Keys.xml,keyed
