key,text,tag,file,type
VFEPD_VGE_Agrocell.label,agrocell,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_Agrocell.description,"An enclosed, space-efficient growing unit designed for use on gravships. Upon closer inspection, it's just a decal!",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactStove.label,compact stove,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactStove.description,"A space-efficient, gravship-powered stove designed for use aboard gravships. This one seems to be non-functional.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactDrugLab.label,compact drug lab,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactDrugLab.description,"A space-efficient, gravship-powered drug lab designed for use aboard gravships. This one seems to be non-functional.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactMachiningTable.label,compact machining table,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactMachiningTable.description,"A space-efficient, gravship-powered machining table designed for use aboard gravships. This one seems to be non-functional.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactSmithy.label,compact smithy,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactSmithy.description,"A space-efficient, gravship-powered smithy designed for use aboard gravships. This one seems to be non-functional.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactTailor.label,compact tailor bench,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactTailor.description,"A space-efficient, gravship-powered tailor bench designed for use aboard gravships. This one seems to be non-functional.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactRefinery.label,compact biofuel refinery,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactRefinery.description,"A space-efficient, gravship-powered biofuel refinery designed for use aboard gravships. This one seems to be non-functional.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactFabBench.label,compact fabrication bench,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_CompactFabBench.description,"A space-efficient, gravship-powered fabrication bench designed for use aboard gravships. This one seems to be non-functional.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_TargetingTerminal.label,targeting terminal,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_TargetingTerminal.description,A control station dedicated to operating a single gravship artillery piece. Out of order.,description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_AmmoBox_GaussShell.label,gauss shell ammo box,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_VGE_AmmoBox_GaussShell.description,A small-sized box containing large fake uranium shells.,description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_DestroyedSmallOxygenTank.label,destroyed small oxygen tank,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_DestroyedSmallOxygenTank.description,"This tank once supplied oxygen to the gravship, but it’s now broken and useless.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_DestroyedSmallAstrofuelTank.label,destroyed small astrofuel tank,label,ThingDef/Buildings_VEGravship.xml,def
VFEPD_DestroyedSmallAstrofuelTank.description,"This tank once stored astrofuel for thrusters, but it has been destroyed.",description,ThingDef/Buildings_VEGravship.xml,def
VFEPD_DestroyedGravExtender.label,destroyed grav field extender,label,ThingDef/Buildings_VEGravship.xml,def
