key,text,tag,file,type,protected_text
VBE_BrewMintCoffee.label,brew mint coffee,label,RecipeDef/RecipeDef.xml,def,brew mint coffee
VBE_BrewMintCoffee.description,"Brew a bitter espresso mixed with cream or milk, then further mixed with mint oil and garnished. Cool and velvety coffee gives way to an even cooler, soothing aftertaste, not to mention great smelling breath.",description,RecipeDef/RecipeDef.xml,def,"Brew a bitter espresso mixed with cream or milk, then further mixed with mint oil and garnished. Cool and velvety coffee gives way to an even cooler, soothing aftertaste, not to mention great smelling breath."
VBE_BrewMintCoffee.jobString,Brewing mint coffee.,jobString,RecipeDef/RecipeDef.xml,def,Brewing mint coffee.
VBE_BrewDalgonaCoffee.label,brew dalgona coffee,label,RecipeDef/RecipeDef.xml,def,brew dalgona coffee
VBE_BrewDalgonaCoffee.description,"Brew a trendy, newer drink in the world of coffee rumored to originate from far off steamworlds. Coffee granules are rapidly mixed with sugar to form a thick, luxuriously sweet foam. Afterwards the foam is dispersed over deeply chilled milk before drinking.",description,RecipeDef/RecipeDef.xml,def,"Brew a trendy, newer drink in the world of coffee rumored to originate from far off steamworlds. Coffee granules are rapidly mixed with sugar to form a thick, luxuriously sweet foam. Afterwards the foam is dispersed over deeply chilled milk before drinking."
VBE_BrewDalgonaCoffee.jobString,Brewing dalgona coffee.,jobString,RecipeDef/RecipeDef.xml,def,Brewing dalgona coffee.
VBE_MakeGreenTea.label,make green tea,label,RecipeDef/RecipeDef.xml,def,make green tea
VBE_MakeGreenTea.description,"Make a light, citrusy green tea spiked with sugar to create a buttery, almost nutty flavor.",description,RecipeDef/RecipeDef.xml,def,"Make a light, citrusy green tea spiked with sugar to create a buttery, almost nutty flavor."
VBE_MakeGreenTea.jobString,Making green tea.,jobString,RecipeDef/RecipeDef.xml,def,Making green tea.
VBE_MakeMintTea.label,make mint tea,label,RecipeDef/RecipeDef.xml,def,make mint tea
VBE_MakeMintTea.description,"Make black tea leaves mixed with mint leaves and deeply steeped, then garnished with additional mint leaves. Leaves your breath surprisingly fresh.",description,RecipeDef/RecipeDef.xml,def,"Make black tea leaves mixed with mint leaves and deeply steeped, then garnished with additional mint leaves. Leaves your breath surprisingly fresh."
VBE_MakeMintTea.jobString,Making mint tea.,jobString,RecipeDef/RecipeDef.xml,def,Making mint tea.
VBE_MakeMasalaChai.label,make masala chai,label,RecipeDef/RecipeDef.xml,def,make masala chai
VBE_MakeMasalaChai.description,"Make a musty, warm, almost woody tea crafted by simple leaves and complex spices. Alleged to be good against high cholesterol.",description,RecipeDef/RecipeDef.xml,def,"Make a musty, warm, almost woody tea crafted by simple leaves and complex spices. Alleged to be good against high cholesterol."
VBE_MakeMasalaChai.jobString,Making masala chai.,jobString,RecipeDef/RecipeDef.xml,def,Making masala chai.
VBE_MakeNoonChai.label,make noon chai,label,RecipeDef/RecipeDef.xml,def,make noon chai
VBE_MakeNoonChai.description,"Make an ancient Kashmiri tea mixing tea leaves, a pinch of salt and baking soda, which results in an striking pink beverage that is famous for being not only delicious but also healthy for the body. Very efficient for treating those with a high blood pressure.",description,RecipeDef/RecipeDef.xml,def,"Make an ancient Kashmiri tea mixing tea leaves, a pinch of salt and baking soda, which results in an striking pink beverage that is famous for being not only delicious but also healthy for the body. Very efficient for treating those with a high blood pressure."
VBE_MakeNoonChai.jobString,Making noon chai.,jobString,RecipeDef/RecipeDef.xml,def,Making noon chai.
VBE_DalgonaCoffee.label,dalgona coffee,label,ThingDef/ThingDef.xml,def,dalgona coffee
VBE_DalgonaCoffee.description,"A trendy, newer drink in the world of coffee rumored to originate from far off steamworlds. Coffee granules are rapidly mixed with sugar to form a thick, luxuriously sweet foam. Afterwards the foam is dispersed over deeply chilled milk before drinking. Arguably the perfect drink to sip on while studying or reading.",description,ThingDef/ThingDef.xml,def,"A trendy, newer drink in the world of coffee rumored to originate from far off steamworlds. Coffee granules are rapidly mixed with sugar to form a thick, luxuriously sweet foam. Afterwards the foam is dispersed over deeply chilled milk before drinking. Arguably the perfect drink to sip on while studying or reading."
VBE_DalgonaCoffee.ingestible.ingestCommandString,Drink {0},ingestCommandString,ThingDef/ThingDef.xml,def,Drink (PH_1)
VBE_DalgonaCoffee.ingestible.ingestReportString,Drinking {0}.,ingestReportString,ThingDef/ThingDef.xml,def,Drinking (PH_1).
VBE_DalgonaCoffeeHigh.label,dalgona coffee high,label,HediffDef/HediffDef.xml,def,dalgona coffee high
VBE_DalgonaCoffeeHigh.labelNoun,a dalgona coffee high,labelNoun,HediffDef/HediffDef.xml,def,a dalgona coffee high
VBE_DalgonaCoffeeHigh.description,"Caffeine naturally found in coffee once metabolised increases the stimuli in one's nervous system, suppressing ones urge to sleep, as well as clearing ones mind. Increases learning speed by a 15% amount and 15% reduction in rest fall rate. Cold coffee reduces heatstroke. Dalgona coffee provides a 10% research speed bonus.",description,HediffDef/HediffDef.xml,def,"Caffeine naturally found in coffee once metabolised increases the stimuli in one's nervous system, suppressing ones urge to sleep, as well as clearing ones mind. Increases learning speed by a 15% amount and 15% reduction in rest fall rate. Cold coffee reduces heatstroke. Dalgona coffee provides a 10% research speed bonus."
