key,text,tag,file,type,protected_text,translated
VBE_BrewMintCoffee.label,brew mint coffee,label,RecipeDef/RecipeDef.xml,def,brew mint coffee,冲泡薄荷咖啡
VBE_BrewMintCoffee.description,"Brew a bitter espresso mixed with cream or milk, then further mixed with mint oil and garnished. Cool and velvety coffee gives way to an even cooler, soothing aftertaste, not to mention great smelling breath.",description,RecipeDef/RecipeDef.xml,def,"Brew a bitter espresso mixed with cream or milk, then further mixed with mint oil and garnished. Cool and velvety coffee gives way to an even cooler, soothing aftertaste, not to mention great smelling breath.",冲泡一杯苦味浓缩咖啡，与奶油或牛奶混合，然后进一步与薄荷油混合并装饰。凉爽柔滑的咖啡让位于更凉爽、舒缓的余味，更不用说美妙的呼吸了。
VBE_BrewMintCoffee.jobString,Brewing mint coffee.,jobString,RecipeDef/RecipeDef.xml,def,Brewing mint coffee.,冲泡薄荷咖啡。
VBE_BrewDalgonaCoffee.label,brew dalgona coffee,label,RecipeDef/RecipeDef.xml,def,brew dalgona coffee,冲泡达尔戈纳咖啡
VBE_BrewDalgonaCoffee.description,"Brew a trendy, newer drink in the world of coffee rumored to originate from far off steamworlds. Coffee granules are rapidly mixed with sugar to form a thick, luxuriously sweet foam. Afterwards the foam is dispersed over deeply chilled milk before drinking.",description,RecipeDef/RecipeDef.xml,def,"Brew a trendy, newer drink in the world of coffee rumored to originate from far off steamworlds. Coffee granules are rapidly mixed with sugar to form a thick, luxuriously sweet foam. Afterwards the foam is dispersed over deeply chilled milk before drinking.",在据说起源于遥远蒸汽世界的咖啡世界中酿造一种时尚、更新的饮料。咖啡颗粒与糖快速混合，形成浓稠、香甜的泡沫。然后，在饮用前将泡沫分散在深冷的牛奶中。
VBE_BrewDalgonaCoffee.jobString,Brewing dalgona coffee.,jobString,RecipeDef/RecipeDef.xml,def,Brewing dalgona coffee.,冲泡达尔戈纳咖啡。
VBE_MakeGreenTea.label,make green tea,label,RecipeDef/RecipeDef.xml,def,make green tea,泡绿茶
VBE_MakeGreenTea.description,"Make a light, citrusy green tea spiked with sugar to create a buttery, almost nutty flavor.",description,RecipeDef/RecipeDef.xml,def,"Make a light, citrusy green tea spiked with sugar to create a buttery, almost nutty flavor.",泡一杯清淡的柑橘味绿茶，加入糖，营造出黄油般、近乎坚果味的味道。
VBE_MakeGreenTea.jobString,Making green tea.,jobString,RecipeDef/RecipeDef.xml,def,Making green tea.,泡绿茶。
VBE_MakeMintTea.label,make mint tea,label,RecipeDef/RecipeDef.xml,def,make mint tea,做薄荷茶
VBE_MakeMintTea.description,"Make black tea leaves mixed with mint leaves and deeply steeped, then garnished with additional mint leaves. Leaves your breath surprisingly fresh.",description,RecipeDef/RecipeDef.xml,def,"Make black tea leaves mixed with mint leaves and deeply steeped, then garnished with additional mint leaves. Leaves your breath surprisingly fresh.",将红茶叶与薄荷叶混合并深度浸泡，然后用额外的薄荷叶装饰。让您的呼吸异常清新。
VBE_MakeMintTea.jobString,Making mint tea.,jobString,RecipeDef/RecipeDef.xml,def,Making mint tea.,制作薄荷茶。
VBE_MakeMasalaChai.label,make masala chai,label,RecipeDef/RecipeDef.xml,def,make masala chai,制作马萨拉柴
VBE_MakeMasalaChai.description,"Make a musty, warm, almost woody tea crafted by simple leaves and complex spices. Alleged to be good against high cholesterol.",description,RecipeDef/RecipeDef.xml,def,"Make a musty, warm, almost woody tea crafted by simple leaves and complex spices. Alleged to be good against high cholesterol.",用简单的叶子和复杂的香料制作出一种有霉味、温暖、几乎木香的茶。据称对高胆固醇有好处。
VBE_MakeMasalaChai.jobString,Making masala chai.,jobString,RecipeDef/RecipeDef.xml,def,Making masala chai.,制作马萨拉奶茶。
VBE_MakeNoonChai.label,make noon chai,label,RecipeDef/RecipeDef.xml,def,make noon chai,做午茶
