key,text,tag,file,type
VFEPD_FakeCube.label,fake cube,label,ThingDef/ThingDef.xml,def
VFEPD_FakeCube.description,"Isn't this heresy?? This is heresy, right??",description,ThingDef/ThingDef.xml,def
VFEPD_DecorativePlatform.label,decorative platform,label,ThingDef/ThingDef.xml,def
VFEPD_DecorativePlatform.description,A decorative holding platform. Not useful for containment of any kind.,description,ThingDef/ThingDef.xml,def
VFEPD_AtmosphericHeater.label,atmospheric heater,label,ThingDef/ThingDef.xml,def
VFEPD_AtmosphericHeater.description,A thermal projection device powered by scavenged shards of dark archotechnology. Inactive.,description,ThingDef/ThingDef.xml,def
VFEPD_AtmosphericHeaterLit.label,"atmospheric heater, lit",label,ThingDef/ThingDef.xml,def
VFEPD_AtmosphericHeaterLit.description,A thermal projection device powered by scavenged shards of dark archotechnology. Inactive.,description,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Dirt.label,"decorative cube, dirt",label,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Dirt.description,A hastily constructed sculpture resembling a cube.,description,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Stone.label,"decorative cube, stone",label,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Stone.description,A hastily constructed sculpture resembling a cube.,description,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Sand.label,"decorative cube, sand",label,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Sand.description,A hastily constructed sculpture resembling a cube.,description,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Scrap.label,"decorative cube, scrap",label,ThingDef/ThingDef.xml,def
VFEPD_DecorativeCubeSculture_Scrap.description,A hastily constructed sculpture resembling a cube.,description,ThingDef/ThingDef.xml,def
VFEPD_GrayBox.label,gray box,label,ThingDef/ThingDef.xml,def
VFEPD_GrayBox.description,"A strange gray container. It is featureless and the surfaces are smooth. The material is not metal, concrete, or any other identifiable material. Sealed shut.",description,ThingDef/ThingDef.xml,def
VFEPD_GrayBox_Empty.label,empty gray box,label,ThingDef/ThingDef.xml,def
VFEPD_GrayBox_Empty.description,"A strange gray container. It is featureless and the surfaces are smooth. The material is not metal, concrete, or any other identifiable material. Empty.",description,ThingDef/ThingDef.xml,def
VFEPD_FakeGrayDoor.label,fake gray door,label,ThingDef/ThingDef.xml,def
VFEPD_FakeGrayDoor.description,A non-functional door. It's just two painted plywood panels and won't open. Can be traversed.,description,ThingDef/ThingDef.xml,def
VFEPD_FakeSecurityDoor.label,fake security door,label,ThingDef/ThingDef.xml,def
VFEPD_FakeSecurityDoor.description,A non-functional security door. It's just two painted plywood panels and won't open. Can be traversed.,description,ThingDef/ThingDef.xml,def
VFEPD_GrayStatue.label,decorative gray statue,label,ThingDef/ThingDef.xml,def
VFEPD_GrayStatue.description,"A strange, twisted sculpture shaped into a disturbing form. It hums gently with some strange internal energy. Merely decorative.",description,ThingDef/ThingDef.xml,def
VFEPD_Noctolith.label,noctolith,label,ThingDef/ThingDef.xml,def
VFEPD_Noctolith.description,"A twisted pillar of jagged blade-like structures made of dark, oily metal. Merely decorative.",description,ThingDef/ThingDef.xml,def
VFEPD_InactiveTwistedObelisk.label,inactive twisted obelisk,label,ThingDef/ThingDef.xml,def
VFEPD_InactiveTwistedObelisk.description,A large metallic pillar. Inactive and merely decorative.,description,ThingDef/ThingDef.xml,def
VFEPD_InactiveCorruptedObelisk.label,inactive corrupted obelisk,label,ThingDef/ThingDef.xml,def
VFEPD_InactiveCorruptedObelisk.description,A large metallic pillar. Inactive and merely decorative.,description,ThingDef/ThingDef.xml,def
VFEPD_InactiveWarpedObelisk.label,inactive warped obelisk,label,ThingDef/ThingDef.xml,def
VFEPD_InactiveWarpedObelisk.description,A large metallic pillar. Inactive and merely decorative.,description,ThingDef/ThingDef.xml,def
VFEPD_PitBurrow.label,fake pit burrow,label,ThingDef/ThingDef.xml,def
VFEPD_PitBurrow.description,"A small hole connecting to some unseen cave network deep under the surface... Actually, on close inspection it seems to be just painted on the ground...",description,ThingDef/ThingDef.xml,def
VFEPD_EndlessPit2x2c.label,"fake pit, small",label,ThingDef/ThingDef.xml,def
VFEPD_EndlessPit2x2c.description,"A smooth-sided hole that extends endlessly downwards... Actually, on close inspection it seems to be just painted on the ground...",description,ThingDef/ThingDef.xml,def
VFEPD_EndlessPit3x2c.label,"fake pit, medium",label,ThingDef/ThingDef.xml,def
