key,text,tag,file,type
VFEC_MeatDryingRackNotWorking,This meat drying rack is not working at the moment,VFEC_MeatDryingRackNotWorking,ItemProcessor.xml,keyed
VFEC_ConcretePressNotWorking,This cement press is not working at the moment,VFEC_ConcretePressNotWorking,ItemProcessor.xml,keyed
VFEC_TyrianFarmNotWorking,This tyrian farm is not working at the moment,VFEC_TyrianFarmNotWorking,ItemProcessor.xml,keyed
VFEC.Letters.SenatorJoins,Senator Joins: {0},VFEC.Letters.SenatorJoins,Letters.xml,keyed
VFEC.Letters.SenatorJoins.Desc,"{0}, a senator from {1}, has agreed to join you. This has unlocked the perk {2}.",VFEC.Letters.SenatorJoins.Desc,Letters.xml,keyed
VFEC.Letters.SenatorJoins.Desc.Research,"They have also shared some knowledge with you, automatically researching {0}.",VFEC.Letters.SenatorJoins.Desc.Research,Letters.xml,keyed
VFEC.Letters.SenatorJoins.Desc.All,"Since you now have all senators from {0}, you have now unlocked the perk {1}. Additionally, perks will no longer be lost if a senator dies.",VFEC.Letters.SenatorJoins.Desc.All,Letters.xml,keyed
VFEC.Letters.SenatorJoins.Desc.All.Research,"Finally, combining the knowledge of all {0} senators means you have automatically researched {1}.",VFEC.Letters.SenatorJoins.Desc.All.Research,Letters.xml,keyed
VFEC.Letters.SenatorLost,Senator Lost: {0},VFEC.Letters.SenatorLost,Letters.xml,keyed
VFEC.Letters.SenatorLost.Desc,"{0}, a senator from {1}, has died in your care. {1} will now elect a new senator, who you will have to gain the favor of. As such, the perk {2} has been lost.",VFEC.Letters.SenatorLost.Desc,Letters.xml,keyed
VFEC.Letters.Donation,Tribute Recieved from {0},VFEC.Letters.Donation,Letters.xml,keyed
VFEC.Letters.Donation.Desc,{0} has provided tribute of {1}.,VFEC.Letters.Donation.Desc,Letters.xml,keyed
VFEC.Letters.Researched,Technology Gained: {0},VFEC.Letters.Researched,Letters.xml,keyed
VFEC.Letters.Researched.Desc,"{1} has recently made a breakthrough in their technological advancements, and they have shared the technology with you.
Technology unlocked:
{0}",VFEC.Letters.Researched.Desc,Letters.xml,keyed
VFEC.Senators.Open,Open senator screen,VFEC.Senators.Open,Misc.xml,keyed
VFEC.Senators.GainFavor,You gain the favor of Senator {0} from {1}.,VFEC.Senators.GainFavor,Misc.xml,keyed
VFEC.Senators.FavorOf,Favor of {0},VFEC.Senators.FavorOf,Misc.xml,keyed
VFEC.Senators.FavorTip,"You will be favored by {0}, who will join your colony. This will activate their associated perk, along with automatically researching their associated project.",VFEC.Senators.FavorTip,Misc.xml,keyed
VFEC.TransferToColony,Transfer to Colony,VFEC.TransferToColony,Misc.xml,keyed
VFEC.PerkUnlocked,The perk {0} has been unlocked.,VFEC.PerkUnlocked,Misc.xml,keyed
VFEC.Scorpion.PickUp,Pick Up Scorpion,VFEC.Scorpion.PickUp,Misc.xml,keyed
VFEC.Scorpion.SetUp,Set Up Scorpion,VFEC.Scorpion.SetUp,Misc.xml,keyed
VFEC.LightTheBeacon,Light the Beacon,VFEC.LightTheBeacon,Misc.xml,keyed
VFEC.Cooldown,Still on cooldown.,VFEC.Cooldown,Misc.xml,keyed
VFEC.NoAllies,No allies.,VFEC.NoAllies,Misc.xml,keyed
VFEC.NoReinforce,No reinforcements available.,VFEC.NoReinforce,Misc.xml,keyed
VFEC.NoHostiles,allies have no hostiles,VFEC.NoHostiles,Misc.xml,keyed
VFEC.ReinforcementLegionFailed,Reinforcement legion is unable to assist: {0}.,VFEC.ReinforcementLegionFailed,Misc.xml,keyed
VFEC.LightTheBeacon.Desc,Light this beacon to call reinforcements.,VFEC.LightTheBeacon.Desc,Misc.xml,keyed
VFEC.BuildingRoad,"Building road: {0}, progress: {1}, ({2}/{3})",VFEC.BuildingRoad,Misc.xml,keyed
VFEC.RoadFinished,{0} has finished building {1},VFEC.RoadFinished,Misc.xml,keyed
VFEC.Unknown,Unknown,VFEC.Unknown,Misc.xml,keyed
Outposts.MustBeMade,Must be made in the {0},Outposts.MustBeMade,Outposts.xml,keyed
Outposts.MustBeMade.Hill,Must be made in mountains or hills,Outposts.MustBeMade.Hill,Outposts.xml,keyed
Outposts.SkillTooLow,"Total skill too low, needs {0}",Outposts.SkillTooLow,Outposts.xml,keyed
Outposts.Settings.Shooting,Shooting Importance,Outposts.Settings.Shooting,Outposts.xml,keyed
Outposts.Settings.Animals,Animals Importance,Outposts.Settings.Animals,Outposts.xml,keyed
Outposts.Settings.NeedPods,Need Transport Pods Tech to Deploy Reinforcements?,Outposts.Settings.NeedPods,Outposts.xml,keyed
Outposts.Settings.Leather,Leather Multiplier,Outposts.Settings.Leather,Outposts.xml,keyed
Outposts.Settings.Meat,Meat Multiplier,Outposts.Settings.Meat,Outposts.xml,keyed
VFEC.UI.SenatorsOf,Senators of {0},VFEC.UI.SenatorsOf,UI.xml,keyed
VFEC.UI.GainingFavor,Gaining the favor of this senator will unlock:,VFEC.UI.GainingFavor,UI.xml,keyed
VFEC.UI.Perk,{0} perk,VFEC.UI.Perk,UI.xml,keyed
VFEC.UI.Research,{0} research project,VFEC.UI.Research,UI.xml,keyed
VFEC.UI.ReQuest,Request a quest,VFEC.UI.ReQuest,UI.xml,keyed
VFEC.UI.Bribe,Bribe ({0} silver),VFEC.UI.Bribe,UI.xml,keyed
VFEC.UI.GainingFavorAll,Gaining the favor of all senators will unlock:,VFEC.UI.GainingFavorAll,UI.xml,keyed
VFEC.UI.SenatorsInFavor,Senators in favor: {0}/{1},VFEC.UI.SenatorsInFavor,UI.xml,keyed
VFEC.UI.Info,"Gaining favor of a senator will have that senator join your colony. Losing that senator will force you to impress a new one. As such, you should aim to keep them alive.\n
Gain support of all the senators to unlock unique perks and eventually unite the Republics under your rule. Once you gain favor of all 5 senators of any Republic, the perks are yours forever, no matter what happens to Senators.",VFEC.UI.Info,UI.xml,keyed
VFEC.UI.NotEnoughMoney,You do not have enough money with you to do this.,VFEC.UI.NotEnoughMoney,UI.xml,keyed
VFEC.UI.BribeReject,{0} has rejected your bribe and can no longer be bribed.,VFEC.UI.BribeReject,UI.xml,keyed
VFEC.UI.AlreadyQuest,Already have a quest for that senator.,VFEC.UI.AlreadyQuest,UI.xml,keyed
VFEC.UI.ViewPerks,View Perks,VFEC.UI.ViewPerks,UI.xml,keyed
