key,text,tag,file,type
VAE_CasualWear.label,casual wear,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_CasualWear.description,Craft casual wear with handy features for any life situation.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_CasualWear.generalRules.rulesStrings.0,subject->everyday comfort,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_CasualWear.generalRules.rulesStrings.1,subject_story->revolutionized daily attire with pockets for every gadget,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_CasualWear.generalRules.rulesStrings.2,subject_story->created clothes that adapt to both social gatherings and solitude,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_CasualWear.generalRules.rulesStrings.3,"subject_story->crafted the ultimate leisure outfit, blending fashion with utility",li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_CasualWear.generalRules.rulesStrings.4,subject_gerund->designing versatile casual wear,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_FormalWear.label,formal wear,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_FormalWear.description,Craft suits and formal wear.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_FormalWear.generalRules.rulesStrings.0,subject->elegant dressing,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_FormalWear.generalRules.rulesStrings.1,subject_story->designed the most sought-after gala attire,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_FormalWear.generalRules.rulesStrings.2,subject_story->brought back vintage styles with a modern twist,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_FormalWear.generalRules.rulesStrings.3,subject_story->tailored suits that became the standard in high diplomacy,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_FormalWear.generalRules.rulesStrings.4,subject_gerund->crafting exquisite formal wear,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_WorkAttire.label,work attire,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_WorkAttire.description,Craft comfortable and and functional attire for any kind of work.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_WorkAttire.generalRules.rulesStrings.0,subject->functional fashion,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_WorkAttire.generalRules.rulesStrings.1,subject_story->introduced durable fabrics that withstand any job,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_WorkAttire.generalRules.rulesStrings.2,subject_story->innovated with multi-tool belts integrated into work pants,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_WorkAttire.generalRules.rulesStrings.3,subject_story->set the new norm with climate-adaptive work clothes,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_WorkAttire.generalRules.rulesStrings.4,subject_gerund->sewing specialized work attire,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_SterileAttire.label,sterile attire,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_SterileAttire.description,Craft sterile attire used by doctors and scientists.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_SterileAttire.generalRules.rulesStrings.0,subject->hygienic wear,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_SterileAttire.generalRules.rulesStrings.1,subject_story->developed a fabric that repels 99.9% of microbes,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_SterileAttire.generalRules.rulesStrings.2,subject_story->pioneered the self-cleaning lab coat,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_SterileAttire.generalRules.rulesStrings.3,subject_story->introduced color-coded uniforms for different lab sectors,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_SterileAttire.generalRules.rulesStrings.4,subject_gerund->producing sterile clothing,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MilitaryClothing.label,military clothing,label,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MilitaryClothing.description,Craft weatherproof outfits to protect your soldiers.,description,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MilitaryClothing.generalRules.rulesStrings.0,subject->tactical gear,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MilitaryClothing.generalRules.rulesStrings.1,subject_story->designed camouflage that blends into multiple terrains,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MilitaryClothing.generalRules.rulesStrings.2,subject_story->created armor inserts that are both lightweight and bulletproof,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MilitaryClothing.generalRules.rulesStrings.3,subject_story->equipped units with climate-controlled battle dress,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VAE_MilitaryClothing.generalRules.rulesStrings.4,subject_gerund->assembling advanced military outfits,li,ResearchProjectDef/ResearchProjects_Various.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabs.xml,def
VAE_BootsAndGloves.label,handwear and footwear,label,ThingCategoryDef/ThingCategories.xml,def
VAE_Footwear_Boots.label,boots,label,ThingDef/Apparel_Footwear.xml,def
VAE_Footwear_Boots.description,A simple pair of leather boots.,description,ThingDef/Apparel_Footwear.xml,def
VAE_Footwear_Shoes.label,shoes,label,ThingDef/Apparel_Footwear.xml,def
VAE_Footwear_Shoes.description,A fancy pair of leather shoes.,description,ThingDef/Apparel_Footwear.xml,def
VAE_Handwear_Gloves.label,gloves,label,ThingDef/Apparel_Handwear.xml,def
VAE_Handwear_Gloves.description,A simple pair of gloves.,description,ThingDef/Apparel_Handwear.xml,def
VAE_Apparel_CasualTShirt.label,casual T-shirt,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_CasualTShirt.description,A casual T-shirt with a cool sticker on it.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Hoodie.label,hoodie,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Hoodie.description,A warm casual hoodie that doesn’t limit wearer’s movement.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Shorts.label,shorts,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Shorts.description,"A pair of shorts, perfect for hot summer days.",description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Skirt.label,skirt,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Skirt.description,A short skirt.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_ShirtandTie.label,shirt and tie,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_ShirtandTie.description,A nice looking collared shirt with buttons and a tie.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_SuitJacket.label,suit jacket,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_SuitJacket.description,A nice looking suit jacket.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Trousers.label,trousers,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Trousers.description,A nice looking set of suit trousers.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Headgear_Fedora.label,fedora,label,ThingDef/Apparel_Industrial.xml,def
VAE_Headgear_Fedora.description,A nice looking hat with a soft brim and indented crown.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Overalls.label,overalls,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Overalls.description,A pair of bib-and-brace overalls perfect for working in the field.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_FleeceShirt.label,fleece shirt,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_FleeceShirt.description,"A soft, checkered, breathable shirt perfect for working in the field.",description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Jeans.label,jeans,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Jeans.description,A pair of thick enough jeans to provide some degree of protection from damage and cold.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_ChefsUniform.label,chef's uniform,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_ChefsUniform.description,A thick cloth coat protects from the heat of stoves and splattering of boiling liquids.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_MilitaryJacket.label,military jacket,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_MilitaryJacket.description,"A thick fabric military formal jacket used for certain ceremonies, receptions and celebrations. It contains orders, medals insignia and campaign ribbons. It is considered a symbol of courage and valor.",description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_MilitaryUniform.label,military uniform,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_MilitaryUniform.description,"A thick, protective coverall with a military camouflage.",description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_BuildersJacket.label,builder's jacket,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_BuildersJacket.description,A jacket with highly reflective properties and a colour that is easily discernible from any background.\n\nMost industrial employees wear it as part of their personal protective equipment.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_DoctorScrubs.label,doctor scrubs,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_DoctorScrubs.description,"Sanitary clothing worn by surgeons, nurses and other workers involved in patient care. They are designed to be simple, easy to launder and cheap to replace if damaged or stained.",description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_LabCoat.label,lab coat,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_LabCoat.description,A light coat worn to protect clothing from substances used in a lab.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_TankTop.label,tank top,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_TankTop.description,"A sleeveless type of T-shirt, useful during prolonged exercise.",description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_SheriffShirt.label,sheriff shirt,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_SheriffShirt.description,"A formal, thick buttoned-down shirt with a sheriff star on the chest. Provides wearer with a sense of pride and accomplishment.",description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Jumpsuit.label,jumpsuit,label,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Jumpsuit.description,A full body jumpsuit made out of thick fabric or leather. Excellent for general body protection and manual labour.,description,ThingDef/Apparel_Industrial.xml,def
VAE_Apparel_Tunic.label,tunic,label,ThingDef/Apparel_Medieval.xml,def
VAE_Apparel_Tunic.description,"Slightly heavier than a normal shirt, a tunic is a great isolation against cold weather.",description,ThingDef/Apparel_Medieval.xml,def
VAE_Apparel_Blouse.label,blouse,label,ThingDef/Apparel_Medieval.xml,def
VAE_Apparel_Blouse.description,"Very light and thin blouse, great for hot climates.",description,ThingDef/Apparel_Medieval.xml,def
VAE_Apparel_Apron.label,apron,label,ThingDef/Apparel_Medieval.xml,def
VAE_Apparel_Apron.description,"A leather or cloth apron covering legs, waist and chest.\n\nApron like that is often used by craftsmen, doctors and chefs due to useful pockets and protection it provides.",description,ThingDef/Apparel_Medieval.xml,def
VAE_Apparel_PeltCoat.label,pelt coat,label,ThingDef/Apparel_Neolithic.xml,def
VAE_Apparel_PeltCoat.description,"A heavy coat insulated due to animal pelt, providing warmth and armor.",description,ThingDef/Apparel_Neolithic.xml,def
VAE_Apparel_TribalPoncho.label,tribal poncho,label,ThingDef/Apparel_Neolithic.xml,def
VAE_Apparel_TribalPoncho.description,"A poncho crafted using neolithic tools. While it may look primitive, it is effective at insulating the wearer.",description,ThingDef/Apparel_Neolithic.xml,def
VAE_Apparel_TribalKilt.label,tribal kilt,label,ThingDef/Apparel_Neolithic.xml,def
VAE_Apparel_TribalKilt.description,"A kilt crafted using neolithic tools. While it may look primitive, it is effective at insulating the wearer.",description,ThingDef/Apparel_Neolithic.xml,def
VAE_Headgear_Scarf.label,scarf,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Scarf.description,A warm and long piece of fabric protecting the neck from exposure to cold.,description,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Beret.label,military beret,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Beret.description,"A soft, flat crowned hat. Often worn by the military as a symbol of valor.",description,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Hardhat.label,hardhat,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Hardhat.description,A type of helmet predominantly used in a work environment. Provides high protection against blunt trauma.,description,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_SurgicalMask.label,surgical mask,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_SurgicalMask.description,"Sanitary mask worn by the surgeons, nurses and other workers involved in patient care.",description,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_BaseballCap.label,baseball cap,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_BaseballCap.description,A type of soft cap with a rounded crown and a stiff peak protecting the front.,description,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Sunglasses.label,sunglasses,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Sunglasses.description,A pair of sunglasses protecting the wearer from dangerous UV rays. Often considered to be ‘cool’.,description,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Glasses.label,glasses,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_Glasses.description,"A pair of correction glasses, providing users with some degree of psychic immunity.",description,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_ChefsToque.label,chef's toque,label,ThingDef/Headgear_Industrial.xml,def
VAE_Headgear_ChefsToque.description,"A tall, round, pleated hat usually worn by the chefs.",description,ThingDef/Headgear_Industrial.xml,def
