key,text,tag,file,type
VME_Angler.label,fishing culture,label,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.description,"Serene and therapeutic, placid lakes and lapping shores are criminally underappreciated. With a little time or simple engineering rivers and oceans alike can leave our bellies full of tasty fish.",description,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.0,memeAdjective->piscatorial,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.1,memeAdjective->coastal,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.2,memeAdjective->seafaring,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.3,memeAdjective->angling,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.4,memeHyphenPrefix->fish,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.5,memeHyphenPrefix->river,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.6,memeHyphenPrefix->sea,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.generalRules.rulesStrings.7,memeConcept->fishing,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.0,"creation(tag=meme_Anglers)        ->[deity0_name] spoke to all [deity0_possessive] followers and told them: ""Again, the kingdom of heaven is like a dragnet cast into the sea, and gathering fish of every kind.""",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.1,"episode(uses=1,tag=meme_Anglers)  ->[deity0_name] said to all the [memberNamePlural], ""Follow Me, and I will make you fishers of men.""",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.2,"intro(tag=meme_Anglers)           ->[memberNamePlural] built a great [altarName] on the [place_summary] [place_name], and great angling competitions took place there every year.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.3,"conflict(tag=meme_Anglers)        ->An envious [foeLeader], seeking to deny the will of [deity0_name], told [foeLeader_possessive] [foeSoldiers] to poison the lakes and seas surrounding the [altarName].",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.4,"founderJoin(tag=meme_Anglers)     ->[deity0_name] blessed a [place_job] named [founderName] with [deity0_possessive] divine intelligence and [founder_pronoun] built a great water purifier, and the waters once again teamed with thousands of fish.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.5,"victory(tag=meme_Anglers)         ->The [foeSoldiers] and the [foeLeader] were humiliated and thwarted, and they had to leave the [memberNamePlural] alone.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.6,setup(tag=meme_Anglers)           ->Our founder [founderName] was the greatest angler to have lived. No fish was big enough for [founderName_objective].,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.7,"story(uses=1,tag=meme_Anglers)    ->[founderName] taught us that fishing is a state of mind. [founderName_pronoun] always said that the charm of fishing is that it is the pursuit of what is elusive but attainable, a perpetual series of occasions for hope.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.8,"lessonIntro(tag=meme_Anglers)         ->I've spent as much of my life fishing as decency allowed, and sometimes I don't let even that get in my way. I have learned that",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.9,"lesson(tag=meme_Anglers)              ->fishing is a hard job. Fishing at night. Rain. Day, night. You have to be wise and smart. And quick.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.10,"lessonReinforcement(tag=meme_Anglers) ->After a day's fishing, I'll know the solution to something or have good ideas that were not accessible before.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.11,"archistBasis(tag=meme_Anglers)    ->The archotechs filled the oceans and the rivers with wondrous plenty, accessible to anyone with the knowledge to take advantage of it.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.12,"archistFact(tag=meme_Anglers)     ->Archotechs value resourcefulness above other things, and we must accept the bounty of the waters as their gift.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.13,"archistProphecy(tag=meme_Anglers) ->[inTheEnd], the archotechs will be the greatest anglers, and their catch will be the ones worthy of transcendence.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.14,animistFact(tag=meme_Anglers)     ->The spirits of fish provide us with the greatest bounty: the teeming life present in rivers and oceans.,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.15,"serketistProphecy(tag=meme_Anglers)->[itIsSaid] we will learn the ways of insects to find food whenever it's needed, by exploiting the greatest bounty: the teeming life present in rivers and oceans.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.16,chthonianProphecy(tag=meme_Anglers)->Ph'nglui mglw'nafh [deity0_name] [place_name] wgah'nagl fhtagn.,li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.17,"esotericismProphecy(tag=meme_Anglers)->We will discern what is hidden behind these secrets, perhaps by divining the entrails of dead fish.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.18,"eschatologismFact(tag=meme_Anglers)->Like the slippery fish that hide beyond the abyssal depths, we will strike from the darkness and we will be unstoppable.",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_Angler.descriptionMaker.rules.rulesStrings.19,"introMemo(tag=meme_Anglers)->Good news! In this year's company-wide raffle we are again including as a prize a two weeks, all expenses paid fishing trip! I know you are as excited as I am, so get those tickets as soon as possible!",li,MemeDef/Memes_VanillaFishingExpanded.xml,def
VME_FishingYield.label,fishing,label,IssueDef/Precepts_Fishing.xml,def
VME_Fishing.label,fishing,label,HistoryEventDef/Precepts_Fishing.xml,def
VME_Fishing_Adept.label,adept,label,PreceptDef/Precepts_Fishing.xml,def
VME_Fishing_Adept.description,"Fishing is the right way; ranching and farming is not.\n\n<color=#E5E54C>Gameplay effect:</color>\n - Adept fishermen will be able to catch additional fish from fishing zones. These fish are considered ""adept catches"" and provide double nutrition from other fish in the same size category.",description,PreceptDef/Precepts_Fishing.xml,def
VME_Ranching_Discouraged.label,discouraged,label,PreceptDef/Precepts_Ranching_Fishing.xml,def
