key,text,tag,file,type,protected_text,translated
AA_ExplodingWeb.label,exploding web,label,AbilityDef/AbilityDef.xml,def,exploding web,爆炸网
AA_ExplodingWeb.description,Throw a web of sticky silk that can stun its target and explode violently.,description,AbilityDef/AbilityDef.xml,def,Throw a web of sticky silk that can stun its target and explode violently.,扔出一张粘性丝网，可以击晕目标并剧烈爆炸。
AA_Bullet_TinyVenomBarb.label,tiny venomous barbs,label,AbilityDef/AbilityDef.xml,def,tiny venomous barbs,微小的有毒倒刺
AA_Bullet_TinyVenomBarb.description,"Fire a shower of small but deadly venomous barbs that pierce skin and deliver a potent toxin, weakening targets over time.",description,AbilityDef/AbilityDef.xml,def,"Fire a shower of small but deadly venomous barbs that pierce skin and deliver a potent toxin, weakening targets over time.",发射一阵小而致命的有毒倒刺，刺穿皮肤并释放强效毒素，随着时间的推移削弱目标。
AA_HugeQuill.label,huge quill,label,AbilityDef/AbilityDef.xml,def,huge quill,巨大的羽毛笔
AA_HugeQuill.description,"Launch a massive quill tipped with barbs that embeds deeply, causing severe pain and making removal agonizingly difficult.",description,AbilityDef/AbilityDef.xml,def,"Launch a massive quill tipped with barbs that embeds deeply, causing severe pain and making removal agonizingly difficult.",发射一根带有倒刺的巨大羽毛笔，深深地嵌入其中，造成严重的疼痛并使移除变得极其困难。
GR_CraftAlphaGenomeExcavator.label,Craft Alpha Genome excavator,label,RecipeDef/RecipeDef.xml,def,Craft Alpha Genome excavator,Craft Alpha 基因组挖掘机
GR_CraftAlphaGenomeExcavator.description,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Alpha Animals genomes.,description,RecipeDef/RecipeDef.xml,def,Craft a genome excavator to extract genomes from tamed or dead animals. This excavator can extract Alpha Animals genomes.,制作基因组挖掘机，从驯服或死亡的动物中提取基因组。这台挖掘机可以提取阿尔法动物的基因组。
GR_BearBugEggUnfertilized.label,bear bug egg (unfert.),label,ThingDef/ThingDef.xml,def,bear bug egg (unfert.),熊虫蛋（未受精）
GR_BearBugEggUnfertilized.description,"Unfertilized bear bug egg. It can be eaten raw, but it's much, much better cooked. Actually, it's a beetle egg, it is disgusting either way...",description,ThingDef/ThingDef.xml,def,"Unfertilized bear bug egg. It can be eaten raw, but it's much, much better cooked. Actually, it's a beetle egg, it is disgusting either way...",未受精的熊虫卵。它可以生吃，但煮熟后吃效果更好。其实就是甲虫蛋，不管怎样都恶心……
GR_BearBugEggFertilized.label,bear bug egg (fert.),label,ThingDef/ThingDef.xml,def,bear bug egg (fert.),熊虫蛋（受精）
