key,text,tag,file,type
VFE.FilthStored,Amount of filth stored: {0}\nContainer filled: {1},VFE.FilthStored,Keys.xml,keyed
VFE.FilthStoredBeauty,Container filled ({1}): {0},VFE.FilthStoredBeauty,Keys.xml,keyed
VFE.SetTargetCleanup,Container cleanup threshold: {0},VFE.SetTargetCleanup,Keys.xml,keyed
VFE.CannotPlaceOnWall,Cannot be place inside a wall.,VFE.CannotPlaceOnWall,Keys.xml,keyed
VFE.ComputerNeedChairs,Computer needs a chair,VFE.ComputerNeedChairs,Keys.xml,keyed
VFE.ComputerNeedChairsDesc,One of your computers does not have any adjacent chair.\n\nBuild adjacent chair or stool to allow your colonists to use the computer.,VFE.ComputerNeedChairsDesc,Keys.xml,keyed
VFE.RouletteTableOnWall,Roulette needs space,VFE.RouletteTableOnWall,Keys.xml,keyed
VFE.RouletteTableOnWallDesc,One of your roulette tables is adjacent to an obstruction that will prevent colonists from using it.\n\nA roulette table needs clear space around it on all sides to be usable.,VFE.RouletteTableOnWallDesc,Keys.xml,keyed
VFE.SunbathingPossibleForPawn,Sunbathing possible for {PAWNLIST},VFE.SunbathingPossibleForPawn,Keys.xml,keyed
VFE.SunbathingPossibleGeneric,"Sunbathing possible, assuming temperature is comfortable and colonists enjoy outdoor activities",VFE.SunbathingPossibleGeneric,Keys.xml,keyed
VFE.SunbathingNotPossible,Sunbathing not possible:,VFE.SunbathingNotPossible,Keys.xml,keyed
VFE.SunbathingNotPossible.UnderRoof,under a roof,VFE.SunbathingNotPossible.UnderRoof,Keys.xml,keyed
VFE.SunbathingNotPossible.BadWeather,bad weather,VFE.SunbathingNotPossible.BadWeather,Keys.xml,keyed
VFE.SunbathingNotPossible.NotSunny,not sunny enough,VFE.SunbathingNotPossible.NotSunny,Keys.xml,keyed
VFE.SunbathingNotPossible.PawnOutdoors,{PAWN_labelShort} doesn't enjoy outdoors,VFE.SunbathingNotPossible.PawnOutdoors,Keys.xml,keyed
VFE.SunbathingNotPossible.PawnComfortableTemperature,not comfortable temperature for {PAWN_labelShort},VFE.SunbathingNotPossible.PawnComfortableTemperature,Keys.xml,keyed
VFE_AnimalSarcophagus.label,animal sarcophagus,label,ThingDef/ThingDef.xml,def
VFE_AnimalSarcophagus.description,An ornamented burial receptacle for the honored dead animals.,description,ThingDef/ThingDef.xml,def
Bed_StoneSlab.label,chiseled bed,label,ThingDef/ThingDef.xml,def
Bed_StoneSlab.description,A simple yet beautiful stone slab used for sleeping. It offers minimal comfort but is durable and fireproof.,description,ThingDef/ThingDef.xml,def
VFE_Bed_StoneSlabDouble.label,chiseled double bed,label,ThingDef/ThingDef.xml,def
VFE_Bed_StoneSlabDouble.description,A simple yet beautiful stone slab used for sleeping that fits two people. It offers minimal comfort but is durable and fireproof.,description,ThingDef/ThingDef.xml,def
Bed_Simple.label,simple bed,label,ThingDef/ThingDef.xml,def
Bed_Simple.description,"A somewhat comfy net and pillow rested on a sturdy frame. Due to the simple construction, quality is not a factor in this bed.",description,ThingDef/ThingDef.xml,def
VFE_Bed_SimpleDouble.label,simple double bed,label,ThingDef/ThingDef.xml,def
VFE_Bed_SimpleDouble.description,"A somewhat comfy net and pillow rested on a sturdy frame that fits two people. Due to the simple construction, quality is not a factor in this bed.",description,ThingDef/ThingDef.xml,def
Seat_Cushion.label,sitting cushion,label,ThingDef/ThingDef.xml,def
Seat_Cushion.description,A soft cushion designed for sitting. More comfortable than a stool but still a simple seating option.,description,ThingDef/ThingDef.xml,def
Seat_Bench.label,bench,label,ThingDef/ThingDef.xml,def
Seat_Bench.description,"A simple long platform on which multiple people may sit at the same time, not very comfortable but much better than nothing. Can be used at tables, work stations, and elsewhere.",description,ThingDef/ThingDef.xml,def
Seat_SquareChair.label,school chair,label,ThingDef/ThingDef.xml,def
Seat_SquareChair.description,"An uncomfortable school chair. Can be used at tables, work stations, and elsewhere. Improves the learning rate when adjacent to the school desk.",description,ThingDef/ThingDef.xml,def
Table_1x1c.label,table (1x1),label,ThingDef/ThingDef.xml,def
Table_Counter.label,counter,label,ThingDef/ThingDef.xml,def
Table_Counter.description,People eat off counters when chairs are placed facing them,description,ThingDef/ThingDef.xml,def
VFE_CoffeeTable.label,coffee table,label,ThingDef/ThingDef.xml,def
VFE_CoffeeTable.description,A small table which makes nearby armchairs and couches a little bit more comfortable. Must be placed directly adjacent to the couch or an armchair. Placing more than one coffee table near the same couch has no effect.,description,ThingDef/ThingDef.xml,def
Stone_Campfire.label,firepit,label,ThingDef/ThingDef.xml,def
Stone_Campfire.description,"Cooks meals and produces heat, but burns wood in the process. As with all heat sources, it must be placed indoors so it has a closed space to heat. Refuelable.",description,ThingDef/ThingDef.xml,def
Radio_Industrial.label,industrial radio,label,ThingDef/ThingDef.xml,def
Radio_Industrial.description,"An industrial-era radio for playing music and spoken broadcasts. Even on the rimworlds, there is often an old transmitter running something at least marginally interesting. Provides passive music recreation to those that can hear it.",description,ThingDef/ThingDef.xml,def
Radio_Spacer.label,longwave radio,label,ThingDef/ThingDef.xml,def
Radio_Spacer.description,"A state-of-the-art, high-fidelity radio that uses advanced longwave transmission to deliver crystal-clear music, broadcasts, and interstellar transmissions. Even on the rimworlds, someone out there is always transmitting something - whether it’s news, music, or distant voices from the void..",description,ThingDef/ThingDef.xml,def
Joy_Arcade.label,arcade machine,label,ThingDef/ThingDef.xml,def
Joy_Arcade.description,"A bulky, coin-operated arcade cabinet with an aging CRT screen and colorful buttons. Though outdated, it still provides hours of digital entertainment. Classic games never truly die.",description,ThingDef/ThingDef.xml,def
Joy_InudstrialComputer.label,old computer,label,ThingDef/ThingDef.xml,def
Joy_InudstrialComputer.description,"A bulky, outdated computer standing on a small desk. The screen flickers, the keys stick, and it hums with age, but it still runs simple programs. There's always some archaic software waiting to be used.",description,ThingDef/ThingDef.xml,def
Joy_ModernComputer.label,modern computer,label,ThingDef/ThingDef.xml,def
Joy_ModernComputer.description,"A sleek, high-performance computing station housed on a sturdy desk. Equipped with a fast processor, an ergonomic keyboard, and a crisp, flat-panel display, it offers a vast range of software: whether for research, entertainment, or light interstellar networking.",description,ThingDef/ThingDef.xml,def
Joy_Piano.label,upright piano,label,ThingDef/ThingDef.xml,def
Joy_Piano.description,A compact upright piano designed for musical recreation. A great way to develop artistic skills and entertain others.,description,ThingDef/ThingDef.xml,def
Joy_RouletteTable.label,roulette table,label,ThingDef/ThingDef.xml,def
Joy_RouletteTable.description,"A sophisticated gambling table designed for playing roulette. A thrilling mix of chance and strategy, making it a centerpiece of any high-end casino or social space.",description,ThingDef/ThingDef.xml,def
Joy_DartsBoard.label,darts board,label,ThingDef/ThingDef.xml,def
Joy_DartsBoard.description,A simple dartboard mounted on a stand. A fun way to practice accuracy and hand-eye coordination. It trains shooting ability.,description,ThingDef/ThingDef.xml,def
Joy_PunchingBag.label,punching bag,label,ThingDef/ThingDef.xml,def
Joy_PunchingBag.description,"A sturdy, stand-mounted punching bag for combat training and stress relief. It trains melee combat ability.",description,ThingDef/ThingDef.xml,def
VFE_Lounger.label,lounger,label,ThingDef/ThingDef.xml,def
VFE_Lounger.description,"A reclining cushioned lounger designed for relaxation. Offers superior comfort but is not ideal for deep, restful sleep. Allows for sunbathing recreation.",description,ThingDef/ThingDef.xml,def
Misc_FileCabinet.label,filing cabinet,label,ThingDef/ThingDef.xml,def
Misc_FileCabinet.description,Increases research speed when placed near a research bench. One research bench can use up to two filing cabinets.,description,ThingDef/ThingDef.xml,def
Shelf_WeaponRack.label,weapon rack,label,ThingDef/ThingDef.xml,def
Shelf_WeaponRack.description,"A shelf for storing weapons. Items stored in this will not affect room beauty and they won't deteriorate, even if outside.",description,ThingDef/ThingDef.xml,def
Bin_Small.label,small bin,label,ThingDef/ThingDef.xml,def
Bin_Small.description,A small bin to help keep the surrounding area somewhat clean. Slowly removes trash and filth in a 10-cell radius.,description,ThingDef/ThingDef.xml,def
Bin_Large.label,large bin,label,ThingDef/ThingDef.xml,def
Bin_Large.description,A spacious waste disposal unit that efficiently keeps the surrounding area clean. Slowly removes trash and filth in a 15-cell radius.,description,ThingDef/ThingDef.xml,def
VFE_LongPlantPot.label,long plant pot,label,ThingDef/ThingDef.xml,def
VFE_LongPlantPot.description,Plant decorative flowers here to improve the mood of people nearby. Designed to be combined with other plant pots to form various shapes.,description,ThingDef/ThingDef.xml,def
VFE_DeskLamp.label,desk lamp,label,ThingDef/ThingDef.xml,def
VFE_DeskLamp.description,An electrical desk lamp that lights a small area. People need light to move and work at full speed.,description,ThingDef/ThingDef.xml,def
