key,text,tag,file,type
VBE_BrewLemonCoffee.label,brew espresso romano,label,RecipeDef/RecipeDef.xml,def
VBE_BrewLemonCoffee.description,"Brew an already acidic coffee garnished with a wedge of more acidic lemon, meant to be juiced into the coffee before quickly consumed while hot. An acquired taste to be sure but lauded by those who do prefer it.",description,RecipeDef/RecipeDef.xml,def
VBE_BrewLemonCoffee.jobString,Brewing espresso romano.,jobString,RecipeDef/RecipeDef.xml,def
VBE_MixLemonade.label,mix lemonade,label,RecipeDef/RecipeDef.xml,def
VBE_MixLemonade.description,"Squeeze a few lemons, mix the juice with water and add some sugar.",description,RecipeDef/RecipeDef.xml,def
VBE_MixLemonade.jobString,Mixing lemonade.,jobString,RecipeDef/RecipeDef.xml,def
VBE_MakeLemonTea.label,make lemon tea,label,RecipeDef/RecipeDef.xml,def
VBE_MakeLemonTea.description,"Make a dark tea cut with water, chilled and garnished with a wedge of bright lemon.",description,RecipeDef/RecipeDef.xml,def
VBE_MakeLemonTea.jobString,Making lemon tea.,jobString,RecipeDef/RecipeDef.xml,def
VBE_MakeEarlGreyTea.label,make earl grey tea,label,RecipeDef/RecipeDef.xml,def
VBE_MakeEarlGreyTea.description,Make a very strong and semi-sweet fruity tea. Floral notes dance around one's pallet at even the most dull scent. People who finish the drink feel strangely urged to colonize.,description,RecipeDef/RecipeDef.xml,def
VBE_MakeEarlGreyTea.jobString,Making earl grey tea.,jobString,RecipeDef/RecipeDef.xml,def
VBE_EarlGreyTea.label,earl grey tea,label,ThingDef/ThingDef.xml,def
VBE_EarlGreyTea.description,A very strong and semi-sweet fruity tea. Floral notes dance around one's pallet at even the most dull scent. People who finish the drink feel strangely urged to colonize.,description,ThingDef/ThingDef.xml,def
VBE_EarlGreyTea.ingestible.ingestCommandString,Drink {0},ingestCommandString,ThingDef/ThingDef.xml,def
VBE_EarlGreyTea.ingestible.ingestReportString,Drinking {0}.,ingestReportString,ThingDef/ThingDef.xml,def
VBE_DrankEarlGreyTea.stages.0.label,Tea. Earl Grey. Hot,label,ThoughtDef/ThoughtDef.xml,def
VBE_DrankEarlGreyTea.stages.0.description,Make it so.,description,ThoughtDef/ThoughtDef.xml,def
VBE_DrankEarlGreyTea.label,drank earl grey tea,label,HediffDef/HediffDef.xml,def
VBE_DrankEarlGreyTea.description,"Tannins naturally found in tea once metabolised increases the stimuli in ones nervous system, suppressing ones urge to sleep, as well as boosting ones immune system. Increases immunity gain speed by 15% and provides 10% reduction in rest fall rate for 5 hours. Earl grey tea provides a 10% research speed bonus.",description,HediffDef/HediffDef.xml,def
VBE_LemonCoffee.label,espresso romano,label,ThingDef/ThingDef.xml,def
VBE_LemonCoffee.description,"A particularly strange combination. Already acidic coffee garnished with a wedge of more acidic lemon, meant to be juiced into the coffee before quickly consumed while hot. An acquired taste to be sure but lauded by those who do prefer it. Specially indicated to combat intestinal parasites.",description,ThingDef/ThingDef.xml,def
VBE_LemonCoffee.ingestible.ingestCommandString,Drink {0},ingestCommandString,ThingDef/ThingDef.xml,def
VBE_LemonCoffee.ingestible.ingestReportString,Drinking {0}.,ingestReportString,ThingDef/ThingDef.xml,def
VBE_LemonCoffeeHigh.label,lemon coffee high,label,HediffDef/HediffDef.xml,def
VBE_LemonCoffeeHigh.labelNoun,a lemon coffee high,labelNoun,HediffDef/HediffDef.xml,def
VBE_LemonCoffeeHigh.description,"Caffeine naturally found in coffee once metabolised increases the stimuli in one's nervous system, suppressing ones urge to sleep, as well as clearing ones mind. Increases learning speed by a 15% amount and 15% reduction in rest fall rate. Hot coffee reduces hypothermia. Lemon coffee acts as a remedy against Gut Worms, increasing tending quality with each coffee drank.",description,HediffDef/HediffDef.xml,def
VBE_LemonCoffeeHigh.stages.0.label,Lemony awakening,label,ThoughtDef/ThoughtDef.xml,def
