key,text,tag,file,type,protected_text,translated
VBE_CiderAsIngredient.label,drank cider based cocktail,label,HediffDef/HediffDef.xml,def,drank cider based cocktail,喝苹果酒鸡尾酒
VBE_CiderAsIngredient.description,This colonist drank a cocktail that had cider as one of its ingredients. Many praise cider for its supposed antioxidant properties. Slightly removes toxic buildup.,description,HediffDef/HediffDef.xml,def,This colonist drank a cocktail that had cider as one of its ingredients. Many praise cider for its supposed antioxidant properties. Slightly removes toxic buildup.,这位殖民者喝了一种鸡尾酒，其成分之一是苹果酒。许多人称赞苹果酒具有所谓的抗氧化特性。稍微去除有毒物质的积累。
VBE_MakeUnfermentedCider.label,make unfermented cider,label,RecipeDef/RecipeDef.xml,def,make unfermented cider,制作未发酵的苹果酒
VBE_MakeUnfermentedCider.description,Make unfermented cider with a starter in an air-tight bottle. If left alone to develop the proper bacteria the end result will be a weak alcoholic beverage.,description,RecipeDef/RecipeDef.xml,def,Make unfermented cider with a starter in an air-tight bottle. If left alone to develop the proper bacteria the end result will be a weak alcoholic beverage.,用密封瓶中的发酵剂制作未发酵的苹果酒。如果不去培养适当的细菌，最终的结果将是一种淡酒精饮料。
VBE_MakeUnfermentedCider.jobString,Making unfermented cider.,jobString,RecipeDef/RecipeDef.xml,def,Making unfermented cider.,制作未发酵的苹果酒。
VBE_MakeUnfermentedCider.ingredients.0.filter.customSummary,fruits,customSummary,RecipeDef/RecipeDef.xml,def,fruits,水果
VBE_MakeTequilaMustFromPears.label,make tequila must from prickly pear,label,RecipeDef/RecipeDef.xml,def,make tequila must from prickly pear,用仙人掌制作龙舌兰酒
VBE_MakeTequilaMustFromPears.description,"Make a thin mixture of prickly cactus pear and insect meat starter, ready to be cut and fermented in a barrel.",description,RecipeDef/RecipeDef.xml,def,"Make a thin mixture of prickly cactus pear and insect meat starter, ready to be cut and fermented in a barrel.",将仙人掌梨和昆虫肉发酵剂制成稀薄混合物，准备好切割并在桶中发酵。
VBE_MakeTequilaMustFromPears.jobString,Making tequila must.,jobString,RecipeDef/RecipeDef.xml,def,Making tequila must.,制作龙舌兰酒必备。
VBE_UnfermentedCider.label,unfermented cider,label,ThingDef/ThingDef.xml,def,unfermented cider,未发酵的苹果酒
VBE_UnfermentedCider.description,Unfermented cider with a starter in an air-tight bottle. If left alone to develop the proper bacteria the end result will be a weak alcoholic beverage.,description,ThingDef/ThingDef.xml,def,Unfermented cider with a starter in an air-tight bottle. If left alone to develop the proper bacteria the end result will be a weak alcoholic beverage.,未发酵的苹果酒，配有发酵剂，装在密封瓶中。如果不去培养适当的细菌，最终的结果将是一种淡酒精饮料。
VBE_Cider.label,cider,label,ThingDef/ThingDef.xml,def,cider,苹果酒
VBE_Cider.description,"A barely alcoholic beverage meant to be refreshing and fruity. Try as anybody might it is pointless trying to get inebriated by cider alone, thus it is popular among those with prior addiction. Anecdotally, many praise it for supposed antioxidant properties.",description,ThingDef/ThingDef.xml,def,"A barely alcoholic beverage meant to be refreshing and fruity. Try as anybody might it is pointless trying to get inebriated by cider alone, thus it is popular among those with prior addiction. Anecdotally, many praise it for supposed antioxidant properties.",一种几乎不含酒精的饮料，具有清爽和果味。无论任何人都可以尝试，仅靠苹果酒来醉酒是没有意义的，因此它在那些有成瘾史的人中很受欢迎。有趣的是，许多人称赞它具有所谓的抗氧化特性。
VBE_Cider.ingestible.ingestCommandString,Drink {0},ingestCommandString,ThingDef/ThingDef.xml,def,Drink (PH_1),喝{0}
VBE_Cider.ingestible.ingestReportString,Drinking {0}.,ingestReportString,ThingDef/ThingDef.xml,def,Drinking (PH_1).,饮酒 {0}。
VBE_CiderHigh.label,cider high,label,HediffDef/HediffDef.xml,def,cider high,苹果酒高
VBE_CiderHigh.labelNoun,a cider high,labelNoun,HediffDef/HediffDef.xml,def,a cider high,苹果酒高
VBE_CiderHigh.description,"Alcohol from cider in the bloodstream. It makes people happy, but reduces capacities. Cannot cause alcohol addiction. Cannot get past the “warm” drunken stage no matter how many are downed.",description,HediffDef/HediffDef.xml,def,"Alcohol from cider in the bloodstream. It makes people happy, but reduces capacities. Cannot cause alcohol addiction. Cannot get past the “warm” drunken stage no matter how many are downed.",血液中来自苹果酒的酒精。它使人们快乐，但降低了能力。不会引起酒精成瘾。不管喝多少，都过不了“暖”醉的阶段。
VBE_CiderHigh.stages.0.label,warm,label,HediffDef/HediffDef.xml,def,warm,温暖的
VBE_CiderAsIngredient.stages.0.label,Drank cider-based cocktail,label,ThoughtDef/ThoughtDef.xml,def,Drank cider-based cocktail,喝苹果酒鸡尾酒
VBE_CiderAsIngredient.stages.0.description,Yummy.,description,ThoughtDef/ThoughtDef.xml,def,Yummy.,好吃。
