key,text,tag,file,type
VFEPD_Beet.label,beet,label,ThingDef/ThingDef.xml,def
VFEPD_Beet.description,"A fake herb-like vegetable widely cultivated for humans and livestock alike, notably nutritious and historically used in dye making.",description,ThingDef/ThingDef.xml,def
VFEPD_Eggplant.label,eggplant,label,ThingDef/ThingDef.xml,def
VFEPD_Eggplant.description,"A fake bulbous purple fruit of the nightshade family. Eggplant is rarely served as a side, generally filling the role of the main component of the dish.",description,ThingDef/ThingDef.xml,def
VFEPD_Cabbage.label,cabbage,label,ThingDef/ThingDef.xml,def
VFEPD_Cabbage.description,"A fake somewhat hardy, leafy green vegetable, often chopped and then fermented or stewed.",description,ThingDef/ThingDef.xml,def
VFEPD_Onion.label,onion,label,ThingDef/ThingDef.xml,def
VFEPD_Onion.description,"A fake edible bulb of pungent, savory taste and smell with almost as many varieties as cooking applications.",description,ThingDef/ThingDef.xml,def
VFEPD_Peas.label,pea,label,ThingDef/ThingDef.xml,def
VFEPD_Peas.description,"Fake spherical green seeds tucked safely away in a fleshy pod. Pea plants are known to be quite thirsty, and will benefit greatly from rainfall.",description,ThingDef/ThingDef.xml,def
VFEPD_Pepper.label,pepper,label,ThingDef/ThingDef.xml,def
VFEPD_Pepper.description,"Fake, tiny, spicy, crimson pods often used in sauces, relishes, or powders.",description,ThingDef/ThingDef.xml,def
VFEPD_Pumpkin.label,pumpkin,label,ThingDef/ThingDef.xml,def
VFEPD_Pumpkin.description,"Technically a giant berry, pumpkins are renowned for being trivial to both sow and harvest. These ones are fake.",description,ThingDef/ThingDef.xml,def
VFEPD_Tomato.label,tomato,label,ThingDef/ThingDef.xml,def
VFEPD_Tomato.description,"A series of juicy, glossy red fruits attached by vine, used commonly as a vegetable. These ones are fake.",description,ThingDef/ThingDef.xml,def
VFEPD_AppleTree.label,apple tree,label,ThingDef/ThingDef.xml,def
VFEPD_AppleTree.description,"A fake tree bearing glossy, red apples, while a myriad of different varieties exist this particular type favors warm summers and mild winters.",description,ThingDef/ThingDef.xml,def
VFEPD_PeachTree.label,peach tree,label,ThingDef/ThingDef.xml,def
VFEPD_PeachTree.description,"A fake deciduous tree bearing fuzzy, stone fruit known as peaches, peach trees often require full sunlight and warm temperatures.",description,ThingDef/ThingDef.xml,def
VFEPD_CherryTree.label,cherry tree,label,ThingDef/ThingDef.xml,def
VFEPD_CherryTree.description,A fake tree bearing tiny purple-red sweet cherries.,description,ThingDef/ThingDef.xml,def
VFEPD_PlumTree.label,plum tree,label,ThingDef/ThingDef.xml,def
VFEPD_PlumTree.description,A fake bushy tree bearing a smooth-skinned purple fruit.,description,ThingDef/ThingDef.xml,def
VFEPD_PearTree.label,pear tree,label,ThingDef/ThingDef.xml,def
VFEPD_PearTree.description,"A fake stout tree bearing crispy green pears, pear trees are notable for requiring high amounts of water and cool weather, and also doing quite well in shade.",description,ThingDef/ThingDef.xml,def
VFEPD_Opuntia.label,opuntia,label,ThingDef/ThingDef.xml,def
VFEPD_Opuntia.description,"More often referred to as the “prickly pear” cactus, this plant is known to be quite bountiful even in hot, dry deserts. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_BearBerryBush.label,bearberry bush,label,ThingDef/ThingDef.xml,def
VFEPD_BearBerryBush.description,"A low-lying bush speckled with pink berries that thrives in poor, even sandy soil. This one is fake.",description,ThingDef/ThingDef.xml,def
VFEPD_BananaTree.label,banana tree,label,ThingDef/ThingDef.xml,def
VFEPD_BananaTree.description,"A fake, broad-leafed, tall tropical tree adorned with a cluster of yellow, elongated berries succinctly known as bananas.",description,ThingDef/ThingDef.xml,def
VFEPD_OrangeTree.label,orange tree,label,ThingDef/ThingDef.xml,def
VFEPD_OrangeTree.description,"A fake, bushy, semi-tropical tree dotted with orange fruits well equipped for growing in humid environments and in wet soil.",description,ThingDef/ThingDef.xml,def
