key,text,tag,file,type
VREW_Mutations.label,mutations,label,GeneCategoryDef/GeneCategoryDef.xml,def
VRE_ToxAbsorption.label,tox absorption,label,GeneDef/GeneDef.xml,def
VRE_ToxAbsorption.description,"Carriers of this gene have the extraordinary ability to directly absorb toxic gases through their skin. This gene does not have any effect in itself, but it does increase the speed at which pollution is satisfied for various pollution-related genes.",description,GeneDef/GeneDef.xml,def
VRE_Instability_Nominal.label,nominal cell instability,label,GeneDef/GeneDef.xml,def
VRE_Instability_Nominal.description,"Carriers of this gene need slightly less metabolic energy to stay alive, at the cost of reduced stability in their cell-replication machinery.",description,GeneDef/GeneDef.xml,def
VRE_Instability_Extreme.label,extreme cell instability,label,GeneDef/GeneDef.xml,def
VRE_Instability_Extreme.description,"Carriers of this gene need very little metabolic energy to stay alive, at the cost of extremely-reduced stability in their cell-replication machinery.",description,GeneDef/GeneDef.xml,def
VRE_Instability_Progressive.label,progressive cell instability,label,GeneDef/GeneDef.xml,def
VRE_Instability_Progressive.description,Carriers of this gene have their genetic code becoming progressively more unstable with every new generation.,description,GeneDef/GeneDef.xml,def
VREW_Mutation_Randomizer.label,randomizer,label,GeneDef/GeneDef.xml,def
VREW_Mutation_Randomizer.description,"Once a pawn receives this gene, it will transform itself into 1-3 random mutations.",description,GeneDef/GeneDef.xml,def
VREW_PollutionRush.label,pollution stimulus,label,GeneDef/GeneDef.xml,def
VREW_PollutionRush.description,Carriers of this gene get a chemical rush from being exposed to pollution. This makes them move faster and helps them think clearer. A similar gene is found in combat-engineered mega-insects.,description,GeneDef/GeneDef.xml,def
VREW_PollutionRegeneration.label,pollution regeneration,label,GeneDef/GeneDef.xml,def
VREW_PollutionRegeneration.description,"Carriers of this gene benefit from accelerated natural healing in polluted environments. As pollution levels increase, their regenerative abilities are boosted, enabling them to recover from injuries and restore their vitality more rapidly.",description,GeneDef/GeneDef.xml,def
VREW_PollutionRage.label,pollution rage,label,GeneDef/GeneDef.xml,def
VREW_PollutionRage.description,"Carriers of this gene experience amplified close-quarters damage output in polluted environments. As pollution levels escalate, their ferocity and strength intensify, allowing them to inflict greater harm on their adversaries.",description,GeneDef/GeneDef.xml,def
VREW_PollutionSustenance.label,pollution sustenance,label,GeneDef/GeneDef.xml,def
