key,text,tag,file,type
VBE_PirateChef.title,Pirate chef,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_PirateChef.titleShort,Chef,titleShort,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_PirateChef.baseDesc,"[PAWN_nameDef] was the Chef on a pirate ship. Between meals, [PAWN_pronoun] told tall tales that kept the crew's morale high. The crew's loyalty to their chef was great, possibly even greater than to their captain...",baseDesc,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_GeneModdedBeauty.title,Gene-modded beauty,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_GeneModdedBeauty.titleShort,Beauty,titleShort,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_GeneModdedBeauty.baseDesc,"[PAWN_nameDef] is the result of some of [PAWN_possessive] home glitterworld's most advanced cosmetic surgery. During [PAWN_possessive] life, [PAWN_pronoun] spent an untold fortune on [PAWN_possessive] looks and didn't have much time for to practice any more practical of skills.",baseDesc,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_HumanFarm.title,Human farm,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_HumanFarm.titleShort,Meat,titleShort,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_HumanFarm.baseDesc,"[PAWN_nameDef] was made only for one purpose, consumption. Grown out of a spindly set of hormone and development injectors connected to a solution-filled tube, many years of [PAWN_possessive] life was spent peering out into the lab, where butchers and scientists went on with their daily lives. During a freak accident which collapsed the farm, [PAWN_nameDef] escaped.
This gave a basic understanding of human anatomy to [PAWN_nameDef], but scarred [PAWN_objective] for life.",baseDesc,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_Housecarl.title,Housecarl,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_Housecarl.titleShort,Housecarl,titleShort,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_Housecarl.baseDesc,"[PAWN_nameDef] was a housecarl to a powerful chieftain. [PAWN_pronoun] was trained in a variety of weapons, and was always armed both on and off the field of battle. After a conflict with a more powerful clan left [PAWN_possessive] chieftain and many clan members dead, [PAWN_pronoun] left to find a new house to lend [PAWN_possessive] blade, or simply do something new entirely.",baseDesc,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_FanaticInventor.title,Fanatic inventor,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_FanaticInventor.titleShort,Inventor,titleShort,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_FanaticInventor.baseDesc,"[PAWN_nameDef]'s love for machinery and engineering is downright fanatic. In [PAWN_possessive] Urbworld home, [PAWN_pronoun] made illegal drones, guns and machines, often being chased by the police. [PAWN_nameDef] doesn't see nature as anything other than a source of materials to be refined into something useful.",baseDesc,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_CaveinSurvivor.title,Cave-in survivor,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_CaveinSurvivor.titleShort,Survivor,titleShort,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_CaveinSurvivor.baseDesc,"Forced into thralldom after [PAWN_possessive] clan was destroyed, [PAWN_nameDef] was quickly thrown into the mines, digging for precious metals. Due to a lack of safety and care for [PAWN_objective] life from [PAWN_objective] captors, the mine collapsed, leaving [PAWN_nameDef] as the only survivor. To ensure [PAWN_pronoun] never needs to return, [PAWN_pronoun] became an adept artisan, and would at times become violent when pressed towards the mines.",baseDesc,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_IndustrialGunsmith.title,Industrial gunsmith,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_IndustrialGunsmith.titleShort,Gunsmith,titleShort,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_IndustrialGunsmith.baseDesc,"[PAWN_nameDef] spent most of [PAWN_possessive] days meticulously working at [PAWN_possessive] machining table to create firearms. [PAWN_pronoun] spent several hours at the gun range to test out [PAWN_possessive] new designs. However, spending so much time working with firearms has left [PAWN_objective] rather deficient in close range combat.",baseDesc,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
VBE_SlaveTrader.title,Slave trader,title,BackstoryDef/Vanilla_Expanded_Backstories.xml,def
