key,text,tag,file,type
VFEPD_AncientBlastDoor.label,"ancient blast door, closed",label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientBlastDoor.description,"A heavily-reinforced door made of an ultratech polymer, sealed shut.",description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientBlastDoor_Frame.label,"ancient blast door, frame",label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientBlastDoor_Frame.description,A heavily-reinforced door frame made of an ultratech polymer.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_RubblePile.label,rubble pile,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_RubblePile.description,The crumbled remains of an ancient structure.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientExcavator.label,ancient excavator,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientExcavator.description,The remains of a mining vehicle. The valuable parts were looted long ago.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientDrillPlatform.label,ancient drill rig,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientDrillPlatform.description,A device meant for drilling deep into the earth. Any valuable parts were looted long ago.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTunnelerClaw.label,ancient tunneler claw,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTunnelerClaw.description,The claw of an ancient mining mechanoid. All the parts are degraded to uselessness.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTunnelerHusk.label,ancient tunneler husk,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTunnelerHusk.description,The remains of an ancient mining mechanoid. Its complex parts are all degraded to uselessness.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientSimpleResearchBench.label,ancient research bench,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientSimpleResearchBench.description,"An old, rudimentary research bench with corroded tools and faded notes. Nothing of value remains.",description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTableBrewery.label,ancient brewery,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTableBrewery.description,A dilapidated brewing table once used for fermentation. The equipment is rusted beyond use.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTableButcher.label,ancient butcher table,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTableButcher.description,A broken butcher's table littered with old stains.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTableDrugLab.label,ancient drug lab,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientTableDrugLab.description,A crumbling lab table with shattered glassware. The equipment is useless and contaminated.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientSingleBed.label,rusted bed,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientSingleBed.description,"A single bed frame with rusted metal and a torn mattress. It's better than sleeping on the ground, but just barely.",description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientDoubleBed.label,rusted double bed,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientDoubleBed.description,"A double bed with broken springs and a tattered mattress. It barely offers comfort, but two can sleep here if desperate.",description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientAmmoStack.label,ancient ammo box,label,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientAmmoStack.description,A container of ancient ammunition. It's empty and any remaining rounds are corroded to uselessness.,description,ThingDef/Buildings_Odyssey.xml,def
VFEPD_AncientAntenna.label,ancient antenna,label,ThingDef/Buildings_Odyssey.xml,def
