key,text,tag,file,type
VFEPirates.EntombingWarning,Entombing a colonist in warcasket is permanent operation that cannot be reversed without painful consequences.,VFEPirates.EntombingWarning,Misc_Gameplay.xml,keyed
VFEM.MissingMaterials,Missing materials: {0},VFEM.MissingMaterials,Misc_Gameplay.xml,keyed
VFEP.Occupied,Occupied,VFEP.Occupied,Misc_Gameplay.xml,keyed
VFEP.WarcasketCannotBeRemoved,Warcasket cannot be removed,VFEP.WarcasketCannotBeRemoved,Misc_Gameplay.xml,keyed
VFEP_NextSpawnedRumIn,Producing rum from bodily fluids in,VFEP_NextSpawnedRumIn,Misc_Gameplay.xml,keyed
VFEP.MessagePawnArrived,{PAWN_nameDef} have arrived.,VFEP.MessagePawnArrived,Misc_Gameplay.xml,keyed
VFEP.RequiresWarcasket,Requires warcasket,VFEP.RequiresWarcasket,Misc_Gameplay.xml,keyed
VFEP.ExplodeIn,Will explode in,VFEP.ExplodeIn,Misc_Gameplay.xml,keyed
VFEP.ChooseCurses,Select Your Curses,VFEP.ChooseCurses,UI.xml,keyed
VFEP.ChooseCurses.Desc,"The more curses you select, the more pawns your storyteller will allow you to have, and the rarer big threat events will be.",VFEP.ChooseCurses.Desc,UI.xml,keyed
VFEP.DesiredPopMax,Desired population max: {0},VFEP.DesiredPopMax,UI.xml,keyed
VFEP.DaysBigThreats,Days between Big Threats: {0},VFEP.DaysBigThreats,UI.xml,keyed
VFEP.WarcasketCustom,Warcasket Customization,VFEP.WarcasketCustom,UI.xml,keyed
VFEP.WarcasketText,"When you press Accept, a crafter you’ve chosen will bring the resources onto the frame and begin
assembling a warcasket. The speed of the assembly depends on the crafting skill of your crafter.
Once the process is completed, a warcasket will leave the platform. Be careful, as the pawn
on the platform can still die of hunger when on the platform - you should prioritize the warcasket
assembly over other tasks.",VFEP.WarcasketText,UI.xml,keyed
VFEP.WorkAmount,Work Amount:,VFEP.WorkAmount,UI.xml,keyed
VFEP.Crafter,Crafter:,VFEP.Crafter,UI.xml,keyed
VFEP.Helmet,Helmet:,VFEP.Helmet,UI.xml,keyed
VFEP.Shoulderpads,Shoulderpads:,VFEP.Shoulderpads,UI.xml,keyed
VFEP.ArmorFrame,Armor frame:,VFEP.ArmorFrame,UI.xml,keyed
VFEP.TotalCost,Total Cost:,VFEP.TotalCost,UI.xml,keyed
VFEP.ResourceCost,Resource Cost:,VFEP.ResourceCost,UI.xml,keyed
VFEP.ResearchText,Research more warcasket technology to unlock more armor pieces.,VFEP.ResearchText,UI.xml,keyed
VFEP.NoWarcaskets,Research warcaskets to learn how to use the foundry.,VFEP.NoWarcaskets,UI.xml,keyed
VFEP.NotEnoughFuel,Not enough chemfuel for power jump.,VFEP.NotEnoughFuel,UI.xml,keyed
VFEP.SiegeModeOff,Siege mode off,VFEP.SiegeModeOff,UI.xml,keyed
VFEP.SiegeModeOn,Siege mode on,VFEP.SiegeModeOn,UI.xml,keyed
VFEPirates.CannotEntomb,Cannot entomb in warcasket: {0},VFEPirates.CannotEntomb,UI.xml,keyed
VFEPirates.EntombInWarcasket,Entomb in warcasket,VFEPirates.EntombInWarcasket,UI.xml,keyed
VFEP.EntombInIncapableOfViolenceWarning,"(Warning: {PAWN_nameDef} is not capable of violence, it will make {PAWN_objective} useless.)",VFEP.EntombInIncapableOfViolenceWarning,UI.xml,keyed
VFEP.ActivateShield,Activate shield field,VFEP.ActivateShield,UI.xml,keyed
VFEP.ActivateShieldDesc,Click to activate the shield field. It has 10 seconds of active mode and then 90 seconds cooldown.,VFEP.ActivateShieldDesc,UI.xml,keyed
VFEP.DeployWarDrone,"Deploy small, combat-ready drones from the docking port in the back. These drones can be controlled to provide firing support, but will self-detonate after 60 seconds.",VFEP.DeployWarDrone,UI.xml,keyed
VFEP.DeploySpidermineDesc,"Fire a long range spidermine that will automatically run towards the nearest enemy, detonating as soon as it reaches them.",VFEP.DeploySpidermineDesc,UI.xml,keyed
VFEP.Cancel,Cancel,VFEP.Cancel,UI.xml,keyed
VFEP.ChildrenCannotUseThis,Children cannot use this.,VFEP.ChildrenCannotUseThis,UI.xml,keyed
VFEP_GrapplingHook.label,grappling hook,label,VEF.Abilities.AbilityDef/Abilities.xml,def
VFEP_GrapplingHook.description,"Grappling hook connects to walls and solid rock and allows the users to quickly move to the desired location. The launcher does not require ammunition, but time needs to be reserved between shots to wind it up again.",description,VEF.Abilities.AbilityDef/Abilities.xml,def
VFEP_Bullet_GrapplingHook.label,grappling hook,label,ThingDef/Abilities.xml,def
VFEP_SiegeMode.label,Siege Mode,label,VEF.Abilities.AbilityDef/Abilities.xml,def
VFEP_SiegeMode.description,"Drill yourself into the ground in order to gain more stability and turn yourself into a stationary artillery unit, increasing the attack range and reload efficiency drastically.",description,VEF.Abilities.AbilityDef/Abilities.xml,def
