key,text,tag,file,type
VCE_CondimentEffectsMint,Consuming meals that include this condiment increases social impact by 10%.,VCE_CondimentEffectsMint,Misc_Gameplay.xml,keyed
VBE_MakeCoffeeFast.label,make espresso coffee,label,RecipeDef/Recipes_Coffee.xml,def
VBE_MakeCoffeeFast.description,"Make a warm, bitter beverage usually complemented with milk and sugar. A favorite among students and office workers across the galaxy due to high caffeine content and pleasing aroma. Brewing coffee in a espresso machine is generally much faster.",description,RecipeDef/Recipes_Coffee.xml,def
VBE_MakeCoffeeFast.jobString,Making coffee.,jobString,RecipeDef/Recipes_Coffee.xml,def
VBE_ReheatCoffee.label,reheat iced coffee,label,RecipeDef/Recipes_Coffee.xml,def
VBE_ReheatCoffee.description,This espresso machine has a small built-in grill to reheat iced coffee.,description,RecipeDef/Recipes_Coffee.xml,def
VBE_ReheatCoffee.jobString,Reheating iced coffee.,jobString,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewLatteCoffee.label,brew latte coffee,label,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewLatteCoffee.description,Brew a potent espresso mixed with fresh milk to help ease bitterness before pouring and serving. Lattes have a reputation of being particularly meant for “sophisticated” individuals.,description,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewLatteCoffee.jobString,Brewing latte coffee.,jobString,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewMochaCoffee.label,brew mocha coffee,label,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewMochaCoffee.description,Brew a coffee mixed with sweet and luxurious chocolate. Those of snobbish persuasion would argue mocha is more of a dessert than an actual coffee drink.,description,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewMochaCoffee.jobString,Brewing mocha coffee.,jobString,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewIrishCoffee.label,brew irish coffee,label,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewIrishCoffee.description,Brew a drink made with whiskey and coffee blended thoroughly before forming a head and being topped with a spoonful of whipped cream. Perfect for those who just got out of bed and are already wanting to go back to it.,description,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewIrishCoffee.jobString,Brewing irish coffee.,jobString,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewCannibalCoffee.label,brew cannibal coffee,label,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewCannibalCoffee.description,Brew a drink... for a very particular... refined coffee drinker.,description,RecipeDef/Recipes_Coffee.xml,def
VBE_BrewCannibalCoffee.jobString,Brewing cannibal coffee.,jobString,RecipeDef/Recipes_Coffee.xml,def
VBE_MakeTeaFast.label,make fast tea,label,RecipeDef/Recipes_Tea.xml,def
