key,text,tag,file,type,protected_text
VFEPD_RedBugloss.label,red bugloss,label,ThingDef/ThingDef.xml,def,red bugloss
VFEPD_RedBugloss.description,"One of the weirdest plants from Earth, genetically modified to thrive in wet, warm environments. This one is fake.",description,ThingDef/ThingDef.xml,def,"One of the weirdest plants from Earth, genetically modified to thrive in wet, warm environments. This one is fake."
VFEPD_Gomphoeria.label,gomphoeria,label,ThingDef/ThingDef.xml,def,gomphoeria
VFEPD_Gomphoeria.description,"An unusually tall plant with bright, pink nodules. Its nodules are slightly toxic for humans, and it produces a strange, rotten fruit smell, so it is considered absolutely inedible. This one is fake.",description,ThingDef/ThingDef.xml,def,"An unusually tall plant with bright, pink nodules. Its nodules are slightly toxic for humans, and it produces a strange, rotten fruit smell, so it is considered absolutely inedible. This one is fake."
VFEPD_Aaklac.label,aaklac,label,ThingDef/ThingDef.xml,def,aaklac
VFEPD_Aaklac.description,"A rare, huge flower which can be found in the deepest jungles. Its quite striking colour and nice smell makes it popular in gardening, if it can be extracted from the deep jungle, of course. This one is fake.",description,ThingDef/ThingDef.xml,def,"A rare, huge flower which can be found in the deepest jungles. Its quite striking colour and nice smell makes it popular in gardening, if it can be extracted from the deep jungle, of course. This one is fake."
VFEPD_JungleTree.label,deep jungle tree,label,ThingDef/ThingDef.xml,def,deep jungle tree
VFEPD_JungleTree.description,"This jungle tree is not of terrestrial origins, originating from the deepest crevices of an alien jungle. This one is fake.",description,ThingDef/ThingDef.xml,def,"This jungle tree is not of terrestrial origins, originating from the deepest crevices of an alien jungle. This one is fake."
VFEPD_GiantStikehr.label,giant stikehr,label,ThingDef/ThingDef.xml,def,giant stikehr
VFEPD_GiantStikehr.description,A giant alien mushroom that glows in the strange darkening mist. This one is fake.,description,ThingDef/ThingDef.xml,def,A giant alien mushroom that glows in the strange darkening mist. This one is fake.
VFEPD_GiantSeptimum.label,giant septimum,label,ThingDef/ThingDef.xml,def,giant septimum
VFEPD_GiantSeptimum.description,"This Septimum plant has grown to an enormous size, with a flowering top as large as a person. This one is fake.",description,ThingDef/ThingDef.xml,def,"This Septimum plant has grown to an enormous size, with a flowering top as large as a person. This one is fake."
VFEPD_GlowingGrass.label,glowing grass,label,ThingDef/ThingDef.xml,def,glowing grass
VFEPD_GlowingGrass.description,Wild grass. Grows anywhere there is a little light and minimally fertile ground. This one is fake.,description,ThingDef/ThingDef.xml,def,Wild grass. Grows anywhere there is a little light and minimally fertile ground. This one is fake.
VFEPD_WildRadagast.label,wild radagast,label,ThingDef/ThingDef.xml,def,wild radagast
VFEPD_WildRadagast.description,This twisting alien plant grows small glowing berries. This one is fake.,description,ThingDef/ThingDef.xml,def,This twisting alien plant grows small glowing berries. This one is fake.
VFEPD_GiantGamma.label,giant gamma,label,ThingDef/ThingDef.xml,def,giant gamma
VFEPD_GiantGamma.description,"Like many other flora from the Forsakens native planet, this huge globular plant is bioluminescent. This one is fake.",description,ThingDef/ThingDef.xml,def,"Like many other flora from the Forsakens native planet, this huge globular plant is bioluminescent. This one is fake."
VFEPD_TangleTea.label,tangle tea,label,ThingDef/ThingDef.xml,def,tangle tea
VFEPD_TangleTea.description,This strange plant seems to be of alien origins. It doesn't seem to be fit for human consumption. This one is fake.,description,ThingDef/ThingDef.xml,def,This strange plant seems to be of alien origins. It doesn't seem to be fit for human consumption. This one is fake.
VFEPD_EuphorbiaRimworldia.label,euphorbia rimworldia,label,ThingDef/ThingDef.xml,def,euphorbia rimworldia
VFEPD_EuphorbiaRimworldia.description,"A plant of the euphorbia genus, commonly called spurges. This plant has adapted to arid climates and stores a lot of water inside their spine-covered leaves. This one is fake.",description,ThingDef/ThingDef.xml,def,"A plant of the euphorbia genus, commonly called spurges. This plant has adapted to arid climates and stores a lot of water inside their spine-covered leaves. This one is fake."
VFEPD_DeadBowerTree.label,dead bower tree,label,ThingDef/ThingDef.xml,def,dead bower tree
VFEPD_DeadBowerTree.description,"Despite its common name, the dead bower tree is not truly dead, just exceptionally adapted to survival in arid weather. This one is fake.",description,ThingDef/ThingDef.xml,def,"Despite its common name, the dead bower tree is not truly dead, just exceptionally adapted to survival in arid weather. This one is fake."
VFEPD_Slimecasia.label,slimecasia,label,ThingDef/ThingDef.xml,def,slimecasia
