key,text,tag,file,type
VFEPD_Badger.label,Badger,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Badger.description,"A tracked, armoured fighting vehicle, the Badger is designed to transport scouts and infantry while providing covering fire to suppress enemy troops. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_BigRig.label,Big Rig,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_BigRig.description,"A dedicated cargo transporter, the Big Rig is the epitome of bulk material transportation. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Burya.label,Burya,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Burya.description,"A dedicated multiple launch rocket system platform, the Burya is a long-range siege and area denial weapon that can be operated by a two-man crew for faster loading speeds. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Goliath.label,Goliath,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Goliath.description,"More of a movable mini-base than a deployment pod, Goliath is an expensive but powerful solution to any immovable enemy object. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Hermano.label,Hermano,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Hermano.description,"A dedicated refrigeration vehicle, the Hermano is a decent cargo transporter with a specific niche in ferrying perishable goods. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Lightning.label,Lightning,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Lightning.description,"A fast general purpose transporter, the Lightning is an excellent road vehicle for getting an appreciable amount of cargo in a very small time frame. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Louie.label,Louie,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Louie.description,"An armoured transport aircraft, the Louie is a robust and agile mobile mode of transportation. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Marshal.label,Marshal,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Marshal.description,"A general main battle tank, the Marshal is an improved combat vehicle that performs well in any engagement. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Nomad.label,Nomad,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Nomad.description,"An armoured all-rounder vehicle, the Nomad performs remarkably well in all categories with an excellent cargo and passenger capacity. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Paladin.label,Paladin,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Paladin.description,"A general purpose armoured personnel carrier, the Paladin is a fast and hardy troop transport. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Springbok.label,Springbok,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Springbok.description,"A general all-rounder vehicle, the Springbok performs well in all categories with a good cargo and passenger capacity. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Udar.label,Udar,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_Udar.description,"A dedicated artillery unit, the Udar is a long-range siege weapon that can be operated by a two-man crew for faster loading speeds. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_ClassicCarWreck.label,classical car wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_ClassicCarWreck.description,"An ancient, broken classic car. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_SupercarWreck.label,supercar wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_SupercarWreck.description,"An ancient, broken supercar. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_BattleTankWreck.label,battle tank wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_BattleTankWreck.description,"An ancient, broken battle tank. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_LightArmoredVehicleWreck.label,light armored vehicle wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_LightArmoredVehicleWreck.description,"An ancient, broken light armored vehicle. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_OffroadJeepWreck.label,offroad jeep wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_OffroadJeepWreck.description,"An ancient, broken offroad jeep. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_HelicopterWreck.label,helicopter wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_HelicopterWreck.description,"An ancient, broken helicopter. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_TruckWreck.label,truck wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_TruckWreck.description,"An ancient, broken truck. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_ArtilleryWreck.label,artillery wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_ArtilleryWreck.description,"An ancient, broken self propelled artillery. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_CargoHelicopterWreck.label,cargo helicopter wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_CargoHelicopterWreck.description,"An ancient, crashed cargo helicopter. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_RefrigeratedTruckWreck.label,refrigerated truck wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_RefrigeratedTruckWreck.description,"An ancient, broken refrigerated truck. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_InfantryFightingVehicleWreck.label,infantry fighting vehicle wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_InfantryFightingVehicleWreck.description,"An ancient, broken infantry fighting vehicle. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_RocketArtilleryWreck.label,rocket artillery wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_RocketArtilleryWreck.description,"An ancient, broken rocket artillery truck. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_SiegePodWreck.label,siege pod wreck,label,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
VFEPD_SiegePodWreck.description,"An ancient, destroyed siege pod. Everything that isn't rusted away was looted long ago.",description,ThingDef/Buildings_VanillaVehiclesExpandedTier3.xml,def
