key,text,tag,file,type
VFEPD_AncientMechGestator.label,ancient mech gestator,label,ThingDef/ThingDef.xml,def
VFEPD_AncientMechGestator.description,"An ancient mech gestator. Valuable parts are missing, and everything else is degraded to uselessness.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientLargeMechGestator.label,ancient large mech gestator,label,ThingDef/ThingDef.xml,def
VFEPD_AncientLargeMechGestator.description,"An ancient large mech gestator. Valuable parts are missing, and everything else is degraded to uselessness.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientBasicRecharger.label,ancient basic recharger,label,ThingDef/ThingDef.xml,def
VFEPD_AncientBasicRecharger.description,"An ancient basic recharger. Valuable parts are missing, and everything else is degraded to uselessness.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientStandardRecharger.label,ancient standard recharger,label,ThingDef/ThingDef.xml,def
VFEPD_AncientStandardRecharger.description,"An ancient standard recharger. Valuable parts are missing, and everything else is degraded to uselessness.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientToxifierGenerator.label,ancient toxifier generator,label,ThingDef/ThingDef.xml,def
VFEPD_AncientToxifierGenerator.description,"An ancient toxifier generator. Valuable parts are missing, and everything else is degraded to uselessness.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientBandNode.label,ancient band node,label,ThingDef/ThingDef.xml,def
VFEPD_AncientBandNode.description,"An ancient band node. Valuable parts are missing, and everything else is degraded to uselessness.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderRemains.label,exostrider remains,label,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderRemains.description,"The remains of a massive, ancient exostrider war mechanoid.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderHead.label,exostrider head,label,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderHead.description,"The remains of the head of a massive, ancient exostrider mechanoid.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderLeg.label,exostrider leg,label,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderLeg.description,"The remains of the leg of a massive, ancient exostrider mechanoid.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderCannon.label,exostrider cannon,label,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderCannon.description,"The remains of the back-mounted energy cannon of a massive, ancient exostrider mechanoid.",description,ThingDef/ThingDef.xml,def
VFEPD_MechRepairingEffect.label,mech repairing,label,ThingDef/ThingDef.xml,def
VFEPD_MechRepairingEffect.description,"This is an effecter prop for ""Mech Repairing"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_MechBandAntennaPreparedEffect.label,mech band antenna,label,ThingDef/ThingDef.xml,def
VFEPD_MechBandAntennaPreparedEffect.description,"This is an effecter prop for ""Mech Band Antenna Prepared"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_ControlMechEffect.label,control mech,label,ThingDef/ThingDef.xml,def
VFEPD_ControlMechEffect.description,"This is an effecter prop for ""Control Mech"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Fire_SpewEffect.label,fire spew,label,ThingDef/ThingDef.xml,def
VFEPD_Fire_SpewEffect.description,"This is an effecter prop for ""Fire Spew"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Fire_BurstEffect.label,fire burst,label,ThingDef/ThingDef.xml,def
VFEPD_Fire_BurstEffect.description,"This is an effecter prop for ""Fire Burst"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_CellPollutionEffect.label,cell pollution,label,ThingDef/ThingDef.xml,def
VFEPD_CellPollutionEffect.description,"This is an effecter prop for ""Cell Pollution"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_SanguophageMeetingEffect.label,sanguophage meeting,label,ThingDef/ThingDef.xml,def
VFEPD_SanguophageMeetingEffect.description,"This is an effecter prop for ""Sanguophage Meeting"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_GeneAssembler_WorkingEffect.label,gene assembler,label,ThingDef/ThingDef.xml,def
VFEPD_GeneAssembler_WorkingEffect.description,"This is an effecter prop for ""Gene Assembler Working"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderRemainsPulseEffect.label,exostrider pulse,label,ThingDef/ThingDef.xml,def
VFEPD_AncientExostriderRemainsPulseEffect.description,"This is an effecter prop for ""Ancient Exostrider Remains Pulse"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_WastepackAtomizer_OperatingEffect.label,wastepack atomizer,label,ThingDef/ThingDef.xml,def
VFEPD_WastepackAtomizer_OperatingEffect.description,"This is an effecter prop for ""Wastepack Atomizer Operating"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Bloodfeed_WarmupEffect.label,bloodfeed warmup,label,ThingDef/ThingDef.xml,def
VFEPD_Bloodfeed_WarmupEffect.description,"This is an effecter prop for ""Bloodfeed Warmup"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_Vat_BubblesEffect.label,vat bubbles,label,ThingDef/ThingDef.xml,def
VFEPD_Vat_BubblesEffect.description,"This is an effecter prop for ""Vat Bubbles"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_ApocritonPulseEffect.label,apocriton pulse,label,ThingDef/ThingDef.xml,def
VFEPD_ApocritonPulseEffect.description,"This is an effecter prop for ""Apocriton Pulse"". Intrinsically laggy, use in moderation.",description,ThingDef/ThingDef.xml,def
VFEPD_FakePoluxTree.label,fake polux tree,label,ThingDef/ThingDef.xml,def
VFEPD_FakePoluxTree.description,Plastic tree imitating a polux tree. No pollution cleaning here.,description,ThingDef/ThingDef.xml,def
VFEPD_ToxiPotato.label,toxipotato plant,label,ThingDef/ThingDef.xml,def
VFEPD_ToxiPotato.description,A fake genetically-engineered variant of potato adapted for growing in polluted areas.,description,ThingDef/ThingDef.xml,def
VFEPD_GrayGrass.label,gray grass,label,ThingDef/ThingDef.xml,def
VFEPD_GrayGrass.description,This is just plastic grass painted gray. Gray? Grey? Can't you people just decide on one??,description,ThingDef/ThingDef.xml,def
VFEPD_Ripthorn.label,ripthorn,label,ThingDef/ThingDef.xml,def
VFEPD_Ripthorn.description,"A fake short toxin-adapted shrub that looks like a dense, tough tangle of thorny branches.",description,ThingDef/ThingDef.xml,def
VFEPD_PebbleCactus.label,pebble cactus,label,ThingDef/ThingDef.xml,def
VFEPD_PebbleCactus.description,A fake small cactus that resembles a cluster of pebbles.,description,ThingDef/ThingDef.xml,def
VFEPD_TreeGrayPine.label,gray pine tree,label,ThingDef/ThingDef.xml,def
VFEPD_TreeGrayPine.description,A fake small toxin-adapted tree with twisted branches.,description,ThingDef/ThingDef.xml,def
VFEPD_Witchwood.label,witchwood tree,label,ThingDef/ThingDef.xml,def
VFEPD_Witchwood.description,A fake small toxin-adapted tree with a twisted trunk.,description,ThingDef/ThingDef.xml,def
VFEPD_RatPalm.label,rat palm tree,label,ThingDef/ThingDef.xml,def
VFEPD_RatPalm.description,A fake tree similar to a palm tree with dense surface roots.,description,ThingDef/ThingDef.xml,def
VFEPD_MechanitorShip.label,mechanitor ship,label,ThingDef/ThingDef.xml,def
VFEPD_MechanitorShip.description,A short-range ship used by a mechanitor to transport mechs for low-orbit or planetary travel. Deactivated.,description,ThingDef/ThingDef.xml,def
VFEPD_MechbandAntenna.label,mechband antenna,label,ThingDef/ThingDef.xml,def
VFEPD_MechbandAntenna.description,A mech-band signaling device. Deactivated.,description,ThingDef/ThingDef.xml,def
VFEPD_MechbandDish.label,mechband dish,label,ThingDef/ThingDef.xml,def
VFEPD_MechbandDish.description,A mech-band signaling device more powerful than the normal mechlink antenna. Deactivated.,description,ThingDef/ThingDef.xml,def
VFEPD_CocoonMegaspider.label,megaspider cocoon,label,ThingDef/ThingDef.xml,def
VFEPD_CocoonMegaspider.description,Not a real insect cocoon.,description,ThingDef/ThingDef.xml,def
VFEPD_CocoonMegascarab.label,megascarab cocoon,label,ThingDef/ThingDef.xml,def
VFEPD_CocoonMegascarab.description,Not a real insect cocoon.,description,ThingDef/ThingDef.xml,def
VFEPD_CocoonSpelopede.label,spelopede cocoon,label,ThingDef/ThingDef.xml,def
VFEPD_CocoonSpelopede.description,Not a real insect cocoon.,description,ThingDef/ThingDef.xml,def
VFEPD_FilthAcid.label,acid,label,ThingDef/ThingDef.xml,def
VFEPD_FilthAcid.description,Spent acid.,description,ThingDef/ThingDef.xml,def
