key,text,tag,file,type
VRecyclingE_NotWorking,This machine is not working at the moment,VRecyclingE_NotWorking,Misc.xml,keyed
VRecyclingE_Leaking,This reactive isotopack is leaking radiation,VRecyclingE_Leaking,Misc.xml,keyed
VRecyclingE_DurationUntilNextProcess,Time until {1} {0_labelPlural} are ready,VRecyclingE_DurationUntilNextProcess,Misc.xml,keyed
VRecyclingE_ContainedThings,Contained {0},VRecyclingE_ContainedThings,Misc.xml,keyed
VRecyclingE_DissolutionWasteCrate,Protected (won't dissolve).,VRecyclingE_DissolutionWasteCrate,Misc.xml,keyed
VRecyclingE_HaulToCompactor.reportString,hauling TargetA.,reportString,JobDef/Jobs_Work.xml,def
VRecyclingE_HaulToAlloySplitter.reportString,hauling TargetA.,reportString,JobDef/Jobs_Work.xml,def
VRecyclingE_TrashToBricks.label,Trash to trashbricks,label,PipeSystem.ProcessDef/ProcessDefs.xml,def
VRecyclingE_TrashToBricks.description,Turns 10 trash into 25 trashbricks.,description,PipeSystem.ProcessDef/ProcessDefs.xml,def
VRecyclingE_SplitStabilizedAlloypack.label,Split stabilized alloypack,label,PipeSystem.ProcessDef/ProcessDefs.xml,def
VRecyclingE_SplitStabilizedAlloypack.description,"Turns 1 stabilized alloypack into 1 Plasteel, 1 Gold and 2 Steel.",description,PipeSystem.ProcessDef/ProcessDefs.xml,def
VRecyclingE_Recycle_WastepackIntoChempack.label,recycle wastepacks into reactive chempacks,label,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_WastepackIntoChempack.description,"Use manual labor to recycle toxic wastepacks into reactive chempacks, creating reclaimed biopacks as a byproduct.",description,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_WastepackIntoChempack.jobString,Recycling wastepacks into reactive chempacks.,jobString,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_ChempackIntoChemfuel.label,recycle reactive chempacks into chemfuel,label,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_ChempackIntoChemfuel.description,Use manual labor to separate viable chemfuel from trash in reactive chempacks.,description,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_ChempackIntoChemfuel.jobString,Recycling reactive chempacks into chemfuel.,jobString,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_WastepackIntoToxpack.label,recycle wastepacks into volatile toxpacks,label,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_WastepackIntoToxpack.description,"Use manual labor to recycle toxic wastepacks into volatile toxpacks, creating trash as a byproduct.",description,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_WastepackIntoToxpack.jobString,Recycling wastepacks into volatile toxpacks.,jobString,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_BreakDownToxpack.label,recycle volatile toxpacks into isotopacks and alloypacks,label,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_BreakDownToxpack.description,Use manual labor to recycle volatile toxpacks into stabilized alloypacks and radioactive isotopacks.,description,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_BreakDownToxpack.jobString,Recycling volatile toxpacks into isotopacks and alloypacks.,jobString,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_IsotopackIntoUranium.label,recycle radioactive isotopacks into uranium,label,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_IsotopackIntoUranium.description,Use manual labor to separate viable uranium from trash in radioactive isotopacks.,description,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_Recycle_IsotopackIntoUranium.jobString,Recycling radioactive isotopacks into uranium.,jobString,RecipeDef/Recipes_Recycling.xml,def
VRecyclingE_BasicRecycling.label,basic recycling,label,ResearchProjectDef/ResearchProjects.xml,def
VRecyclingE_BasicRecycling.description,"Discover basic recycling, giving you the ability to recycle wastepacks into a variety of different resources.",description,ResearchProjectDef/ResearchProjects.xml,def
VRecyclingE_ComplexRecycling.label,complex recycling,label,ResearchProjectDef/ResearchProjects.xml,def
VRecyclingE_ComplexRecycling.description,Learn to recycle isotopacks and alloypacks into new resources and build garbage compactors to craft trashbricks.,description,ResearchProjectDef/ResearchProjects.xml,def
VanillaExpanded.label,Vanilla Expanded,label,ResearchTabDef/ResearchTabs.xml,def
VRecyclingE_TrashBrickFloor.label,trashbrick floor,label,TerrainDef/Terrain_Floors.xml,def
VRecyclingE_TrashBrickFloor.description,"A rough floor made with trashbricks. Not pretty, but cheap to make.",description,TerrainDef/Terrain_Floors.xml,def
VRecyclingE_SpecializedPacks.label,recycling packs,label,ThingCategoryDef/ThingCategories.xml,def
