key,text,tag,file,type,mod,protected_text
VFE.FilthStored,Amount of filth stored: {0}\nContainer filled: {1},VFE.FilthStored,Keys.xml,keyed,Vanilla Furniture Expanded,Amount of filth stored: (PH_3)(PH_2)Container filled: (PH_1)
VFE.FilthStoredBeauty,Container filled ({1}): {0},VFE.FilthStoredBeauty,Keys.xml,keyed,Vanilla Furniture Expanded,Container filled ((PH_2)): (PH_1)
VFE.SetTargetCleanup,Container cleanup threshold: {0},VFE.SetTargetCleanup,Keys.xml,keyed,Vanilla Furniture Expanded,Container cleanup threshold: (PH_1)
VFE.CannotPlaceOnWall,Cannot be place inside a wall.,VFE.CannotPlaceOnWall,Keys.xml,keyed,Vanilla Furniture Expanded,Cannot be place inside a wall.
VFE.ComputerNeedChairs,Computer needs a chair,VFE.ComputerNeedChairs,Keys.xml,keyed,Vanilla Furniture Expanded,Computer needs a chair
VFE.ComputerNeedChairsDesc,One of your computers does not have any adjacent chair.\n\nBuild adjacent chair or stool to allow your colonists to use the computer.,VFE.ComputerNeedChairsDesc,Keys.xml,keyed,Vanilla Furniture Expanded,One of your computers does not have any adjacent chair.(PH_2)(PH_1)Build adjacent chair or stool to allow your colonists to use the computer.
VFE.RouletteTableOnWall,Roulette needs space,VFE.RouletteTableOnWall,Keys.xml,keyed,Vanilla Furniture Expanded,Roulette needs space
VFE.RouletteTableOnWallDesc,One of your roulette tables is adjacent to an obstruction that will prevent colonists from using it.\n\nA roulette table needs clear space around it on all sides to be usable.,VFE.RouletteTableOnWallDesc,Keys.xml,keyed,Vanilla Furniture Expanded,One of your roulette tables is adjacent to an obstruction that will prevent colonists from using it.(PH_2)(PH_1)A roulette table needs clear space around it on all sides to be usable.
VFE.SunbathingPossibleForPawn,Sunbathing possible for {PAWNLIST},VFE.SunbathingPossibleForPawn,Keys.xml,keyed,Vanilla Furniture Expanded,Sunbathing possible for (PH_1)
VFE.SunbathingPossibleGeneric,"Sunbathing possible, assuming temperature is comfortable and colonists enjoy outdoor activities",VFE.SunbathingPossibleGeneric,Keys.xml,keyed,Vanilla Furniture Expanded,"Sunbathing possible, assuming temperature is comfortable and colonists enjoy outdoor activities"
VFE.SunbathingNotPossible,Sunbathing not possible:,VFE.SunbathingNotPossible,Keys.xml,keyed,Vanilla Furniture Expanded,Sunbathing not possible:
VFE.SunbathingNotPossible.UnderRoof,under a roof,VFE.SunbathingNotPossible.UnderRoof,Keys.xml,keyed,Vanilla Furniture Expanded,under a roof
VFE.SunbathingNotPossible.BadWeather,bad weather,VFE.SunbathingNotPossible.BadWeather,Keys.xml,keyed,Vanilla Furniture Expanded,bad weather
VFE.SunbathingNotPossible.NotSunny,not sunny enough,VFE.SunbathingNotPossible.NotSunny,Keys.xml,keyed,Vanilla Furniture Expanded,not sunny enough
VFE.SunbathingNotPossible.PawnOutdoors,{PAWN_labelShort} doesn't enjoy outdoors,VFE.SunbathingNotPossible.PawnOutdoors,Keys.xml,keyed,Vanilla Furniture Expanded,(PH_1) doesn't enjoy outdoors
VFE.SunbathingNotPossible.PawnComfortableTemperature,not comfortable temperature for {PAWN_labelShort},VFE.SunbathingNotPossible.PawnComfortableTemperature,Keys.xml,keyed,Vanilla Furniture Expanded,not comfortable temperature for (PH_1)
VFE_AnimalSarcophagus.label,animal sarcophagus,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,animal sarcophagus
VFE_AnimalSarcophagus.description,An ornamented burial receptacle for the honored dead animals.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,An ornamented burial receptacle for the honored dead animals.
Bed_StoneSlab.label,chiseled bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,chiseled bed
Bed_StoneSlab.description,A simple yet beautiful stone slab used for sleeping. It offers minimal comfort but is durable and fireproof.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A simple yet beautiful stone slab used for sleeping. It offers minimal comfort but is durable and fireproof.
VFE_Bed_StoneSlabDouble.label,chiseled double bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,chiseled double bed
VFE_Bed_StoneSlabDouble.description,A simple yet beautiful stone slab used for sleeping that fits two people. It offers minimal comfort but is durable and fireproof.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A simple yet beautiful stone slab used for sleeping that fits two people. It offers minimal comfort but is durable and fireproof.
Bed_Simple.label,simple bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,simple bed
Bed_Simple.description,"A somewhat comfy net and pillow rested on a sturdy frame. Due to the simple construction, quality is not a factor in this bed.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A somewhat comfy net and pillow rested on a sturdy frame. Due to the simple construction, quality is not a factor in this bed."
VFE_Bed_SimpleDouble.label,simple double bed,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,simple double bed
VFE_Bed_SimpleDouble.description,"A somewhat comfy net and pillow rested on a sturdy frame that fits two people. Due to the simple construction, quality is not a factor in this bed.",description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,"A somewhat comfy net and pillow rested on a sturdy frame that fits two people. Due to the simple construction, quality is not a factor in this bed."
Seat_Cushion.label,sitting cushion,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,sitting cushion
Seat_Cushion.description,A soft cushion designed for sitting. More comfortable than a stool but still a simple seating option.,description,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,A soft cushion designed for sitting. More comfortable than a stool but still a simple seating option.
Seat_Bench.label,bench,label,ThingDef/ThingDef.xml,def,Vanilla Furniture Expanded,bench
