key,text,tag,file,type
VIEHAR_Apparel_Beads.label,beads,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Beads.description,Large beads made of any variety of material used to signify devotion to one's beliefs.,description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_BishopHat.label,bishop hat,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_BishopHat.description,"A tall, regal ceremonial headdress meant to adorn the head of leaders of Christian faith.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_BrimlessHat.label,brimless hat,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_BrimlessHat.description,"A small, plain hat meant to rest gently on one’s head. Those who wear it often claim it radiates a certain angelic overtone.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_CommisarHat.label,commissar hat,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_CommisarHat.description,"A distinguished, brimmed hat adorned with a badge of bravery, meant to inspire cooperation in one's subordinates at any cost.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_DeerSkull.label,deer skull,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_DeerSkull.description,A simple hood with a forward facing mounted animal skull on the front. This piece is commonly seen worn by those of tribal persuasion and those close to nature.,description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Fez.label,fez,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Fez.description,"A flat-topped conical hat decorated with a black tassel, often worn by desert nobility.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Headbag.label,headbag,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Headbag.description,A cult-like hood meant to be worn for anonymity and collectivism during rituals or worn as a sign of great humility.,description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Headscarf.label,headscarf,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Headscarf.description,"A warm, floppy hat which covers one's ears, often worn by those belonging to alpinian tribes.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_HorseMask.label,horse mask,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_HorseMask.description,"A jovial hat that mimics the appearance of an equestrian, party animals far and wide know it to be an epitome of comical relief.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_MilitaryCap.label,military cap,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_MilitaryCap.description,"A standard rank-and-file military cap meant to be worn during non-combat procedures, though brave officers are known to wear them during combat as well.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Skullcap.label,skullcap,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Skullcap.description,"A small, extremely plain hat meant to cover only the crown of one's head. Often worn continuously by the pious and devout alike.",description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_SpikedSkullcap.label,spiked skullcap,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_SpikedSkullcap.description,A halo-shaped headpiece meant to accentuate the wearer as being that of profane standing. Often worn by those who find salvation in suffering.,description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_WideHat.label,wide hat,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_WideHat.description,A very wide-brimmed and rustic hat meant to be worn by sheriffs and lawbringers of far off steamworlds.,description,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Rags.label,rags,label,ThingDef/ThingDef.xml,def
VIEHAR_Apparel_Rags.description,"A set of rags meant to cover oneself, offers almost no protection or warmth, but meant to convey detachment from life's pleasures and peace with oneself.",description,ThingDef/ThingDef.xml,def
