key,text,tag,file,type
VCE_ConsumedSoySauce.label,consumed soy sauce (from meal),label,HediffDef/Hediffs_Global_Misc.xml,def
VCE_ConsumedSoySauce.description,"A fermented paste of soybeans, roasted grain, brine, and Aspergillus bacteria. Soy sauce can be added directly to food, and is used as a dip or salt flavor in cooking, as well as providing a rich umami taste. Soy sauce contains 10 times the antioxidants of red wine, and can help prevent cardiovascular diseases (increases blood pumping and filtration).",description,HediffDef/Hediffs_Global_Misc.xml,def
VCE_ConsumedWasabi.label,consumed wasabi (from meal),label,HediffDef/Hediffs_Global_Misc.xml,def
VCE_ConsumedWasabi.description,A paste made from ground wasabi rhizomes and used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. Wasabi clears your breathing and makes you feel warmer for a while.,description,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteSimpleSushi.label,consumed simple sushi (from meal),label,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteSimpleSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteFineSushi.label,consumed fine sushi (from meal),label,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteFineSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteLavishSushi.label,consumed lavish sushi (from meal),label,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteLavishSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteGourmetSushi.label,consumed gourmet sushi (from meal),label,HediffDef/Hediffs_Global_Misc.xml,def
VCE_AteGourmetSushi.description,I have eaten a delicious and filling sushi meal.,description,HediffDef/Hediffs_Global_Misc.xml,def
VCE_SoybeansToSauce.label,Ferment soybeans into soy sauce,label,PipeSystem.ProcessDef/ProcessDefs.xml,def
VCE_SoybeansToSauce.description,Turn 30 soybeans into 15 soy sauce.,description,PipeSystem.ProcessDef/ProcessDefs.xml,def
VCE_WasabiPaste.label,make wasabi paste,label,RecipeDef/Recipes_Condiments.xml,def
VCE_WasabiPaste.description,Create wasabi paste from raw wasabi. It is used as a pungent condiment for sushi and other foods. It is similar in taste to hot mustard rather than chili peppers in that it stimulates the nose more than the tongue. It loses its flavour and deteriorates extremely fast.,description,RecipeDef/Recipes_Condiments.xml,def
VCE_WasabiPaste.jobString,Making wasabi paste.,jobString,RecipeDef/Recipes_Condiments.xml,def
VCE_DeepFrySushi.label,deep fry sushi x20,label,RecipeDef/Recipes_Frying.xml,def
VCE_DeepFrySushi.description,"Deep fry sushi. Deep fried food is very tasty, but not very good for your health.",description,RecipeDef/Recipes_Frying.xml,def
VCE_DeepFrySushi.jobString,Deep frying sushi.,jobString,RecipeDef/Recipes_Frying.xml,def
VCE_CookChirashizushiSimple.label,make chirashizushi bowl (simple),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookChirashizushiSimple.description,Make a Chirashizushi bowl quickly prepared from a few ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookChirashizushiSimple.jobString,Making chirashizushi bowl (simple).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookChirashizushiSimpleBulk.label,make chirashizushi bowls (simple) x4,label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookChirashizushiSimpleBulk.description,Make 4 Chirashizushi bowls quickly prepared from a few ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookChirashizushiSimpleBulk.jobString,Making chirashizushi bowls (simple) x4.,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNorimakiSimple.label,make norimaki (simple),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNorimakiSimple.description,Make norimaki quickly prepared from a few ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNorimakiSimple.jobString,Making norimaki (simple).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNorimakiSimpleBulk.label,make norimaki (simple) x4,label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNorimakiSimpleBulk.description,Make 4 norimaki quickly prepared from a few ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNorimakiSimpleBulk.jobString,Making norimaki (simple) x4.,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookUramakiFine.label,make uramaki (fine),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookUramakiFine.description,Make uramaki assembled with care from a wide selection of ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookUramakiFine.jobString,Making uramaki (fine).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookUramakiFineBulk.label,make uramaki (fine) x4,label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookUramakiFineBulk.description,Make 4 uramaki assembled with care from a wide selection of ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookUramakiFineBulk.jobString,Making uramaki (fine) x4.,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNigiriFine.label,make nigiri (fine),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNigiriFine.description,Make nigiri assembled with care from a wide selection of ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNigiriFine.jobString,Making nigiri (fine).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNigiriFineBulk.label,make nigiri (fine) x4,label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNigiriFineBulk.description,Make 4 nigiri assembled with care from a wide selection of ingredients.,description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookNigiriFineBulk.jobString,Making nigiri (fine) x4.,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookTemakiLavish.label,make temaki (lavish),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookTemakiLavish.description,"Make a masterpiece of the culinary arts, this temaki nourishes the body, mind, and soul.",description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookTemakiLavish.jobString,Making temaki (lavish).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookTemakiLavishBulk.label,make temaki (lavish) x4,label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookTemakiLavishBulk.description,"Make 4 masterpieces of the culinary arts, these temaki nourish the body, mind, and soul.",description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookTemakiLavishBulk.jobString,Making temaki (lavish) x4.,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookFutomakiLavish.label,make futomaki (lavish),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookFutomakiLavish.description,"Make a masterpiece of the culinary arts, this futomaki nourishes the body, mind, and soul.",description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookFutomakiLavish.jobString,Making futomaki (lavish).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookFutomakiLavishBulk.label,make futomaki (lavish) x4,label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookFutomakiLavishBulk.description,"Make 4 masterpieces of the culinary arts, these futomaki nourish the body, mind, and soul.",description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookFutomakiLavishBulk.jobString,Making futomaki (lavish) x4.,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookGunkanmakiGourmet.label,make gunkanmaki (gourmet),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookGunkanmakiGourmet.description,"Make a culinary work of art, characterized by refined, even elaborate preparation and presentation of an aesthetically balanced, albeit low quantity gunkanmaki.",description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookGunkanmakiGourmet.jobString,Making gunkanmaki (gourmet).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_CookOshizushiiGourmet.label,make oshizushi (gourmet),label,RecipeDef/Recipes_Sushi.xml,def
VCE_CookOshizushiiGourmet.description,"Make a culinary work of art, characterized by refined, even elaborate preparation and presentation of an aesthetically balanced, albeit low quantity oshizushi.",description,RecipeDef/Recipes_Sushi.xml,def
VCE_CookOshizushiiGourmet.jobString,Making oshizushi (gourmet).,jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_MakeHumanSurimi.label,"make human ""surimi""",label,RecipeDef/Recipes_Sushi.xml,def
VCE_MakeHumanSurimi.description,"Turn human meat into a nondistinct paste mimicking the texture of lobster, crab, or other shellfish. The taste, though...",description,RecipeDef/Recipes_Sushi.xml,def
VCE_MakeHumanSurimi.jobString,"Making human ""surimi"".",jobString,RecipeDef/Recipes_Sushi.xml,def
VCE_SoyFermentation.label,soybean fermentation,label,ResearchProjectDef/Research.xml,def
VCE_SoyFermentation.description,"Soybean fermentation is the process by which soybeans are submitted to a chemical breakdown by bacteria, yeasts, or other microorganisms, transforming into new products. This research gives access to the soy sauce fermenter.",description,ResearchProjectDef/Research.xml,def
VCE_SushiPrepTable.label,sushi prep table,label,ThingDef/Buildings.xml,def
VCE_SushiPrepTable.description,"A working table to cut, slice and prepare all kinds of sushi.",description,ThingDef/Buildings.xml,def
VCE_SoyFermenter.label,soy sauce fermenter,label,ThingDef/Buildings.xml,def
