key,text,tag,file,type,protected_text,translated
VFEPD_RedBugloss.label,red bugloss,label,ThingDef/ThingDef.xml,def,red bugloss,红牛舌草
VFEPD_RedBugloss.description,"One of the weirdest plants from Earth, genetically modified to thrive in wet, warm environments. This one is fake.",description,ThingDef/ThingDef.xml,def,"One of the weirdest plants from Earth, genetically modified to thrive in wet, warm environments. This one is fake.",地球上最奇怪的植物之一，经过基因改造，可以在潮湿、温暖的环境中茁壮成长。这个是假的。
VFEPD_Gomphoeria.label,gomphoeria,label,ThingDef/ThingDef.xml,def,gomphoeria,戈姆菲利亚
VFEPD_Gomphoeria.description,"An unusually tall plant with bright, pink nodules. Its nodules are slightly toxic for humans, and it produces a strange, rotten fruit smell, so it is considered absolutely inedible. This one is fake.",description,ThingDef/ThingDef.xml,def,"An unusually tall plant with bright, pink nodules. Its nodules are slightly toxic for humans, and it produces a strange, rotten fruit smell, so it is considered absolutely inedible. This one is fake.",一种异常高大的植物，有明亮的粉红色结节。它的根瘤对人类有轻微毒性，并且会产生一种奇怪的腐烂果实气味，因此被认为是绝对不能食用的。这个是假的。
VFEPD_Aaklac.label,aaklac,label,ThingDef/ThingDef.xml,def,aaklac,阿克拉克
VFEPD_Aaklac.description,"A rare, huge flower which can be found in the deepest jungles. Its quite striking colour and nice smell makes it popular in gardening, if it can be extracted from the deep jungle, of course. This one is fake.",description,ThingDef/ThingDef.xml,def,"A rare, huge flower which can be found in the deepest jungles. Its quite striking colour and nice smell makes it popular in gardening, if it can be extracted from the deep jungle, of course. This one is fake.",一种罕见的巨大花朵，可以在丛林最深处找到。它相当引人注目的颜色和漂亮的气味使其在园艺中很受欢迎，当然，如果它可以从丛林深处提取的话。这个是假的。
VFEPD_JungleTree.label,deep jungle tree,label,ThingDef/ThingDef.xml,def,deep jungle tree,丛林深处的树
VFEPD_JungleTree.description,"This jungle tree is not of terrestrial origins, originating from the deepest crevices of an alien jungle. This one is fake.",description,ThingDef/ThingDef.xml,def,"This jungle tree is not of terrestrial origins, originating from the deepest crevices of an alien jungle. This one is fake.",这棵丛林树并非起源于陆地，而是起源于外星丛林的最深处的裂缝。这个是假的。
VFEPD_GiantStikehr.label,giant stikehr,label,ThingDef/ThingDef.xml,def,giant stikehr,巨型扫地机
VFEPD_GiantStikehr.description,A giant alien mushroom that glows in the strange darkening mist. This one is fake.,description,ThingDef/ThingDef.xml,def,A giant alien mushroom that glows in the strange darkening mist. This one is fake.,一种巨大的外星蘑菇，在奇怪的暗雾中发光。这个是假的。
VFEPD_GiantSeptimum.label,giant septimum,label,ThingDef/ThingDef.xml,def,giant septimum,第七个巨人
VFEPD_GiantSeptimum.description,"This Septimum plant has grown to an enormous size, with a flowering top as large as a person. This one is fake.",description,ThingDef/ThingDef.xml,def,"This Septimum plant has grown to an enormous size, with a flowering top as large as a person. This one is fake.",这种Septimum植物已经长到了巨大的尺寸，其开花顶部有一个人那么大。这个是假的。
VFEPD_GlowingGrass.label,glowing grass,label,ThingDef/ThingDef.xml,def,glowing grass,发光草
VFEPD_GlowingGrass.description,Wild grass. Grows anywhere there is a little light and minimally fertile ground. This one is fake.,description,ThingDef/ThingDef.xml,def,Wild grass. Grows anywhere there is a little light and minimally fertile ground. This one is fake.,野生草。生长在任何有一点光照和最低限度肥沃的土地的地方。这个是假的。
VFEPD_WildRadagast.label,wild radagast,label,ThingDef/ThingDef.xml,def,wild radagast,野生拉达加斯特
VFEPD_WildRadagast.description,This twisting alien plant grows small glowing berries. This one is fake.,description,ThingDef/ThingDef.xml,def,This twisting alien plant grows small glowing berries. This one is fake.,这种扭曲的外星植物会长出发光的小浆果。这个是假的。
VFEPD_GiantGamma.label,giant gamma,label,ThingDef/ThingDef.xml,def,giant gamma,巨伽玛
VFEPD_GiantGamma.description,"Like many other flora from the Forsakens native planet, this huge globular plant is bioluminescent. This one is fake.",description,ThingDef/ThingDef.xml,def,"Like many other flora from the Forsakens native planet, this huge globular plant is bioluminescent. This one is fake.",与被遗忘者原生星球上的许多其他植物一样，这种巨大的球状植物具有生物发光能力。这个是假的。
VFEPD_TangleTea.label,tangle tea,label,ThingDef/ThingDef.xml,def,tangle tea,纠结茶
VFEPD_TangleTea.description,This strange plant seems to be of alien origins. It doesn't seem to be fit for human consumption. This one is fake.,description,ThingDef/ThingDef.xml,def,This strange plant seems to be of alien origins. It doesn't seem to be fit for human consumption. This one is fake.,这种奇怪的植物似乎来自外星。看来不适合人类食用。这个是假的。
VFEPD_EuphorbiaRimworldia.label,euphorbia rimworldia,label,ThingDef/ThingDef.xml,def,euphorbia rimworldia,大戟
VFEPD_EuphorbiaRimworldia.description,"A plant of the euphorbia genus, commonly called spurges. This plant has adapted to arid climates and stores a lot of water inside their spine-covered leaves. This one is fake.",description,ThingDef/ThingDef.xml,def,"A plant of the euphorbia genus, commonly called spurges. This plant has adapted to arid climates and stores a lot of water inside their spine-covered leaves. This one is fake.",大戟属植物，通常称为大戟。这种植物已经适应了干旱的气候，并在其覆盖着刺的叶子内储存了大量的水。这个是假的。
VFEPD_DeadBowerTree.label,dead bower tree,label,ThingDef/ThingDef.xml,def,dead bower tree,枯死的凉亭树
VFEPD_DeadBowerTree.description,"Despite its common name, the dead bower tree is not truly dead, just exceptionally adapted to survival in arid weather. This one is fake.",description,ThingDef/ThingDef.xml,def,"Despite its common name, the dead bower tree is not truly dead, just exceptionally adapted to survival in arid weather. This one is fake.",尽管它的名字很常见，但枯死的凉亭树并没有真正死掉，只是特别适应了干旱天气的生存。这个是假的。
VFEPD_Slimecasia.label,slimecasia,label,ThingDef/ThingDef.xml,def,slimecasia,斯里梅卡西亚
VFEPD_Slimecasia.description,"Although at first sight this seems to be an independent plant, its roots are intricately interconnected with the rest of the gelatinous superorganism. This one is fake.",description,ThingDef/ThingDef.xml,def,"Although at first sight this seems to be an independent plant, its roots are intricately interconnected with the rest of the gelatinous superorganism. This one is fake.",尽管乍一看这似乎是一种独立的植物，但它的根与凝胶状超级有机体的其余部分错综复杂地相互关联。这个是假的。
VFEPD_SlimyFern.label,slimy fern,label,ThingDef/ThingDef.xml,def,slimy fern,粘糊糊的蕨类植物
VFEPD_SlimyFern.description,"Although at first sight this seems to be an independent plant, its roots are intricately interconnected with the rest of the gelatinous superorganism. This one is fake.",description,ThingDef/ThingDef.xml,def,"Although at first sight this seems to be an independent plant, its roots are intricately interconnected with the rest of the gelatinous superorganism. This one is fake.",尽管乍一看这似乎是一种独立的植物，但它的根与凝胶状超级有机体的其余部分错综复杂地相互关联。这个是假的。
VFEPD_TallSlimyGrass.label,tall slimy grass,label,ThingDef/ThingDef.xml,def,tall slimy grass,高高的粘糊糊的草
VFEPD_TallSlimyGrass.description,Wild tall grass. Slows down anyone moving over it. This one is fake.,description,ThingDef/ThingDef.xml,def,Wild tall grass. Slows down anyone moving over it. This one is fake.,狂野高大草。减慢任何在其上移动的人的速度。这个是假的。
VFEPD_SlimyTree.label,slimy tree,label,ThingDef/ThingDef.xml,def,slimy tree,粘糊糊的树
VFEPD_SlimyTree.description,"This tree doesn't seem to be entirely solid. Upon further examination, it isn't an independent entity, its roots fusing seamlessly with the hardened gelatinous ground. This one is fake.",description,ThingDef/ThingDef.xml,def,"This tree doesn't seem to be entirely solid. Upon further examination, it isn't an independent entity, its roots fusing seamlessly with the hardened gelatinous ground. This one is fake.",这棵树看起来并不完全坚固。经过进一步检查，它不是一个独立的实体，它的根部与硬化的凝胶状地面无缝融合。这个是假的。
VFEPD_LargeSlimyTree.label,large slimy tree,label,ThingDef/ThingDef.xml,def,large slimy tree,粘糊糊的大树
VFEPD_LargeSlimyTree.description,"This tree doesn't seem to be entirely solid. Upon further examination, it isn't an independent entity, its roots fusing seamlessly with the hardened gelatinous ground. This one is fake.",description,ThingDef/ThingDef.xml,def,"This tree doesn't seem to be entirely solid. Upon further examination, it isn't an independent entity, its roots fusing seamlessly with the hardened gelatinous ground. This one is fake.",这棵树看起来并不完全坚固。经过进一步检查，它不是一个独立的实体，它的根部与硬化的凝胶状地面无缝融合。这个是假的。
VFEPD_ExoticFlowers.label,exotic flowers,label,ThingDef/ThingDef.xml,def,exotic flowers,异国情调的鲜花
VFEPD_ExoticFlowers.description,A bunch of colourful flowers. These are fake.,description,ThingDef/ThingDef.xml,def,A bunch of colourful flowers. These are fake.,一束色彩缤纷的花朵。这些都是假的。
VFEPD_GargantuanLithops.label,gargantuan lithops,label,ThingDef/ThingDef.xml,def,gargantuan lithops,巨大的生石花
VFEPD_GargantuanLithops.description,"Lithops is a genus of succulent plants often known as pebble plants or living stones, due to their stone-like appearance that allows them to avoid being eaten by blending in with surrounding rocks. This one is fake.",description,ThingDef/ThingDef.xml,def,"Lithops is a genus of succulent plants often known as pebble plants or living stones, due to their stone-like appearance that allows them to avoid being eaten by blending in with surrounding rocks. This one is fake.",生石花是一种多汁植物，通常被称为卵石植物或活石，因为它们的外观像石头，可以与周围的岩石融为一体，从而避免被吃掉。这个是假的。
VFEPD_GiantFlower.label,giant mutant hibiscus,label,ThingDef/ThingDef.xml,def,giant mutant hibiscus,巨型突变木槿
VFEPD_GiantFlower.description,Giant flowers genetically modified by a long-forgotten genetics company using the genome of a hibiscus plant. This one is fake.,description,ThingDef/ThingDef.xml,def,Giant flowers genetically modified by a long-forgotten genetics company using the genome of a hibiscus plant. This one is fake.,一家被遗忘已久的遗传学公司利用芙蓉植物的基因组对巨型花朵进行了基因改造。这个是假的。
VFEPD_GiantSunflower.label,giant sunflower.,label,ThingDef/ThingDef.xml,def,giant sunflower.,巨型向日葵。
