key,text,tag,file,type
VFEPD_BangBus.label,Bang Bus,label,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_BangBus.description,"A basic passenger transport, the Bangbus is a relatively cheap piece of machinery to construct to transport people across roads of flat terrain. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Bunsen.label,Bunsen,label,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Bunsen.description,"A basic light tank, the Bunsen is a modified armoured vehicle suited for taking on enemy fortifications and exposed infantry. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Dinghy.label,Dinghy,label,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Dinghy.description,"A very basic motorised boat, the Dingy is an incredibly cheap and discrete method of transportation over water. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Dirtbike.label,Dirtbike,label,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Dirtbike.description,"A basic off-road motorcycle, the Dirtbike is a very cheap vehicle that allows a single user to travel quickly, efficiently and quietly. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Frog.label,Frog,label,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Frog.description,"A basic reusable transport pod, the Frog is a relatively cheap vehicle that is the first option when it comes to flying without crashing into the ground. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Highwayman.label,Highwayman,label,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Highwayman.description,"A basic infantry fighting vehicle, the Highwayman is the cheapest weaponized option for transporting three people. Non-functional: all its internal wiring and its motor have been removed.",description,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
VFEPD_Mule.label,Mule,label,ThingDef/Buildings_VanillaVehiclesExpanded.xml,def
